"","","WIMD ","Income ","Employment ","Health ","Education ","Access to Services ","Community Safety ","Physical Environment ","Housing "
"","Glantwymyn ",6,8,9,8,8,1,9,7,3
"","Llanbrynmair & Banwy ",5,7,7,8,8,1,10,8,2
"","Machynlleth ",7,6,6,5,6,6,7,9,8
"","Caersws ",6,7,7,9,7,1,10,2,6
"","Llanfair Caereinion ",7,7,9,8,8,1,9,8,2
"","Rhiwcynon ",7,9,10,10,7,1,10,7,4
"","Churchstoke ",6,8,8,7,6,1,10,6,3
"","Dolforwyn ",8,9,10,9,8,1,10,5,6
"","Kerry ",7,8,9,10,8,1,8,6,3
"","Newtown East ",2,3,3,4,2,2,1,4,4
"","Newtown Llanllwchaiarn North ",8,8,9,7,8,2,7,4,9
"","Newtown Llanllwchaiarn West ",7,8,7,9,8,2,5,6,5
"","Newtown Central 1 ",3,2,3,2,2,3,3,9,9
"","Newtown Central 2 ",3,3,4,3,2,5,3,8,7
"","Newtown South ",2,2,2,2,2,3,2,5,5
"","Blaen Hafren ",7,9,9,10,9,1,10,6,5
"","Llandinam ",7,9,10,10,7,1,9,5,4
"","Llanidloes 1 ",9,6,7,9,6,9,7,7,10
"","Llanidloes 2 ",9,7,6,8,8,9,6,10,6
"","Beguildy ",5,7,8,8,7,1,9,9,1
"","Knighton 1 ",7,6,6,7,4,4,6,10,8
"","Knighton 2 ",8,8,7,8,6,6,5,7,5
"","Llangunllo ",7,8,10,10,8,1,10,7,3
"","Old Radnor ",7,8,9,10,8,1,7,7,2
"","Presteigne 1 ",8,8,8,7,8,2,10,5,9
"","Presteigne 2 ",8,6,7,6,8,6,6,9,7
"","Disserth and Trecoed ",4,5,3,5,5,1,9,8,9
"","Llanbadarn Fawr ",7,7,8,8,7,1,9,7,9
"","Llanyre ",8,9,8,7,7,2,10,9,6
"","Nantmel ",6,8,9,9,8,1,9,7,3
"","Rhayader ",6,6,6,6,5,2,7,9,8
"","Llandrindod East/Llandrindod West ",2,3,1,3,4,6,1,8,6
"","Llandrindod North ",5,3,4,5,3,6,5,9,7
"","Llandrindod South ",4,5,3,6,6,1,5,4,8
"","Builth 1 ",6,6,6,8,5,4,6,8,3
"","Builth 2 ",9,8,9,9,9,3,6,7,10
"","Llanafanfawr ",7,10,10,10,8,1,9,6,2
"","Llanelwedd ",6,8,8,10,7,1,6,5,3
"","Llanwrtyd Wells ",6,7,6,9,7,1,8,6,3
"","Bronllys ",7,9,9,9,8,1,8,9,3
"","Glasbury ",8,9,10,10,9,1,9,6,6
"","Gwernyfed ",8,9,8,9,8,1,10,9,4
"","Hay ",9,7,8,8,9,8,7,10,5
"","Talgarth ",8,8,7,7,9,2,7,9,6
"","St. David Within ",6,6,6,6,7,4,6,3,6
"","St. Mary 1 ",6,7,7,7,8,9,1,3,1
"","St. Mary 2 ",9,10,10,10,7,4,8,8,8
"","St. John 1 ",9,8,8,9,6,4,9,8,9
"","St. John 2 ",3,3,3,3,3,2,5,10,8
"","Llangynidr ",9,10,10,10,10,2,10,10,4
"","Crickhowell ",8,8,8,9,9,2,8,8,4
"","Llangattock and Glangrwyney ",8,10,10,10,10,1,8,7,3
"","Llangors, Bwlch & Grwyney ",8,10,10,10,10,1,9,8,5
"","Felin-fâch ",8,10,10,10,9,1,10,5,10
"","Maescar/Llywel ",7,9,9,8,8,1,8,6,5
"","Yscir ",7,9,10,10,10,1,10,3,4
"","Talybont-on-Usk ",8,9,9,9,9,1,8,5,8
"","Aber-craf ",5,6,4,4,7,5,7,4,6
"","Tawe-Uchaf ",5,5,5,5,6,1,7,8,3
"","Ynyscedwyn ",7,7,4,5,8,8,5,4,8
"","Ystradgynlais 1 ",1,1,1,1,2,4,3,10,8
"","Ystradgynlais 2 ",5,5,4,4,7,2,5,4,7
"","Cwm-twrch ",4,5,4,3,4,3,7,4,4
"Ceredigion ","",".",".",".",".",".",".",".",".","."
"Ceredigion ","Ceulanamaesmawr ",7,8,8,9,7,1,9,5,3
"","Tirymynach ",7,6,7,6,8,2,8,8,9
"","Trefeurig ",9,9,10,9,9,1,10,9,8
"","Borth ",8,7,7,8,8,4,6,6,4
"","Aberystwyth Bronglais ",9,10,10,8,10,5,6,5,2
"","Aberystwyth Canol/Central ",5,9,8,6,5,4,1,1,1
"","Aberystwyth Rheidol 1 ",6,8,7,7,9,3,1,9,1
"","Penglais ",9,9,9,8,9,3,6,7,4
"","Aberystwyth Penparcau 1 ",3,3,2,4,4,3,6,10,5
"","Aberystwyth Penparcau 2 ",4,3,4,3,3,3,5,10,4
"","Aberystwyth Rheidol 2 ",6,6,6,6,9,3,2,5,5
"","Llanbadarn Fawr South ",8,8,9,8,9,6,5,3,2
"","Llanbadarn Fawr North ",9,10,10,9,9,2,10,8,9
"","Aberaeron ",7,5,6,7,8,9,4,6,3
"","Ciliau Aeron ",6,6,7,8,8,1,10,4,3
"","Llanrhystyd ",6,8,8,7,8,1,9,7,2
"","Llansantffraed 1 ",5,7,8,7,9,1,10,7,1
"","Llansantffraed 2 ",6,6,6,6,8,1,9,9,2
"","Faenor 1 ",10,10,10,10,10,6,9,10,10
"","Llanfarian ",8,8,9,8,9,1,7,8,8
"","Llangeitho ",4,5,6,8,5,1,9,6,1
"","Lledrod ",4,7,7,7,7,1,9,3,1
"","Melindwr ",5,7,7,9,8,1,8,5,1
"","Tregaron ",5,6,5,7,4,2,3,4,5
"","Ystwyth ",7,8,9,8,8,1,10,8,5
"","Llanarth ",5,5,6,9,7,1,9,7,2
"","Llandysiliogogo ",6,8,8,9,7,1,10,7,2
"","New Quay ",6,5,7,9,5,9,5,4,1
"","Penbryn ",6,8,8,10,7,1,9,7,5
"","Lampeter 1 ",8,8,8,9,7,9,2,9,1
"","Lampeter 2 ",5,5,4,7,4,3,4,10,6
"","Llanfihangel Ystrad ",4,6,6,6,6,1,7,6,1
"","Llangybi ",5,5,6,9,7,1,10,8,1
"","Llanwenog ",5,7,7,8,9,1,10,7,1
"","Aberporth 1 ",7,8,7,9,9,1,9,10,2
"","Aberporth 2 ",5,4,4,7,5,3,9,10,2
"","Aberteifi/Cardigan - Mwldan ",5,4,4,6,5,3,7,10,9
"","Aberteifi/Cardigan - Rhyd-y-Fuwch ",2,2,1,4,6,7,2,9,3
"","Aberteifi/Cardigan - Teifi ",1,1,1,3,4,2,1,4,1
"","Pen-parc 1 ",5,5,5,7,7,2,7,7,2
"","Pen-parc 2 ",7,6,7,9,10,1,10,10,7
"","Beulah ",6,7,8,7,8,1,10,10,3
"","Capel Dewi ",5,7,7,8,8,1,9,10,1
"","Llandyfriog ",5,5,5,7,6,1,8,9,6
"","Llandysul Town ",4,4,4,7,6,2,6,9,4
"","Troedyraur ",6,6,6,8,6,1,9,10,7
"Pembrokeshire ","",".",".",".",".",".",".",".",".","."
"Pembrokeshire ","Cilgerran ",7,7,7,8,7,1,9,7,4
"","Clydau ",5,6,8,7,6,1,8,7,1
"","Crymych 1 ",6,8,7,8,8,1,9,8,1
"","Crymych 2 ",7,6,8,9,7,1,9,10,3
"","St. Dogmaels ",6,6,7,9,8,1,9,6,2
"","Dinas Cross ",7,8,9,10,8,1,9,9,4
"","Fishguard North East ",6,4,5,7,4,4,6,9,8
"","Fishguard North West ",5,4,4,6,3,7,5,10,7
"","Goodwick ",5,4,5,7,4,5,6,8,4
"","Newport ",8,8,8,9,6,3,9,9,3
"","Scleddau ",4,6,5,8,4,1,8,10,1
"","Letterston ",7,7,8,9,5,1,10,10,4
"","Llanrhian ",7,8,8,9,7,1,10,10,4
"","St. David's ",7,7,5,8,9,2,7,10,6
"","Solva ",7,8,9,9,7,1,9,4,3
"","Maenclochog 1 ",5,7,9,9,8,1,10,10,1
"","Maenclochog 2 ",7,7,9,8,8,1,10,10,5
"","Rudbaxton ",8,9,8,9,8,1,9,7,8
"","Wiston ",7,9,9,9,8,1,10,10,6
"","Haverfordwest: Castle ",3,3,2,3,4,6,1,5,4
"","Haverfordwest: Garth 1 ",7,6,8,7,5,2,6,9,10
"","Haverfordwest: Garth 2 ",1,1,1,1,1,2,3,9,7
"","Haverfordwest: Prendergast ",7,7,7,5,7,6,2,4,5
"","Haverfordwest: Portfield ",6,5,6,5,3,6,3,8,7
"","Haverfordwest: Priory ",8,7,7,7,6,7,5,6,8
"","Merlin's Bridge ",3,3,4,4,2,3,7,6,8
"","Camrose 1 ",8,9,8,9,8,1,8,8,9
"","Camrose 2 ",7,7,7,8,8,1,10,9,8
"","Johnston ",6,6,6,5,5,2,8,6,8
"","St. Ishmael's ",5,8,8,9,3,1,8,6,5
"","The Havens ",8,9,8,10,8,1,7,5,7
"","Burton ",8,8,7,9,9,1,10,8,8
"","Llangwm ",9,8,9,8,7,3,10,8,7
"","Neyland: East ",6,5,5,6,4,10,6,8,10
"","Neyland: West ",5,4,5,5,4,3,7,8,5
"","Milford: Central ",4,5,4,5,3,9,1,5,6
"","Milford: East ",2,2,1,4,2,2,2,7,8
"","Milford: North ",5,4,5,6,2,5,6,5,8
"","Milford: Hakin 1 ",4,3,4,4,3,6,5,5,7
"","Milford: Hakin 2 ",5,5,4,5,4,6,7,6,9
"","Milford: Hubberston 1 ",4,5,6,7,2,2,5,5,3
"","Milford: Hubberston 2 ",2,1,2,3,1,4,5,10,7
"","Milford: West ",2,2,2,3,2,6,2,5,4
"","Lampeter Velfrey ",7,8,8,9,8,1,10,5,6
"","Martletwy ",7,8,9,9,9,1,8,6,3
"","Narberth ",7,6,5,5,6,8,7,9,4
"","Narberth Rural ",8,8,9,8,9,2,10,6,8
"","Amroth ",6,7,8,7,6,1,10,4,8
"","East Williamston 1 ",5,6,6,6,6,1,10,5,3
"","East Williamston 2 ",8,6,7,6,5,8,10,7,10
"","Kilgetty/Begelly ",5,6,6,6,5,2,9,2,5
"","Saundersfoot 1 ",8,7,7,7,7,5,8,4,9
"","Saundersfoot 2 ",8,6,7,9,7,7,6,5,5
"","Pembroke Dock: Central ",1,2,1,3,1,6,1,4,1
"","Pembroke Dock: Llanion 1 ",1,1,1,2,1,2,1,5,4
"","Pembroke Dock: Llanion 2 ",5,5,4,4,4,6,2,5,6
"","Pembroke Dock: Market ",4,5,4,5,5,6,3,3,5
"","Pembroke Dock: Pennar 1 ",2,2,3,2,1,4,5,7,5
"","Pembroke Dock: Pennar 2 ",4,5,5,5,2,2,6,6,3
"","Carew ",8,8,9,8,8,1,10,8,6
"","Lamphey ",7,7,7,9,8,1,9,8,8
"","Manorbier ",6,6,7,8,7,1,9,9,6
"","Pembroke: St. Michael ",9,8,6,9,7,6,10,5,9
"","Hundleton ",6,8,7,9,6,1,9,5,8
"","Pembroke: Monkton ",1,1,1,2,1,3,1,7,5
"","Pembroke: St. Mary North ",3,2,3,3,2,3,4,6,8
"","Pembroke: St. Mary South ",4,4,4,5,2,8,2,3,2
"","Penally ",8,8,8,7,8,2,8,5,9
"","Tenby: North ",7,7,7,7,7,2,6,5,8
"","Tenby: South 1 ",6,5,7,9,5,5,1,5,5
"","Tenby: South 2 ",5,6,6,6,5,2,2,4,5
"Carmarthenshire ","",".",".",".",".",".",".",".",".","."
"Carmarthenshire ","Cenarth ",4,5,5,7,7,1,6,9,1
"","Llangeler 1 ",3,3,3,6,4,1,10,7,2
"","Llangeler 2 ",6,7,7,8,8,1,8,8,2
"","Trelech ",5,8,8,8,7,1,8,9,1
"","Carmarthen Town North 1 ",4,3,4,3,4,4,5,8,5
"","Carmarthen Town North 2 ",2,2,2,3,2,3,6,6,6
"","Carmarthen Town North 3 ",4,4,4,5,4,5,2,9,5
"","Carmarthen Town North 4 ",10,10,9,9,9,6,5,8,10
"","Carmarthen Town South 1 ",3,4,2,4,4,4,1,7,2
"","Carmarthen Town South 2 ",8,8,7,5,9,5,5,5,9
"","Llangunnor 1 ",5,5,4,6,6,2,7,8,8
"","Llangunnor 2 ",8,10,9,8,8,2,4,7,7
"","Laugharne Township 1 ",4,5,5,5,6,1,8,5,1
"","Laugharne Township 2 ",5,6,5,8,7,2,8,2,2
"","Llanboidy ",6,8,9,9,8,1,10,10,2
"","Llansteffan ",7,8,8,8,9,1,9,7,6
"","St. Clears 1 ",7,6,5,5,7,5,8,6,6
"","St. Clears 2 ",7,7,7,7,5,2,10,8,6
"","Whitland ",7,7,8,7,7,2,9,4,7
"","Llanfihangel-ar-Arth 1 ",4,5,4,6,7,1,7,8,1
"","Llanfihangel-ar-Arth 2 ",6,7,7,7,6,1,9,8,3
"","Llanybydder 1 ",6,7,7,8,6,1,9,8,3
"","Llanybydder 2 ",5,5,6,5,2,5,9,8,2
"","Cilycwm ",5,7,7,10,7,1,9,5,1
"","Cynwyl Gaeo ",5,7,8,8,7,1,10,7,1
"","Llandovery 1 ",4,5,6,6,6,1,8,2,3
"","Llandovery 2 ",6,5,6,8,5,9,6,2,3
"","Llandeilo 1 ",8,9,9,10,8,1,8,8,5
"","Llandeilo 2 ",4,3,3,5,6,9,7,3,3
"","Llangadog ",5,7,6,9,8,1,10,6,1
"","Manordeilo and Salem ",6,7,6,8,8,1,10,6,1
"","Abergwili ",8,8,8,8,9,1,10,6,5
"","Llanegwad 1 ",7,8,8,10,9,1,10,7,4
"","Llanegwad 2 ",4,6,6,9,7,1,10,8,1
"","Llanfihangel Aberbythych ",6,8,8,9,8,1,10,8,4
"","Carmarthen Town West 1 ",6,5,5,4,5,5,6,7,8
"","Carmarthen Town West 2 ",8,8,9,7,8,2,7,10,8
"","Carmarthen Town West 3 ",7,7,6,6,6,5,7,6,3
"","Cynwyl Elfed 1 ",5,8,9,8,7,1,10,9,1
"","Cynwyl Elfed 2 ",8,9,9,9,9,1,10,7,6
"","Garnant ",4,3,3,4,4,6,7,6,4
"","Glanamman 1 ",3,3,3,3,4,3,7,5,8
"","Glanamman 2 ",3,4,2,4,4,5,5,2,6
"","Quarter Bach 1 ",4,4,3,3,5,9,7,7,3
"","Quarter Bach 2 ",5,5,4,6,6,5,7,8,1
"","Llandybie 1 ",7,7,7,8,8,3,8,1,9
"","Llandybie 2 ",3,3,3,4,4,2,6,1,6
"","Saron 1 ",5,5,4,5,5,2,10,8,4
"","Saron 2 ",5,5,4,4,6,6,9,3,7
"","Ammanford 1 ",3,3,2,2,4,5,3,5,5
"","Ammanford 2 ",3,2,2,3,5,9,1,3,7
"","Betws ",6,6,5,8,5,2,8,7,6
"","Pontamman 1 ",3,3,2,3,4,9,4,2,7
"","Pontamman 2 ",9,8,6,9,7,8,9,5,7
"","Hendy 1 ",9,9,8,9,8,7,9,9,7
"","Hendy 2 ",7,6,6,5,6,9,7,3,6
"","Tycroes ",7,6,6,6,6,7,9,9,5
"","Llanddarog ",7,8,8,8,8,1,9,6,3
"","Llangyndeyrn 1 ",3,4,4,3,3,2,8,2,5
"","Llangyndeyrn 2 ",5,6,5,7,5,2,8,7,4
"","St. Ishmael 1 ",8,9,9,8,9,2,10,4,7
"","St. Ishmael 2 ",5,6,6,6,5,1,8,1,3
"","Glyn (Carmarthenshire) ",6,6,5,6,6,3,7,5,7
"","Gorslas 1 ",7,6,6,6,6,3,9,7,6
"","Gorslas 2 ",6,7,5,6,6,3,8,4,6
"","Pontyberem 1 ",7,8,7,7,6,4,8,3,3
"","Pontyberem 2 ",5,5,4,5,4,5,7,4,7
"","Kidwelly 1 ",2,2,1,3,2,6,5,7,4
"","Kidwelly 2 ",6,6,5,7,6,2,7,7,5
"","Trimsaran 1 ",2,2,2,2,1,5,7,7,5
"","Trimsaran 2 ",3,3,4,4,4,2,7,2,6
"","Burry Port 1 ",5,4,3,7,5,8,4,4,6
"","Burry Port 2 ",3,3,2,4,3,4,2,3,6
"","Burry Port 3 ",7,5,5,8,7,5,7,6,9
"","Pembrey 1 ",9,8,8,8,9,6,8,3,10
"","Pembrey 2 ",3,2,2,3,3,4,4,8,4
"","Llannon 1 ",5,5,5,4,3,9,4,7,4
"","Llannon 2 ",6,6,4,4,5,8,8,8,3
"","Llannon 3 ",8,8,8,7,7,2,9,9,7
"","Penygroes (Carmarthenshire) 1 ",7,7,6,6,6,8,9,4,4
"","Penygroes (Carmarthenshire) 2 ",6,6,4,5,6,7,10,6,6
"","Llangennech 1 ",7,7,6,6,7,4,8,5,8
"","Llangennech 2 ",8,6,6,6,6,8,8,10,8
"","Llangennech 3 ",7,6,6,5,6,10,9,2,8
"","Swiss Valley 1 ",9,10,9,8,9,4,10,5,10
"","Swiss Valley 2 ",8,7,6,5,6,5,10,10,10
"","Dafen 1 ",7,6,6,6,5,8,4,3,7
"","Dafen 2 ",3,4,3,3,3,4,3,7,6
"","Felinfoel ",2,2,3,3,2,3,5,3,4
"","Bynea 1 ",7,7,7,7,6,7,6,2,6
"","Bynea 2 ",4,4,4,3,3,5,6,9,7
"","Llwynhendy 1 ",4,4,4,3,3,7,4,6,6
"","Llwynhendy 2 ",2,2,2,1,1,6,5,4,4
"","Llwynhendy 3 ",1,1,1,1,2,6,3,9,4
"","Lliedi 1 ",3,3,3,4,5,6,2,2,2
"","Lliedi 2 ",7,7,6,7,8,7,5,2,9
"","Lliedi 3 ",3,2,3,2,3,4,4,2,4
"","Elli 1 ",6,6,5,6,8,10,2,3,6
"","Elli 2 ",3,4,3,4,3,8,1,2,3
"","Hengoed (Carmarthenshire) 1 ",6,7,5,5,4,4,7,3,9
"","Hengoed 2 ",5,5,5,7,5,4,5,1,8
"","Bigyn 1 ",6,7,7,4,5,8,2,2,7
"","Bigyn 2 ",4,4,4,4,4,7,3,2,2
"","Bigyn 3 ",5,5,4,5,5,6,3,6,2
"","Bigyn 4 ",1,1,1,1,1,2,2,5,6
"","Glanymor 1 ",2,2,2,2,1,2,2,2,1
"","Glanymor 2 ",2,2,1,2,3,2,4,6,3
"","Tyisha 1 ",3,3,3,4,1,8,2,2,2
"","Tyisha 2 ",1,1,1,1,1,3,1,2,3
"","Tyisha 3 ",1,2,1,2,1,4,1,3,1
"","Glanymor 3 ",3,4,5,5,2,2,4,2,7
"","Glanymor 4 ",1,1,1,2,1,3,1,2,3
"Swansea ","",".",".",".",".",".",".",".",".","."
"Swansea ","Pontardulais 1 ",9,8,8,7,9,9,8,7,7
"","Pontardulais 2 ",5,4,4,5,6,10,5,1,6
"","Pontardulais 3 ",6,6,5,6,6,4,6,1,5
"","Pontardulais 4 ",2,2,3,2,3,6,7,4,4
"","Llangyfelach 1 ",10,10,8,8,9,7,10,8,10
"","Llangyfelach 2 ",10,9,9,9,9,8,9,7,10
"","Llangyfelach 3 ",10,10,9,9,10,4,8,9,10
"","Penllergaer 1 ",10,10,10,10,10,6,9,8,10
"","Penllergaer 2 ",3,2,2,2,3,3,7,8,9
"","Gorseinon 1 ",4,5,4,2,6,8,4,5,4
"","Gorseinon 2 ",6,5,5,4,5,9,4,10,6
"","Penyrheol (Swansea) 1 ",5,4,4,4,5,6,8,7,6
"","Penyrheol (Swansea) 2 ",8,7,7,5,6,5,9,9,7
"","Penyrheol (Swansea) 3 ",8,6,7,5,7,9,7,9,8
"","Penyrheol (Swansea) 4 ",2,2,1,2,3,4,7,9,5
"","Kingsbridge 1 ",8,7,6,6,9,7,9,8,8
"","Kingsbridge 2 ",10,10,9,9,9,8,10,10,10
"","Kingsbridge 3 ",9,9,7,8,8,8,8,8,6
"","Lower Loughor ",6,4,3,4,7,7,5,9,9
"","Upper Loughor 1 ",9,8,7,6,8,7,8,5,7
"","Upper Loughor 2 ",7,7,6,7,5,6,7,10,5
"","Clydach 1 ",3,3,2,3,3,5,7,9,6
"","Clydach 2 ",9,9,8,7,9,9,9,8,8
"","Clydach 3 ",2,2,2,2,2,5,5,10,3
"","Clydach 4 ",4,3,4,4,4,6,6,7,4
"","Clydach 5 ",5,4,3,4,4,8,5,7,7
"","Mawr ",6,6,7,7,7,1,6,5,4
"","Morriston 1 ",6,5,5,6,6,7,6,3,6
"","Morriston 2 ",9,9,7,8,8,6,9,7,8
"","Morriston 3 ",7,7,5,6,7,9,3,6,5
"","Morriston 5 ",1,1,1,1,2,3,2,5,7
"","Morriston 10 ",9,9,7,8,8,7,6,6,7
"","Morriston 11 ",9,9,9,8,9,6,7,6,10
"","Morriston 4 ",4,4,4,3,4,8,3,4,3
"","Morriston 6 ",2,3,2,2,2,6,2,4,3
"","Morriston 7 ",1,1,1,2,3,5,1,4,2
"","Morriston 8 ",7,7,6,6,7,10,4,3,4
"","Morriston 9 ",2,2,2,1,2,4,2,5,2
"","Llansamlet 2 ",9,8,7,7,9,10,2,5,10
"","Llansamlet 3 ",9,9,8,8,8,5,10,3,6
"","Llansamlet 7 ",9,9,9,8,9,8,9,2,10
"","Llansamlet 8 ",1,1,1,1,1,4,4,6,7
"","Llansamlet 1 ",6,6,7,5,8,6,1,3,6
"","Llansamlet 4 ",8,7,5,6,7,9,8,6,9
"","Llansamlet 5 ",6,7,4,5,4,9,6,5,9
"","Llansamlet 6 ",3,2,3,2,3,5,4,8,7
"","Bonymaen 1 ",1,1,1,1,1,4,4,9,4
"","Bonymaen 2 ",3,2,4,2,3,6,4,3,3
"","Bonymaen 3 ",7,6,5,4,5,9,7,7,8
"","Bonymaen 4 ",2,2,2,2,4,6,2,7,4
"","St. Thomas 1 ",2,2,3,1,3,3,3,7,2
"","St. Thomas 2 ",3,3,4,2,3,5,4,5,2
"","St. Thomas 3 ",5,4,4,5,4,5,6,8,3
"","St. Thomas 4 ",4,4,4,4,4,7,4,7,3
"","Mynyddbach 1 ",1,1,1,1,1,3,1,9,7
"","Mynyddbach 2 ",3,2,3,3,3,5,3,7,5
"","Mynyddbach 3 ",9,8,7,8,7,7,7,8,10
"","Mynyddbach 4 ",6,6,4,4,6,9,5,5,7
"","Mynyddbach 5 ",5,4,4,4,5,9,4,5,6
"","Mynyddbach 6 ",7,6,5,5,5,8,7,7,9
"","Cwmbwrla 1 ",4,3,5,6,2,8,7,3,1
"","Cwmbwrla 2 ",4,4,6,4,3,7,5,3,2
"","Cwmbwrla 3 ",4,4,5,5,4,10,6,2,2
"","Cwmbwrla 4 ",6,5,6,6,5,9,4,3,3
"","Cwmbwrla 5 ",3,3,2,3,2,6,3,4,6
"","Castle 1 ",1,1,1,1,1,3,2,3,6
"","Castle 3 ",2,2,3,3,2,3,1,3,2
"","Landore 1 ",3,3,3,4,3,6,2,6,2
"","Landore 2 ",2,2,1,2,2,8,1,5,2
"","Landore 3 ",2,2,2,2,2,7,4,3,2
"","Landore 4 ",2,3,3,3,3,4,4,3,1
"","Penderry 1 ",1,1,1,1,1,2,1,8,7
"","Penderry 3 ",1,1,1,1,1,3,1,6,8
"","Penderry 4 ",1,1,1,1,1,3,2,7,4
"","Penderry 5 ",2,1,2,2,1,3,4,8,7
"","Penderry 7 ",2,2,2,2,1,3,3,9,7
"","Cockett 6 ",4,4,4,4,3,3,2,4,9
"","Cockett 7 ",4,4,5,5,3,9,1,7,5
"","Cockett 8 ",2,1,2,2,1,5,1,5,4
"","Penderry 2 ",1,1,1,2,1,4,2,5,5
"","Penderry 6 ",1,1,1,1,1,8,1,5,8
"","Cockett 1 ",5,5,5,6,4,5,2,4,5
"","Cockett 2 ",2,2,1,1,4,3,2,9,8
"","Cockett 3 ",5,4,3,4,4,6,4,9,9
"","Cockett 4 ",7,5,5,5,7,7,6,5,9
"","Sketty 1 ",10,9,9,9,10,10,8,5,7
"","Sketty 2 ",10,10,9,10,9,9,7,8,10
"","Sketty 3 ",10,9,8,9,10,10,8,7,9
"","Sketty 4 ",2,2,1,3,7,5,7,10,9
"","Sketty 5 ",5,4,4,4,9,6,8,5,5
"","Cockett 5 ",9,7,7,5,9,9,8,10,9
"","Gowerton 1 ",10,8,8,7,9,10,9,7,9
"","Gowerton 2 ",8,7,6,6,9,10,8,5,7
"","Gowerton 3 ",7,5,6,4,7,5,5,8,7
"","Fairwood 1 ",9,8,9,9,10,4,10,10,10
"","Penclawdd 1 ",9,10,9,9,10,3,9,7,7
"","Penclawdd 2 ",7,6,5,5,6,8,9,8,7
"","Dunvant 1 ",8,7,7,6,6,9,10,9,9
"","Dunvant 2 ",10,9,8,9,10,9,10,10,10
"","Dunvant 3 ",10,9,9,9,9,10,10,8,9
"","Fairwood 2 ",8,7,7,9,8,4,9,10,7
"","Killay North 2 ",10,10,9,10,10,10,10,9,9
"","Killay South 1 ",10,8,8,9,8,10,10,9,9
"","Killay 3 ",10,10,10,9,10,10,10,8,9
"","Gower (Swansea) 1 ",8,10,10,10,9,1,10,10,5
"","Gower (Swansea) 2 ",9,10,9,10,10,2,10,9,6
"","Pennard 1 ",10,9,8,9,10,7,10,10,9
"","Pennard 2 ",10,10,10,10,10,10,10,10,9
"","Townhill 1 ",1,1,1,1,1,2,2,8,4
"","Townhill 2 ",1,1,1,1,1,2,3,6,4
"","Townhill 3 ",1,1,1,1,1,3,2,5,3
"","Townhill 4 ",2,2,3,2,2,6,2,9,3
"","Townhill 5 ",1,1,1,1,1,3,1,8,4
"","Townhill 6 ",1,1,1,1,1,3,3,8,3
"","Castle 6 ",4,4,6,4,6,5,5,5,1
"","Uplands 1 ",10,10,10,8,8,10,6,9,8
"","Uplands 2 ",5,5,4,6,9,6,2,7,2
"","Uplands 3 ",9,9,8,9,8,8,6,9,2
"","Uplands 5 ",10,9,10,10,10,10,8,6,5
"","Uplands 7 ",9,9,10,9,10,8,7,8,1
"","Castle 4 ",2,3,4,2,5,4,1,3,1
"","Castle 5 ",3,3,4,7,2,2,2,6,1
"","Castle 7 East ",6,9,7,9,4,3,1,4,9
"","Castle 2 North ",1,1,1,1,3,2,1,3,10
"","Castle 7 West ",3,3,5,3,5,4,1,2,3
"","Castle 2 South ",6,7,7,8,3,3,3,3,10
"","Castle 8 ",4,4,5,4,6,4,4,2,1
"","Uplands 4 ",5,5,6,6,6,4,4,3,1
"","Uplands 6 ",7,9,9,7,10,4,5,7,1
"","Uplands 8 ",6,8,8,5,8,4,5,2,1
"","Uplands 9 ",8,10,10,8,6,4,9,9,1
"","Sketty 6 ",10,10,10,10,10,10,8,7,3
"","Sketty 7 ",10,9,6,9,10,9,9,8,10
"","Sketty 8 ",10,10,10,10,10,8,9,6,9
"","Sketty 9 ",10,10,10,7,9,9,6,9,5
"","Bishopston 1 ",10,10,9,10,10,10,10,9,9
"","Bishopston 2 ",10,9,9,9,10,8,10,9,9
"","Mayals 1 ",10,10,10,10,10,7,9,5,10
"","Mayals 2 ",10,10,10,10,10,8,10,10,10
"","West Cross 1 ",10,10,10,9,10,10,9,9,9
"","West Cross 2 ",10,9,8,10,10,10,10,3,9
"","West Cross 3 ",3,2,1,4,7,6,5,9,8
"","West Cross 4 ",4,3,2,5,4,5,6,10,6
"","Newton (Swansea) 1 ",10,10,10,10,10,8,10,9,10
"","Newton (Swansea) 2 ",10,9,7,10,10,9,9,9,10
"","Oystermouth 1 ",9,8,9,9,10,10,7,8,4
"","Oystermouth 2 ",10,10,9,10,10,5,7,10,9
"","Oystermouth 3 ",10,10,10,10,10,10,5,9,4
"Neath Port Talbot ","",".",".",".",".",".",".",".",".","."
"Neath Port Talbot ","Blaengwrach ",3,4,3,4,3,6,6,2,3
"","Glynneath 1 ",2,3,3,2,2,3,7,1,6
"","Glynneath 2 ",6,5,5,4,6,8,8,2,7
"","Aberdulais ",4,4,4,4,4,2,8,3,8
"","Resolven 1 ",3,3,3,3,5,4,8,4,5
"","Resolven 2 ",6,6,6,4,3,9,8,4,6
"","Tonna 2 ",4,5,4,4,4,5,9,3,3
"","Bryn-coch North 1 ",8,8,6,7,7,3,10,5,9
"","Bryn-coch North 2 ",10,10,7,9,10,7,10,8,9
"","Bryn-coch South 1 ",10,10,9,10,9,9,10,7,10
"","Bryn-coch South 2 ",7,6,6,7,6,7,9,4,10
"","Cadoxton ",9,8,7,8,9,6,10,6,8
"","Bryn-coch South 3 ",8,7,7,7,8,6,7,5,10
