LSOA11CD,LSOA11NM,over_65_count
W01000315,Flintshire 016C,513
W01000394,Wrexham 016A,249
W01001271,Rhondda Cynon Taf 010C,268
W01001581,Monmouthshire 005E,606
W01001680,Newport 007E,152
W01000071,Gwynedd 003B,346
W01001354,Caerphilly 014D,335
W01001355,Caerphilly 015A,424
W01001356,Caerphilly 006A,263
W01001357,Caerphilly 006B,334
W01001068,The Vale of Glamorgan 009B,199
W01001069,The Vale of Glamorgan 012C,209
W01001060,The Vale of Glamorgan 015B,456
W01001061,The Vale of Glamorgan 015C,412
W01001352,Caerphilly 007A,327
W01001353,Caerphilly 007B,481
W01000739,Swansea 014B,224
W01001249,Rhondda Cynon Taf 024A,335
W01001248,Rhondda Cynon Taf 016D,412
W01000737,Swansea 028B,521
W01000546,Ceredigion 009F,413
W01001412,Caerphilly 017B,390
W01000345,Wrexham 018A,497
W01000239,Denbighshire 004D,248
W01001246,Rhondda Cynon Taf 025D,466
W01000080,Gwynedd 014C,602
W01001397,Caerphilly 019E,271
W01001361,Caerphilly 002B,209
W01001151,Rhondda Cynon Taf 003C,500
W01000349,Wrexham 011A,272
W01001650,Newport 004E,200
W01001653,Newport 002C,427
W01001823,Cardiff 029B,179
W01001822,Cardiff 029A,367
W01001824,Cardiff 029C,214
W01001825,Cardiff 029D,194
W01001820,Cardiff 006A,237
W01000234,Denbighshire 017G,229
W01000460,Powys 006B,425
W01001775,Cardiff 021B,260
W01000667,Carmarthenshire 023C,342
W01000666,Carmarthenshire 017B,316
W01000367,Wrexham 014B,191
W01001905,Powys 018H,598
W01000664,Carmarthenshire 016C,456
W01000156,Conwy 004B,649
W01000484,Powys 011E,478
W01001622,Newport 003F,243
W01000405,Wrexham 015B,398
W01000485,Powys 011F,570
W01000404,Wrexham 018D,434
W01000483,Powys 009C,263
W01000402,Wrexham 011D,305
W01000873,Swansea 026C,152
W01000875,Swansea 026D,176
W01000872,Swansea 024E,307
W01000877,Swansea 007E,364
W01000874,Swansea 024F,212
W01000876,Swansea 026E,131
W01001394,Caerphilly 023B,254
W01000606,Pembrokeshire 015B,254
W01001816,Cardiff 009B,307
W01001086,The Vale of Glamorgan 006A,495
W01001667,Newport 010C,168
W01001666,Newport 010B,233
W01001664,Newport 010A,299
W01000692,Carmarthenshire 019C,280
W01000613,Pembrokeshire 001E,655
W01000693,Carmarthenshire 008C,350
W01000612,Pembrokeshire 003C,555
W01000610,Pembrokeshire 016A,621
W01001508,Torfaen 013C,409
W01001253,Rhondda Cynon Taf 023C,277
W01001604,Newport 012D,359
W01000191,Denbighshire 009A,433
W01000973,Neath Port Talbot 020F,290
W01001911,The Vale of Glamorgan 012H,188
W01001910,The Vale of Glamorgan 012G,143
W01001727,Cardiff 014A,296
W01001726,Cardiff 028E,114
W01001937,Ceredigion 001F,533
W01001934,Ceredigion 002F,382
W01001936,Ceredigion 003F,239
W01001724,Cardiff 032C,39
W01001935,Ceredigion 003E,173
W01001416,Caerphilly 008C,375
W01001932,Gwynedd 014E,729
W01001958,Swansea 025H,203
W01000941,Neath Port Talbot 012B,223
W01000940,Neath Port Talbot 008E,230
W01000942,Neath Port Talbot 012C,305
W01000943,Neath Port Talbot 012D,356
W01000597,Pembrokeshire 002E,432
W01000853,Swansea 022A,302
W01000855,Swansea 022C,480
W01000852,Swansea 021D,247
W01000857,Swansea 022E,537
W01000854,Swansea 022B,279
W01000850,Swansea 021B,419
W01001928,Conwy 010H,372
W01000841,Swansea 005C,310
W01001927,Conwy 010G,448
W01000132,Conwy 001A,463
W01000568,Pembrokeshire 005A,367
W01000569,Pembrokeshire 005B,201
W01000561,Pembrokeshire 001D,368
W01001518,Torfaen 006E,329
W01001309,Merthyr Tydfil 008E,229
W01001388,Caerphilly 007D,278
W01001308,Merthyr Tydfil 008D,142
W01001389,Caerphilly 007E,251
W01001301,Merthyr Tydfil 008C,265
W01001380,Caerphilly 010A,371
W01001300,Merthyr Tydfil 008B,332
W01001381,Caerphilly 010B,269
W01001232,Rhondda Cynon Taf 020D,299
W01001234,Rhondda Cynon Taf 021E,269
W01001235,Rhondda Cynon Taf 021F,338
W01001237,Rhondda Cynon Taf 022B,282
W01000961,Neath Port Talbot 016C,333
W01000097,Gwynedd 003D,233
W01000017,Isle of Anglesey 003B,263
W01000129,Conwy 012B,235
W01000016,Isle of Anglesey 003A,176
W01000121,Conwy 015A,309
W01000128,Conwy 009C,349
W01000122,Conwy 014A,572
W01000123,Conwy 013A,400
W01000096,Gwynedd 003C,247
W01000014,Isle of Anglesey 006C,400
W01000085,Gwynedd 017C,685
W01001096,The Vale of Glamorgan 007E,328
W01001014,Bridgend 002A,367
W01001097,The Vale of Glamorgan 007F,202
W01001017,Bridgend 002C,305
W01001129,The Vale of Glamorgan 004F,229
W01001016,Bridgend 005C,536
W01001121,The Vale of Glamorgan 014E,349
W01001128,The Vale of Glamorgan 001C,412
W01001095,The Vale of Glamorgan 007D,210
W01001094,The Vale of Glamorgan 007C,178
W01001024,Bridgend 003C,209
W01000527,Ceredigion 008A,229
W01001009,Bridgend 004C,235
W01001536,Torfaen 009C,145
W01000559,Pembrokeshire 001B,388
W01000558,Pembrokeshire 001A,595
W01001877,Cardiff 011A,214
W01001874,Cardiff 038D,151
W01001876,Cardiff 037D,208
W01001875,Cardiff 037C,170
W01001872,Cardiff 038B,207
W01000721,Carmarthenshire 027C,289
W01000720,Carmarthenshire 027B,452
W01001636,Newport 020A,215
W01001419,Caerphilly 021D,305
W01001889,Cardiff 020B,427
W01001808,Cardiff 007C,187
W01001442,Blaenau Gwent 001C,295
W01001445,Blaenau Gwent 005C,245
W01001888,Cardiff 010A,280
W01001809,Cardiff 017A,258
W01001443,Blaenau Gwent 005A,327
W01001781,Cardiff 026C,451
W01001703,Cardiff 045B,205
W01001782,Cardiff 026D,320
W01001783,Cardiff 026E,252
W01001780,Cardiff 026B,308
W01001558,Monmouthshire 002C,388
W01001559,Monmouthshire 008A,425
W01001291,Merthyr Tydfil 003A,324
W01001210,Rhondda Cynon Taf 008B,312
W01001213,Rhondda Cynon Taf 011A,280
W01001292,Merthyr Tydfil 004A,226
W01001212,Rhondda Cynon Taf 008D,240
W01001290,Merthyr Tydfil 007A,361
W01000980,Bridgend 016A,202
W01000901,Neath Port Talbot 014D,334
W01000811,Swansea 008B,232
W01000890,Neath Port Talbot 015B,439
W01000810,Swansea 003D,251
W01000891,Neath Port Talbot 015C,322
W01000475,Powys 001E,682
W01000474,Powys 020B,425
W01000477,Powys 012D,431
W01000590,Pembrokeshire 012B,370
W01000511,Ceredigion 009E,155
W01000476,Powys 005C,369
W01000640,Carmarthenshire 007D,353
W01000472,Powys 012C,427
W01001749,Cardiff 027C,255
W01001748,Cardiff 027B,233
W01000641,Carmarthenshire 008A,480
W01000453,Powys 010B,387
W01000452,Powys 004B,570
W01001901,Powys 017F,538
W01000159,Conwy 014B,347
W01001329,Caerphilly 014C,291
W01000261,Flintshire 014C,405
W01000260,Flintshire 017B,428
W01000268,Flintshire 013B,364
W01000269,Flintshire 020A,413
W01001471,Blaenau Gwent 001E,325
W01001318,Merthyr Tydfil 005D,344
W01001170,Rhondda Cynon Taf 004D,351
W01000306,Flintshire 002A,489
W01000387,Wrexham 008D,361
W01000059,Gwynedd 006A,476
W01000051,Gwynedd 015A,488
W01000050,Gwynedd 003A,296
W01000053,Gwynedd 004B,229
W01000052,Gwynedd 004A,268
W01000054,Gwynedd 007A,259
W01000307,Flintshire 020B,348
W01000386,Wrexham 015A,227
W01001957,Swansea 025G,160
W01001954,Cardiff 006F,415
W01001956,Swansea 023E,455
W01001955,Swansea 025F,288
W01001952,Cardiff 049F,163
W01001839,Cardiff 030E,108
W01001838,Cardiff 030D,106
W01001894,Cardiff 010C,362
W01001000,Bridgend 010B,443
W01000229,Denbighshire 017E,578
W01001142,Rhondda Cynon Taf 005F,343
W01001247,Rhondda Cynon Taf 016C,310
W01001140,Rhondda Cynon Taf 005D,296
W01001242,Rhondda Cynon Taf 030D,364
W01001141,Rhondda Cynon Taf 005E,315
W01000007,Isle of Anglesey 009A,499
W01000223,Denbighshire 009B,365
W01000222,Denbighshire 003C,592
W01000220,Denbighshire 001C,795
W01000496,Powys 021B,559
W01000497,Powys 005D,354
W01000417,Wrexham 020D,386
W01000416,Wrexham 007D,243
W01000414,Wrexham 010D,136
W01001398,Caerphilly 024A,259
W01001855,Cardiff 042A,132
W01001852,Cardiff 004B,415
W01001857,Cardiff 042C,215
W01001854,Cardiff 004D,589
W01001856,Cardiff 042B,109
W01001179,Rhondda Cynon Taf 023B,342
W01001853,Cardiff 004C,559
W01000443,Powys 015B,714
W01001892,Cardiff 020D,387
W01001080,The Vale of Glamorgan 012F,231
W01001582,Monmouthshire 011D,262
W01001681,Newport 006B,174
W01000072,Gwynedd 002B,350
W01000398,Wrexham 013A,308
W01000319,Flintshire 016G,312
W01000989,Bridgend 013A,384
W01000621,Pembrokeshire 016D,351
W01000908,Neath Port Talbot 006E,468
W01000620,Pembrokeshire 016C,279
W01000909,Neath Port Talbot 009A,349
W01000542,Ceredigion 011F,580
W01000545,Ceredigion 007D,639
W01000822,Swansea 009F,424
W01001920,Bridgend 017G,149
W01000346,Wrexham 018B,381
W01001779,Cardiff 026A,317
W01001909,Monmouthshire 002F,607
W01000082,Gwynedd 015C,235
W01001261,Rhondda Cynon Taf 018F,226
W01000258,Flintshire 006A,578
W01001260,Rhondda Cynon Taf 014C,188
W01001028,Bridgend 014D,462
W01000682,Carmarthenshire 005B,400
W01001811,Cardiff 009A,167
W01001362,Caerphilly 003C,481
W01001152,Rhondda Cynon Taf 002B,424
W01000325,Flintshire 010D,396
W01000759,Swansea 012A,535
W01000117,Gwynedd 017E,440
W01000656,Carmarthenshire 010A,433
W01001528,Torfaen 010D,281
W01000735,Carmarthenshire 027D,564
W01001491,Torfaen 004A,373
W01000505,Powys 021E,364
W01000821,Swansea 009E,333
W01001263,Rhondda Cynon Taf 022E,133
W01001262,Rhondda Cynon Taf 022D,133
