LSOA11CD,LSOA11NM,over_65_count
W01000888,Neath Port Talbot 004A,460
W01000809,Swansea 008A,261
W01000889,Neath Port Talbot 015A,437
W01000808,Swansea 003C,426
W01000632,Carmarthenshire 021A,386
W01001769,Cardiff 018A,341
W01001768,Cardiff 044E,123
W01001399,Caerphilly 023E,289
W01000257,Flintshire 015C,498
W01000608,Pembrokeshire 015D,358
W01001171,Rhondda Cynon Taf 017A,278
W01000604,Pembrokeshire 013E,294
W01000616,Pembrokeshire 011F,374
W01001692,Newport 011E,180
W01000816,Swansea 003F,276
W01000897,Neath Port Talbot 013D,288
W01000647,Carmarthenshire 002A,431
W01001919,Bridgend 017F,127
W01001918,Bridgend 017E,176
W01000895,Neath Port Talbot 013B,251
W01000390,Wrexham 020C,401
W01000311,Flintshire 011A,388
W01000391,Wrexham 003D,367
W01000310,Flintshire 020D,477
W01000392,Wrexham 003E,243
W01000313,Flintshire 016A,321
W01000312,Flintshire 011B,361
W01000393,Wrexham 009C,445
W01001087,The Vale of Glamorgan 006B,463
W01001644,Newport 013C,221
W01001645,Newport 015D,157
W01000639,Carmarthenshire 007C,261
W01000291,Flintshire 005B,261
W01001429,Caerphilly 001F,244
W01000213,Denbighshire 002A,332
W01000292,Flintshire 004C,189
W01000293,Flintshire 004D,274
W01000210,Denbighshire 016E,451
W01001893,Cardiff 010B,282
W01001081,The Vale of Glamorgan 007A,283
W01001639,Newport 004A,330
W01001638,Newport 016C,281
W01000781,Swansea 023B,541
W01000700,Carmarthenshire 027G,634
W01001488,Torfaen 001B,308
W01001489,Torfaen 001C,315
W01001408,Caerphilly 016B,228
W01000701,Carmarthenshire 001C,446
W01001409,Caerphilly 016C,372
W01001613,Newport 011C,203
W01001251,Rhondda Cynon Taf 024C,230
W01001682,Newport 006C,332
W01000074,Gwynedd 013B,629
W01001521,Torfaen 007C,263
W01001414,Caerphilly 008A,212
W01000501,Powys 003D,690
W01000740,Swansea 014C,606
W01000741,Swansea 014D,365
W01001448,Blaenau Gwent 002C,271
W01000553,Pembrokeshire 011A,368
W01000911,Neath Port Talbot 009C,270
W01000552,Ceredigion 011D,472
W01000999,Bridgend 010A,307
W01000931,Neath Port Talbot 020E,272
W01000930,Neath Port Talbot 011D,273
W01000933,Neath Port Talbot 019B,325
W01001579,Monmouthshire 001E,536
W01001578,Monmouthshire 009C,576
W01001807,Cardiff 007B,145
W01001886,Cardiff 016D,140
W01001806,Cardiff 015D,407
W01001887,Cardiff 020A,397
W01000959,Neath Port Talbot 017E,366
W01001885,Cardiff 011D,217
W01000824,Swansea 031B,573
W01001923,Carmarthenshire 026G,283
W01000138,Conwy 008A,494
W01001778,Cardiff 001B,469
W01000547,Ceredigion 009G,353
W01001642,Newport 013A,225
W01001643,Newport 013B,104
W01000866,Swansea 019E,163
W01000867,Swansea 019F,198
W01000864,Swansea 019C,138
W01000865,Swansea 019D,209
W01000862,Swansea 019A,118
W01000863,Swansea 019B,205
W01000255,Flintshire 015A,440
W01001022,Bridgend 014B,304
W01000730,Carmarthenshire 018D,265
W01000199,Denbighshire 011C,362
W01001041,Bridgend 013C,618
W01001048,Bridgend 008B,324
W01001043,Bridgend 004E,185
W01001040,Bridgend 009F,372
W01001045,Bridgend 019D,357
W01001042,Bridgend 004D,201
W01001047,Bridgend 018D,510
W01001044,Bridgend 019C,438
W01001049,Bridgend 008C,221
W01001336,Caerphilly 004A,302
W01000676,Carmarthenshire 004A,456
W01000677,Carmarthenshire 004B,348
W01001659,Newport 018A,265
W01001658,Newport 020D,329
W01000715,Carmarthenshire 013E,389
W01000795,Swansea 006A,249
W01000714,Carmarthenshire 013D,272
W01000796,Swansea 006B,276
W01000717,Carmarthenshire 016E,323
W01000581,Pembrokeshire 003B,424
W01000797,Swansea 010B,346
W01000716,Carmarthenshire 016D,306
W01000794,Swansea 010A,223
W01000765,Swansea 015C,283
W01000764,Swansea 015B,244
W01000767,Swansea 015E,344
W01000766,Swansea 015D,256
W01000762,Swansea 013C,248
W01000488,Powys 006C,557
W01000489,Powys 017A,436
W01000409,Wrexham 017E,279
W01000408,Wrexham 013D,229
W01000840,Swansea 030D,588
W01000423,Wrexham 012D,194
W01000422,Wrexham 008F,578
W01000425,Wrexham 010E,259
W01000134,Conwy 015B,600
W01000420,Wrexham 016E,245
W01000881,Swansea 029C,420
W01001731,Cardiff 008B,329
W01000800,Swansea 006C,342
W01000803,Swansea 002F,397
W01001730,Cardiff 008A,482
W01001733,Cardiff 019B,326
W01000882,Swansea 029D,397
W01000801,Swansea 006D,229
W01000880,Swansea 029B,562
W01001799,Cardiff 001D,423
W01001718,Cardiff 028A,56
W01001719,Cardiff 028B,114
W01001761,Cardiff 046C,219
W01001760,Cardiff 046B,232
W01001420,Caerphilly 022D,328
W01001423,Caerphilly 024B,451
W01001422,Caerphilly 022F,389
W01001421,Caerphilly 022E,208
W01000216,Denbighshire 002D,260
W01000086,Gwynedd 008B,514
W01000786,Swansea 007C,387
W01000707,Carmarthenshire 025D,222
W01001482,Torfaen 002A,232
W01001403,Caerphilly 011C,318
W01000322,Flintshire 014E,388
W01001255,Rhondda Cynon Taf 023E,286
W01001687,Newport 014D,215
W01000195,Denbighshire 012A,412
W01000586,Pembrokeshire 006C,484
W01001469,Blaenau Gwent 005F,243
W01001288,Rhondda Cynon Taf 014G,298
W01001289,Merthyr Tydfil 006A,294
W01001208,Rhondda Cynon Taf 006E,327
W01001209,Rhondda Cynon Taf 008A,181
W01001410,Caerphilly 016D,343
W01000467,Powys 010D,408
W01001759,Cardiff 046A,199
W01000364,Wrexham 006E,372
W01001902,Powys 017G,221
W01001312,Merthyr Tydfil 006E,477
W01000687,Carmarthenshire 004C,535
W01000752,Swansea 002C,218
W01001818,Cardiff 009D,198
W01001276,Rhondda Cynon Taf 013D,255
W01001688,Newport 019C,244
W01001685,Newport 014B,223
W01000110,Gwynedd 006D,286
W01000339,Flintshire 019D,409
W01000331,Flintshire 015F,293
W01000338,Flintshire 001C,470
W01000333,Flintshire 009B,178
W01000330,Flintshire 015E,275
W01000335,Flintshire 009D,227
W01000332,Flintshire 009A,229
W01000659,Carmarthenshire 026A,251
W01000658,Carmarthenshire 010C,253
W01001465,Blaenau Gwent 009B,303
W01001524,Torfaen 004D,475
W01000673,Carmarthenshire 027F,345
W01000713,Carmarthenshire 015E,287
W01000672,Carmarthenshire 027E,402
W01000792,Swansea 004B,374
W01000675,Carmarthenshire 012A,591
W01000793,Swansea 004C,217
W01000674,Carmarthenshire 027A,556
W01000712,Carmarthenshire 015D,315
W01000710,Carmarthenshire 021D,618
W01000791,Swansea 004A,213
W01000843,Swansea 005E,259
W01000761,Swansea 013B,235
W01000760,Swansea 013A,259
W01000763,Swansea 015A,247
W01001840,Cardiff 007D,333
W01001842,Cardiff 003B,140
W01001843,Cardiff 003C,210
W01001847,Cardiff 006D,501
W01001844,Cardiff 003D,258
W01001841,Cardiff 003A,239
W01001670,Newport 009B,422
W01001673,Newport 009D,427
W01000429,Powys 010A,608
W01001671,Newport 016D,356
W01001739,Cardiff 039C,123
W01001738,Cardiff 039B,110
W01000006,Isle of Anglesey 006A,422
W01001402,Caerphilly 011B,234
W01001483,Torfaen 002B,204
W01001405,Caerphilly 011E,339
W01000704,Carmarthenshire 022B,432
W01000785,Swansea 007B,347
W01001481,Blaenau Gwent 006E,360
W01001813,Cardiff 017D,233
W01001008,Bridgend 011B,649
W01001270,Rhondda Cynon Taf 010B,390
W01001600,Newport 012A,489
W01000073,Gwynedd 008A,424
W01000738,Swansea 014A,261
W01000978,Bridgend 004B,308
W01000915,Neath Port Talbot 010D,240
W01000994,Bridgend 001D,264
W01000914,Neath Port Talbot 010C,292
W01000995,Bridgend 001E,321
W01000996,Bridgend 008A,324
W01000917,Neath Port Talbot 010F,528
W01000993,Bridgend 001C,269
W01000912,Neath Port Talbot 010A,253
W01000556,Pembrokeshire 008B,385
W01000848,Swansea 001D,200
W01000823,Swansea 031A,626
W01000347,Wrexham 006A,287
W01001915,Rhondda Cynon Taf 027F,221
W01001912,Newport 020E,379
W01001914,Rhondda Cynon Taf 023F,247
W01001917,Rhondda Cynon Taf 023G,300
W01001916,Rhondda Cynon Taf 027G,164
W01001913,Newport 020F,138
W01001196,Rhondda Cynon Taf 027B,266
W01001114,The Vale of Glamorgan 008A,503
W01001197,Rhondda Cynon Taf 027C,303
W01001117,The Vale of Glamorgan 014B,396
W01001116,The Vale of Glamorgan 005A,689
W01001195,Rhondda Cynon Taf 030C,298
W01001115,The Vale of Glamorgan 008B,450
W01000236,Denbighshire 006A,257
W01001753,Cardiff 031C,202
W01000856,Swansea 022D,415
W01000081,Gwynedd 005B,430
W01001590,Monmouthshire 009D,618
W01001510,Torfaen 005A,384
W01001591,Monmouthshire 011E,213
W01001592,Monmouthshire 008D,216
W01001513,Torfaen 005D,398
W01001511,Torfaen 005B,380
W01000538,Ceredigion 005C,429
W01000539,Ceredigion 005D,373
W01001236,Rhondda Cynon Taf 021G,356
W01000259,Flintshire 017A,395
W01000252,Flintshire 010A,559
W01001029,Bridgend 019A,677
W01000126,Conwy 009A,318
W01000127,Conwy 009B,217
W01000124,Conwy 012A,607
W01000125,Conwy 013B,415
W01000754,Swansea 002E,297
W01001890,Cardiff 021D,307
W01001363,Caerphilly 012A,236
W01001153,Rhondda Cynon Taf 002C,297
W01001863,Cardiff 022A,319
W01000248,Denbighshire 008D,445
W01000249,Flintshire 014A,296
W01000513,Ceredigion 002B,128
W01001938,Swansea 025E,165
W01000593,Pembrokeshire 010C,696
W01000512,Ceredigion 002A,230
W01001729,Cardiff 014C,361
W01000642,Carmarthenshire 008B,532
W01000591,Pembrokeshire 012C,275
W01000510,Ceredigion 009D,318
W01001551,Monmouthshire 010C,225
W01001548,Monmouthshire 001B,541
W01000646,Carmarthenshire 003A,643
W01000896,Neath Port Talbot 013C,201
W01000817,Swansea 009A,261
W01001741,Cardiff 039E,140
W01001720,Cardiff 028C,57
W01001721,Cardiff 032A,118
W01001725,Cardiff 032D,33
W01001931,Wrexham 012G,206
W01001722,Cardiff 028D,50
W01001930,Wrexham 019F,530
W01001933,Gwynedd 017F,750
W01000083,Gwynedd 015D,282
W01001629,Newport 017A,403
W01001072,The Vale of Glamorgan 009E,347
W01001073,The Vale of Glamorgan 015E,319
W01001077,The Vale of Glamorgan 004C,395
W01001075,The Vale of Glamorgan 004A,221
W01001198,Rhondda Cynon Taf 027D,315
W01001076,The Vale of Glamorgan 004B,211
W01001199,Rhondda Cynon Taf 027E,319
W01001119,The Vale of Glamorgan 003B,366
W01001070,The Vale of Glamorgan 009C,117
W01001071,The Vale of Glamorgan 009D,281
W01000948,Neath Port Talbot 004D,419
W01000949,Neath Port Talbot 018A,288
W01000594,Pembrokeshire 012E,431
W01000595,Pembrokeshire 007C,597
W01000517,Ceredigion 002D,125
W01000596,Pembrokeshire 007D,421
W01000516,Ceredigion 003B,273
W01000515,Ceredigion 003A,235
W01001549,Monmouthshire 007A,402
W01001598,Monmouthshire 010F,358
W01001519,Torfaen 007A,193
W01001599,Monmouthshire 004F,637
W01000224,Denbighshire 009C,381
W01000227,Denbighshire 004B,539
W01000226,Denbighshire 004A,463
W01000225,Denbighshire 009D,385
W01000851,Swansea 021C,257
W01001020,Bridgend 002E,234
W01000757,Swansea 017C,456
W01001364,Caerphilly 012B,259
W01001454,Blaenau Gwent 008E,247
W01001457,Blaenau Gwent 004D,280
W01001456,Blaenau Gwent 004C,298
W01001154,Rhondda Cynon Taf 003D,291
W01001455,Blaenau Gwent 008F,378
W01001865,Cardiff 022C,245
W01001231,Rhondda Cynon Taf 017D,233
W01001230,Rhondda Cynon Taf 017C,387
W01001233,Rhondda Cynon Taf 001F,409
W01001837,Cardiff 030C,110
W01001836,Cardiff 030B,70
W01001835,Cardiff 033F,256
W01001834,Cardiff 033E,125
W01000969,Neath Port Talbot 009D,276
W01000327,Flintshire 018C,431
W01001567,Monmouthshire 005B,352
W01001895,Cardiff 010D,374
W01001002,Bridgend 010D,292
W01000140,Conwy 010B,397
W01000141,Conwy 010C,764
W01000820,Swansea 009D,336
W01000343,Wrexham 007A,370
W01000219,Denbighshire 001B,553
W01000298,Flintshire 001B,405
W01000218,Denbighshire 001A,418
W01000237,Denbighshire 006B,195
W01001750,Cardiff 031A,380
W01000089,Gwynedd 011D,540
W01001907,Powys 001G,356
W01001396,Caerphilly 023D,278
W01000600,Pembrokeshire 013A,346
W01000755,Swansea 017A,384
W01001369,Caerphilly 012D,515
W01001159,Rhondda Cynon Taf 028C,137
W01001470,Blaenau Gwent 001D,400
W01000859,Swansea 027B,530
W01000858,Swansea 027A,283
W01001831,Cardiff 030A,102
W01001830,Cardiff 033B,73
W01000482,Powys 008C,524
W01000403,Wrexham 018C,331
W01000481,Powys 008B,598
W01001797,Cardiff 005C,343
W01000400,Wrexham 005C,273
W01001717,Cardiff 035D,226
W01001716,Cardiff 035C,223
W01000939,Neath Port Talbot 008D,345
W01000938,Neath Port Talbot 008C,445
W01000749,Swansea 026A,493
W01001278,Rhondda Cynon Taf 028E,160
W01001698,Cardiff 036E,121
W01000723,Carmarthenshire 012E,385
W01001619,Newport 003C,212
W01000722,Carmarthenshire 012D,490
W01000725,Carmarthenshire 011D,668
W01001215,Rhondda Cynon Taf 011C,194
W01001214,Rhondda Cynon Taf 011B,328
W01001294,Merthyr Tydfil 003B,440
W01001217,Rhondda Cynon Taf 018A,170
W01001295,Merthyr Tydfil 002A,289
W01001216,Rhondda Cynon Taf 011D,303
W01001296,Merthyr Tydfil 002B,344
W01001293,Merthyr Tydfil 004B,377
W01000892,Neath Port Talbot 015D,492
W01000812,Swansea 008C,217
W01000893,Neath Port Talbot 003A,422
W01000328,Flintshire 011C,309
W01001252,Rhondda Cynon Taf 024D,295
W01001686,Newport 014C,231
W01000193,Denbighshire 015A,256
W01001880,Cardiff 013B,89
W01001447,Blaenau Gwent 002B,252
W01001881,Cardiff 013C,261
W01001800,Cardiff 005D,317
W01001446,Blaenau Gwent 002A,343
W01001444,Blaenau Gwent 005B,364
W01001784,Cardiff 026F,313
W01001785,Cardiff 023A,199
W01001705,Cardiff 045C,214
W01001704,Cardiff 041A,190
W01001707,Cardiff 041C,279
W01000733,Carmarthenshire 026E,205
W01001702,Cardiff 045A,227
W01000976,Bridgend 003A,193
W01000815,Swansea 003E,398
W01000894,Neath Port Talbot 013A,359
W01000814,Swansea 008E,244
W01000813,Swansea 008D,315
W01001728,Cardiff 014B,345
W01000592,Pembrokeshire 012D,205
W01001939,Cardiff 032F,37
W01001520,Torfaen 007B,336
W01001625,Newport 001C,310
W01000095,Gwynedd 012C,387
W01001640,Newport 004B,384
W01001641,Newport 004C,389
W01000860,Swansea 027C,471
W01000861,Swansea 027D,302
W01000826,Swansea 031D,425
W01001608,Newport 008B,282
W01001925,Carmarthenshire 023F,600
W01000130,Conwy 012C,522
W01000192,Denbighshire 016A,294
W01000084,Gwynedd 014D,364
W01001628,Newport 001F,271
W01001652,Newport 002B,305
W01001655,Newport 002E,415
W01001654,Newport 002D,339
W01000079,Gwynedd 013C,389
W01000683,Carmarthenshire 005C,303
W01001810,Cardiff 017B,217
W01001366,Caerphilly 019A,363
W01001156,Rhondda Cynon Taf 003E,203
W01000798,Swansea 010C,433
W01000799,Swansea 010D,172
W01000719,Carmarthenshire 010E,352
W01001867,Cardiff 016B,177
W01001580,Monmouthshire 002E,510
W01000587,Pembrokeshire 010A,533
W01000589,Pembrokeshire 012A,217
W01000578,Pembrokeshire 014B,537
W01000571,Pembrokeshire 006A,624
W01000570,Pembrokeshire 005C,105
W01000573,Pembrokeshire 006B,547
W01000638,Carmarthenshire 007B,128
W01000579,Pembrokeshire 003A,656
W01000631,Carmarthenshire 024D,320
W01000015,Isle of Anglesey 008C,482
W01000643,Carmarthenshire 006A,251
W01000454,Powys 013A,363
W01000091,Gwynedd 001D,144
W01000011,Isle of Anglesey 008B,309
W01001826,Cardiff 024B,366
W01001827,Cardiff 024C,381
W01000455,Powys 013B,460
W01001320,Merthyr Tydfil 007C,301
W01001322,Merthyr Tydfil 007E,368
W01001325,Caerphilly 003A,282
W01001324,Merthyr Tydfil 003E,507
W01001327,Caerphilly 014A,356
W01001326,Caerphilly 003B,363
W01001079,The Vale of Glamorgan 012E,203
W01001078,The Vale of Glamorgan 004D,298
W01001328,Caerphilly 014B,275
W01001321,Merthyr Tydfil 007D,261
W01000262,Flintshire 017C,195
W01000265,Flintshire 012B,436
W01000264,Flintshire 012A,274
W01000267,Flintshire 017F,383
W01000263,Flintshire 017D,250
W01000623,Pembrokeshire 004D,532
W01000622,Pembrokeshire 008E,416
W01000625,Carmarthenshire 013A,229
W01001473,Blaenau Gwent 003B,279
W01001472,Blaenau Gwent 003A,326
W01001475,Blaenau Gwent 003D,208
W01001474,Blaenau Gwent 003C,358
W01001832,Cardiff 033C,41
W01001833,Cardiff 033D,177
W01001451,Blaenau Gwent 007B,268
W01000465,Powys 018E,371
W01000847,Swansea 001C,334
W01000169,Conwy 001D,533
W01000168,Conwy 002B,372
W01000163,Conwy 009E,199
W01000162,Conwy 014C,419
W01000165,Conwy 006C,657
W01000164,Conwy 009F,206
W01000167,Conwy 011C,379
W01000166,Conwy 006D,499
W01000057,Gwynedd 016C,433
W01000056,Gwynedd 009A,331
W01001499,Torfaen 011C,192
W01001239,Rhondda Cynon Taf 026B,257
W01001238,Rhondda Cynon Taf 022C,215
W01001264,Rhondda Cynon Taf 022F,113
W01001267,Rhondda Cynon Taf 007C,267
W01000221,Denbighshire 003B,374
W01000228,Denbighshire 004C,558
W01001266,Rhondda Cynon Taf 007B,299
W01000232,Denbighshire 017B,339
W01001265,Rhondda Cynon Taf 007A,309
W01001756,Cardiff 025B,201
W01000923,Neath Port Talbot 007D,386
W01000922,Neath Port Talbot 007C,310
W01000925,Neath Port Talbot 003B,312
W01000924,Neath Port Talbot 011C,223
W01000927,Neath Port Talbot 020B,302
W01000926,Neath Port Talbot 003C,512
W01000413,Wrexham 010C,105
W01000493,Powys 017E,368
W01000412,Wrexham 015D,315
W01000415,Wrexham 007C,428
W01000494,Powys 015E,444
W01000492,Powys 017D,447
W01000374,Wrexham 003A,319
W01000377,Wrexham 004A,293
W01000376,Wrexham 003C,319
W01000098,Gwynedd 006C,315
W01000019,Isle of Anglesey 005C,560
W01000099,Gwynedd 005C,327
W01000018,Isle of Anglesey 001C,372
W01000090,Gwynedd 002D,188
W01001851,Cardiff 012D,443
W01000372,Wrexham 008C,270
W01000375,Wrexham 003B,202
W01001850,Cardiff 012C,558
W01000360,Wrexham 019D,260
W01000153,Conwy 009D,475
W01001166,Rhondda Cynon Taf 016A,259
W01000202,Denbighshire 015B,364
W01000283,Flintshire 008E,398
W01001942,Cardiff 049B,195
W01000284,Flintshire 013C,310
W01000205,Denbighshire 016B,319
W01001944,Cardiff 048C,47
W01000204,Denbighshire 013B,439
W01001945,Cardiff 048D,58
W01001946,Cardiff 049C,134
W01001947,Cardiff 048E,73
W01000203,Denbighshire 013A,645
W01001943,Cardiff 048B,88
W01001379,Caerphilly 013C,337
W01001371,Caerphilly 022A,262
W01001378,Caerphilly 013B,427
W01001310,Merthyr Tydfil 002E,333
W01001174,Rhondda Cynon Taf 020C,264
W01000449,Powys 011C,441
W01000607,Pembrokeshire 015C,479
W01000433,Powys 006A,639
W01000432,Powys 014B,360
W01000434,Powys 007A,535
W01001531,Torfaen 003D,326
W01001530,Torfaen 003C,196
W01001566,Monmouthshire 005A,331
W01001533,Torfaen 012B,240
W01001532,Torfaen 010E,311
W01001898,Merthyr Tydfil 008F,341
W01000849,Swansea 021A,243
W01000247,Denbighshire 010C,579
W01000235,Denbighshire 017D,273
W01001751,Cardiff 027D,208
W01001479,Blaenau Gwent 006D,268
W01001478,Blaenau Gwent 006C,302
W01001772,Cardiff 021A,388
W01000365,Wrexham 011C,568
W01000777,Swansea 012B,471
W01000776,Swansea 030B,636
W01000154,Conwy 003A,491
W01000774,Swansea 005B,384
W01001623,Newport 001A,389
W01000536,Ceredigion 011E,408
W01000537,Ceredigion 008D,421
W01001268,Rhondda Cynon Taf 007D,295
W01001269,Rhondda Cynon Taf 010A,379
W01000419,Wrexham 016D,204
W01000498,Powys 003A,266
W01000418,Wrexham 020E,408
W01000499,Powys 003B,272
W01001393,Caerphilly 019D,276
W01000601,Pembrokeshire 013B,284
W01001859,Cardiff 034B,219
W01001858,Cardiff 034A,266
W01000445,Powys 015C,400
W01001899,Powys 021F,500
W01001817,Cardiff 009C,265
W01001085,The Vale of Glamorgan 002D,408
W01001342,Caerphilly 021A,252
W01001285,Rhondda Cynon Taf 014D,335
W01001204,Rhondda Cynon Taf 006A,259
W01000401,Wrexham 005D,278
W01000427,Powys 011A,433
W01000426,Powys 021A,362
W01000348,Wrexham 006B,228
W01001207,Rhondda Cynon Taf 006D,271
W01001286,Rhondda Cynon Taf 014E,295
W01001284,Rhondda Cynon Taf 015E,150
W01001205,Rhondda Cynon Taf 006B,389
W01000273,Flintshire 007A,342
W01000201,Denbighshire 008B,280
W01000280,Flintshire 010B,333
W01000289,Flintshire 005A,223
W01001588,Monmouthshire 010D,542
W01001504,Torfaen 013A,420
W01001609,Newport 015B,124
W01001605,Newport 014A,253
W01000190,Conwy 014D,344
W01000750,Swansea 002A,382
W01000136,Conwy 006B,784
W01001754,Cardiff 031D,369
W01000829,Swansea 018C,447
W01000087,Gwynedd 004C,390
W01000142,Conwy 010D,569
W01000663,Carmarthenshire 016B,603
W01000662,Carmarthenshire 016A,475
W01000665,Carmarthenshire 017A,395
W01000660,Carmarthenshire 026B,304
W01001796,Cardiff 002C,284
W01001714,Cardiff 035A,268
W01001736,Cardiff 008C,390
W01000238,Denbighshire 006C,245
W01001661,Newport 018C,134
W01000871,Swansea 026B,136
W01000870,Swansea 024D,199
W01000878,Swansea 007F,282
W01000887,Neath Port Talbot 005A,379
W01000886,Neath Port Talbot 017C,222
W01000806,Swansea 003A,357
W01000001,Isle of Anglesey 007A,360
W01000690,Carmarthenshire 019A,446
W01000611,Pembrokeshire 004C,582
W01000691,Carmarthenshire 019B,444
W01001626,Newport 001D,342
W01001316,Merthyr Tydfil 005B,471
W01000441,Powys 005B,385
W01000447,Powys 007C,568
W01001360,Caerphilly 002A,276
W01001150,Rhondda Cynon Taf 003B,367
W01000323,Flintshire 012C,470
W01001606,Newport 008A,272
W01000114,Gwynedd 009D,405
W01000507,Ceredigion 009A,457
W01001529,Torfaen 003B,393
W01000732,Carmarthenshire 026D,248
W01001871,Cardiff 037B,176
W01001870,Cardiff 037A,153
W01001873,Cardiff 038C,175
W01000728,Carmarthenshire 003D,591
W01000729,Carmarthenshire 018C,267
W01000837,Swansea 004D,390
W01000834,Swansea 011D,268
W01000836,Swansea 011E,189
W01000519,Ceredigion 010A,488
W01000598,Pembrokeshire 009C,601
W01000599,Pembrokeshire 009D,501
W01000092,Gwynedd 001E,162
W01000010,Isle of Anglesey 002A,726
W01000093,Gwynedd 006B,648
W01000013,Isle of Anglesey 005B,678
W01000094,Gwynedd 012B,363
W01000116,Gwynedd 017D,749
W01000012,Isle of Anglesey 006B,418
W01000734,Carmarthenshire 026F,168
W01001010,Bridgend 012B,215
W01001011,Bridgend 012C,249
W01001092,The Vale of Glamorgan 007B,330
W01001091,The Vale of Glamorgan 010A,502
W01001093,The Vale of Glamorgan 013C,389
W01001229,Rhondda Cynon Taf 017B,267
W01001013,Bridgend 005B,394
W01001015,Bridgend 002B,279
W01001012,Bridgend 005A,276
W01001228,Rhondda Cynon Taf 021D,387
W01001090,The Vale of Glamorgan 006E,379
W01001018,Bridgend 002D,247
W01001413,Caerphilly 017C,341
W01000207,Denbighshire 015C,594
W01000369,Wrexham 020F,425
W01000522,Ceredigion 010B,391
W01000286,Flintshire 013E,316
W01000206,Denbighshire 013C,470
W01000287,Flintshire 001A,540
W01000525,Ceredigion 011A,457
W01000524,Ceredigion 005B,557
W01000285,Flintshire 013D,439
W01000523,Ceredigion 001C,436
W01000158,Conwy 004D,672
W01000588,Pembrokeshire 010B,401
W01001535,Torfaen 012D,300
W01001534,Torfaen 012C,330
W01001537,Torfaen 007E,297
W01001358,Caerphilly 006C,328
W01001359,Caerphilly 006D,315
W01001350,Caerphilly 009C,381
W01001351,Caerphilly 005D,434
W01000318,Flintshire 016F,246
W01000399,Wrexham 013B,259
W01000251,Flintshire 013A,298
W01001390,Caerphilly 006E,331
W01000341,Wrexham 009A,290
W01001173,Rhondda Cynon Taf 020B,243
W01000544,Ceredigion 007C,288
W01001417,Caerphilly 008D,286
W01001583,Monmouthshire 007B,457
W01001774,Cardiff 018D,303
W01001646,Newport 015E,307
W01001647,Newport 015F,415
W01000143,Conwy 007B,246
W01000144,Conwy 007C,175
W01000145,Conwy 008B,271
W01000246,Denbighshire 010B,399
W01000146,Conwy 001B,490
W01000147,Conwy 001C,644
W01000148,Conwy 015D,205
W01000149,Conwy 005A,524
W01000244,Denbighshire 014C,467
W01001869,Cardiff 038A,180
W01001274,Rhondda Cynon Taf 013B,168
W01001584,Monmouthshire 008B,323
W01000104,Gwynedd 008C,443
W01000184,Conwy 005E,769
W01000186,Conwy 001E,405
W01000185,Conwy 015E,334
W01000187,Conwy 002C,219
W01000107,Gwynedd 010E,368
W01000106,Gwynedd 010D,624
W01000105,Gwynedd 010C,428
W01000102,Gwynedd 002E,325
W01001683,Newport 006D,181
W01000118,Gwynedd 007D,330
W01001463,Blaenau Gwent 006B,403
W01000540,Ceredigion 005E,360
W01000971,Neath Port Talbot 004G,259
W01000543,Ceredigion 011C,500
W01001497,Torfaen 011A,312
W01000500,Powys 003C,329
W01001926,Conwy 011F,635
W01000135,Conwy 006A,944
W01000344,Wrexham 007B,464
W01001660,Newport 018B,226
W01001663,Newport 008C,385
W01001662,Newport 018D,198
W01001665,Newport 008D,435
W01000518,Ceredigion 003C,266
W01000835,Swansea 013E,309
W01000832,Swansea 011B,235
W01001343,Caerphilly 021B,255
W01001344,Caerphilly 020C,404
W01001345,Caerphilly 021C,160
W01001346,Caerphilly 020D,351
W01001347,Caerphilly 005C,356
W01001138,Rhondda Cynon Taf 005B,250
W01001139,Rhondda Cynon Taf 005C,265
W01001340,Caerphilly 020A,398
W01001341,Caerphilly 020B,369
W01001525,Torfaen 003A,328
W01000970,Neath Port Talbot 005D,284
W01000272,Flintshire 006D,542
W01000275,Flintshire 007C,237
W01000274,Flintshire 007B,295
W01001148,Rhondda Cynon Taf 002A,313
W01001187,Rhondda Cynon Taf 001B,287
W01001149,Rhondda Cynon Taf 003A,308
W01001030,Bridgend 019B,524
W01001031,Bridgend 018A,555
W01001104,The Vale of Glamorgan 004E,461
W01001185,Rhondda Cynon Taf 022A,364
W01001755,Cardiff 025A,81
W01001240,Rhondda Cynon Taf 026C,419
W01001032,Bridgend 018B,584
W01001033,Bridgend 003E,349
W01001034,Bridgend 003F,293
W01001035,Bridgend 014E,214
W01001107,The Vale of Glamorgan 011B,548
W01001036,Bridgend 017D,376
W01001243,Rhondda Cynon Taf 030E,334
W01001186,Rhondda Cynon Taf 001A,281
W01001037,Bridgend 013B,447
W01001106,The Vale of Glamorgan 011A,353
W01000004,Isle of Anglesey 001B,409
W01001089,The Vale of Glamorgan 006D,416
W01001181,Rhondda Cynon Taf 015B,283
W01001100,The Vale of Glamorgan 010C,408
W01001182,Rhondda Cynon Taf 021A,211
W01001103,The Vale of Glamorgan 010D,282
W01001183,Rhondda Cynon Taf 021B,123
W01001102,The Vale of Glamorgan 013F,222
W01001184,Rhondda Cynon Taf 026A,490
W01001105,The Vale of Glamorgan 001A,668
W01001180,Rhondda Cynon Taf 015A,213
W01001101,The Vale of Glamorgan 013E,213
W01001319,Merthyr Tydfil 007B,345
W01000689,Carmarthenshire 003C,489
