LSOA11CD,LSOA11NM,percent_welsh_speakers
W01001848,Cardiff 012B,14.5
W01000464,Powys 011D,8.0
W01001678,Newport 005D,9.7
W01001679,Newport 007D,10.5
W01000575,Pembrokeshire 008C,11.4
W01000574,Pembrokeshire 015A,11.2
W01000633,Carmarthenshire 021B,28.9
W01000407,Wrexham 016C,12.4
W01000486,Powys 011G,11.1
W01000487,Powys 012E,11.8
W01000406,Wrexham 013C,19.6
W01000314,Flintshire 016B,16.7
W01000395,Wrexham 016B,8.1
W01000317,Flintshire 016E,32.5
W01000396,Wrexham 020H,9.6
W01000397,Wrexham 020I,11.4
W01000316,Flintshire 016D,28.6
W01000028,Isle of Anglesey 001D,69.9
W01000029,Isle of Anglesey 003C,45.3
W01000315,Flintshire 016C,17.7
W01000394,Wrexham 016A,11.4
W01001271,Rhondda Cynon Taf 010C,12.6
W01001581,Monmouthshire 005E,11.1
W01001680,Newport 007E,11.0
W01000071,Gwynedd 003B,73.7
W01001354,Caerphilly 014D,10.2
W01001355,Caerphilly 015A,7.9
W01001356,Caerphilly 006A,11.8
W01001357,Caerphilly 006B,10.0
W01001068,The Vale of Glamorgan 009B,10.3
W01001069,The Vale of Glamorgan 012C,12.0
W01001060,The Vale of Glamorgan 015B,14.5
W01001061,The Vale of Glamorgan 015C,11.7
W01001352,Caerphilly 007A,9.6
W01001353,Caerphilly 007B,8.6
W01000739,Swansea 014B,7.9
W01001249,Rhondda Cynon Taf 024A,11.2
W01001248,Rhondda Cynon Taf 016D,9.6
W01000737,Swansea 028B,8.4
W01000546,Ceredigion 009F,49.3
W01001412,Caerphilly 017B,7.9
W01000345,Wrexham 018A,8.5
W01000239,Denbighshire 004D,12.9
W01001246,Rhondda Cynon Taf 025D,13.9
W01000080,Gwynedd 014C,49.3
W01001397,Caerphilly 019E,15.4
W01001361,Caerphilly 002B,9.9
W01001151,Rhondda Cynon Taf 003C,11.9
W01000349,Wrexham 011A,13.1
W01001650,Newport 004E,13.3
W01001653,Newport 002C,8.8
W01001823,Cardiff 029B,16.0
W01001822,Cardiff 029A,13.2
W01001824,Cardiff 029C,12.8
W01001825,Cardiff 029D,11.4
W01001820,Cardiff 006A,23.4
W01000234,Denbighshire 017G,12.3
W01000460,Powys 006B,36.0
W01001775,Cardiff 021B,8.7
W01000667,Carmarthenshire 023C,32.5
W01000666,Carmarthenshire 017B,44.5
W01000367,Wrexham 014B,10.7
W01001905,Powys 018H,11.4
W01000664,Carmarthenshire 016C,60.2
W01000156,Conwy 004B,15.8
W01000484,Powys 011E,6.8
W01001622,Newport 003F,8.6
W01000405,Wrexham 015B,26.6
W01000485,Powys 011F,8.0
W01000404,Wrexham 018D,9.8
W01000483,Powys 009C,15.3
W01000402,Wrexham 011D,10.6
W01000873,Swansea 026C,9.4
W01000875,Swansea 026D,10.4
W01000872,Swansea 024E,15.9
W01000877,Swansea 007E,17.3
W01000874,Swansea 024F,10.3
W01000876,Swansea 026E,9.2
W01001394,Caerphilly 023B,11.3
W01000606,Pembrokeshire 015B,10.2
W01001816,Cardiff 009B,9.0
W01001086,The Vale of Glamorgan 006A,11.9
W01001667,Newport 010C,8.0
W01001666,Newport 010B,8.2
