LSOA11CD,LSOA11NM,percent_welsh_speakers
W01000746,Swansea 025C,7.8
W01000955,Neath Port Talbot 004E,26.6
W01000952,Neath Port Talbot 018D,9.0
W01001576,Monmouthshire 004D,9.0
W01000899,Neath Port Talbot 014B,16.2
W01000818,Swansea 009B,9.5
W01001708,Cardiff 045D,9.6
W01000898,Neath Port Talbot 014A,15.7
W01000471,Powys 014E,16.8
W01000470,Powys 001D,19.7
W01000473,Powys 004C,51.6
W01001211,Rhondda Cynon Taf 008C,9.1
W01000439,Powys 007B,13.9
W01001317,Merthyr Tydfil 005C,8.6
W01000321,Flintshire 014D,12.9
W01000450,Powys 014C,13.8
W01000451,Powys 012B,11.6
W01000831,Swansea 013D,7.3
W01000830,Swansea 011A,5.4
W01000833,Swansea 011C,5.6
W01000648,Carmarthenshire 006D,52.6
W01000649,Carmarthenshire 006E,56.0
W01000303,Flintshire 018A,11.5
W01000382,Wrexham 012B,14.3
W01000302,Flintshire 013F,10.3
W01000383,Wrexham 020A,11.1
W01000305,Flintshire 003F,15.7
W01000384,Wrexham 020B,8.9
W01000304,Flintshire 003E,12.7
W01000385,Wrexham 014C,17.9
W01000381,Wrexham 012A,11.4
W01000300,Flintshire 019B,19.5
W01000629,Carmarthenshire 024B,25.8
W01000628,Carmarthenshire 024A,26.1
W01000773,Swansea 005A,12.0
W01000772,Swansea 018A,11.7
W01000775,Swansea 030A,8.5
W01001516,Torfaen 006C,7.2
W01000770,Swansea 020C,6.8
W01001597,Monmouthshire 006F,10.5
W01001517,Torfaen 006D,9.3
W01001746,Cardiff 041D,6.9
W01001747,Cardiff 027A,12.9
W01000535,Ceredigion 008C,56.9
W01000534,Ceredigion 011B,54.0
W01000532,Ceredigion 007B,50.8
W01001950,Cardiff 049D,11.8
W01001953,Cardiff 005G,9.4
W01000567,Pembrokeshire 002D,28.5
W01000566,Pembrokeshire 002C,35.0
W01001505,Torfaen 013B,8.0
W01001250,Rhondda Cynon Taf 024B,12.1
W01001311,Merthyr Tydfil 002F,7.4
W01000256,Flintshire 015B,10.1
W01001172,Rhondda Cynon Taf 020A,11.3
W01000442,Powys 004A,57.8
W01001003,Bridgend 015D,9.1
W01001275,Rhondda Cynon Taf 013C,11.1
W01001502,Torfaen 011E,12.7
W01000119,Gwynedd 004D,64.3
W01000751,Swansea 002B,26.5
W01001496,Torfaen 004B,9.0
W01001828,Cardiff 024D,12.3
W01001460,Blaenau Gwent 007E,9.9
W01001712,Cardiff 040D,21.1
W01001793,Cardiff 002A,10.3
W01001715,Cardiff 035B,22.2
W01001794,Cardiff 001C,12.7
W01001795,Cardiff 002B,12.7
W01001792,Cardiff 005B,7.8
W01000879,Swansea 029A,10.0
W01001924,Carmarthenshire 026H,16.6
W01000133,Conwy 002A,19.4
W01001668,Newport 010D,8.0
W01000231,Denbighshire 017A,14.9
W01000005,Isle of Anglesey 005A,39.5
W01001025,Bridgend 003D,9.2
W01000602,Pembrokeshire 013C,9.0
W01000756,Swansea 017B,9.7
W01001891,Cardiff 020C,17.6
W01001088,The Vale of Glamorgan 006C,8.1
W01001798,Cardiff 002D,11.0
W01000635,Carmarthenshire 025A,30.8
W01000576,Pembrokeshire 011D,10.9
W01000634,Carmarthenshire 021C,35.1
W01000888,Neath Port Talbot 004A,29.5
W01000809,Swansea 008A,11.9
W01000889,Neath Port Talbot 015A,8.3
W01000808,Swansea 003C,11.5
W01000632,Carmarthenshire 021A,32.7
W01001769,Cardiff 018A,14.3
W01001768,Cardiff 044E,8.7
W01001399,Caerphilly 023E,11.6
W01000257,Flintshire 015C,8.7
W01000608,Pembrokeshire 015D,10.5
W01001171,Rhondda Cynon Taf 017A,11.4
W01000604,Pembrokeshire 013E,9.7
W01000616,Pembrokeshire 011F,11.0
W01001692,Newport 011E,9.3
W01000816,Swansea 003F,12.2
W01000897,Neath Port Talbot 013D,7.0
W01000647,Carmarthenshire 002A,46.0
W01001919,Bridgend 017F,13.7
W01001918,Bridgend 017E,11.8
W01000895,Neath Port Talbot 013B,8.1
W01000390,Wrexham 020C,9.6
W01000311,Flintshire 011A,11.3
W01000391,Wrexham 003D,11.8
W01000310,Flintshire 020D,14.8
W01000392,Wrexham 003E,11.5
W01000313,Flintshire 016A,19.7
W01000312,Flintshire 011B,7.7
W01000393,Wrexham 009C,12.5
W01001087,The Vale of Glamorgan 006B,10.0
W01001644,Newport 013C,9.0
W01001645,Newport 015D,9.5
W01000639,Carmarthenshire 007C,37.9
W01000291,Flintshire 005B,13.6
W01001429,Caerphilly 001F,12.4
W01000213,Denbighshire 002A,15.1
W01000292,Flintshire 004C,13.3
W01000293,Flintshire 004D,12.7
W01000210,Denbighshire 016E,19.5
W01001893,Cardiff 010B,11.7
W01001081,The Vale of Glamorgan 007A,10.4
W01001639,Newport 004A,11.5
W01001638,Newport 016C,10.9
W01000781,Swansea 023B,10.1
W01000700,Carmarthenshire 027G,44.2
W01001488,Torfaen 001B,9.5
W01001489,Torfaen 001C,8.5
W01001408,Caerphilly 016B,11.9
W01000701,Carmarthenshire 001C,56.4
W01001409,Caerphilly 016C,10.3
W01001613,Newport 011C,10.0
W01001251,Rhondda Cynon Taf 024C,11.3
W01001682,Newport 006C,7.0
W01000074,Gwynedd 013B,54.1
W01001521,Torfaen 007C,12.3
W01001414,Caerphilly 008A,11.7
W01000501,Powys 003D,14.3
W01000740,Swansea 014C,10.3
W01000741,Swansea 014D,10.4
W01001448,Blaenau Gwent 002C,7.5
W01000553,Pembrokeshire 011A,11.6
W01000911,Neath Port Talbot 009C,10.2
W01000552,Ceredigion 011D,58.3
W01000999,Bridgend 010A,9.1
W01000931,Neath Port Talbot 020E,60.8
W01000930,Neath Port Talbot 011D,7.0
W01000933,Neath Port Talbot 019B,12.1
W01001579,Monmouthshire 001E,10.3
W01001578,Monmouthshire 009C,10.6
W01001807,Cardiff 007B,7.1
W01001886,Cardiff 016D,5.6
W01001806,Cardiff 015D,10.2
W01001887,Cardiff 020A,26.0
W01000959,Neath Port Talbot 017E,8.9
W01001885,Cardiff 011D,8.4
W01000824,Swansea 031B,10.5
W01001923,Carmarthenshire 026G,18.7
W01000138,Conwy 008A,23.0
W01001778,Cardiff 001B,11.9
W01000547,Ceredigion 009G,60.4
W01001642,Newport 013A,9.1
W01001643,Newport 013B,10.4
W01000866,Swansea 019E,5.0
W01000867,Swansea 019F,6.4
W01000864,Swansea 019C,5.4
W01000865,Swansea 019D,6.1
W01000862,Swansea 019A,6.6
W01000863,Swansea 019B,5.4
W01000255,Flintshire 015A,8.5
W01001022,Bridgend 014B,10.6
W01000730,Carmarthenshire 018D,45.7
W01000199,Denbighshire 011C,38.1
W01001041,Bridgend 013C,11.9
W01001048,Bridgend 008B,9.3
W01001043,Bridgend 004E,11.4
W01001040,Bridgend 009F,11.6
W01001045,Bridgend 019D,8.2
W01001042,Bridgend 004D,11.6
W01001047,Bridgend 018D,9.7
W01001044,Bridgend 019C,7.0
W01001049,Bridgend 008C,7.6
W01001336,Caerphilly 004A,9.3
W01000676,Carmarthenshire 004A,52.4
W01000677,Carmarthenshire 004B,48.1
W01001659,Newport 018A,9.9
W01001658,Newport 020D,9.4
W01000715,Carmarthenshire 013E,55.7
W01000795,Swansea 006A,16.1
W01000714,Carmarthenshire 013D,50.6
W01000796,Swansea 006B,15.9
W01000717,Carmarthenshire 016E,68.8
W01000581,Pembrokeshire 003B,42.1
W01000797,Swansea 010B,14.5
W01000716,Carmarthenshire 016D,65.8
W01000794,Swansea 010A,15.5
W01000765,Swansea 015C,6.4
W01000764,Swansea 015B,6.1
W01000767,Swansea 015E,6.2
W01000766,Swansea 015D,8.4
W01000762,Swansea 013C,6.3
W01000488,Powys 006C,22.1
W01000489,Powys 017A,11.2
W01000409,Wrexham 017E,11.4
W01000408,Wrexham 013D,18.2
W01000840,Swansea 030D,10.6
W01000423,Wrexham 012D,14.1
W01000422,Wrexham 008F,10.8
W01000425,Wrexham 010E,7.7
W01000134,Conwy 015B,59.6
W01000420,Wrexham 016E,12.0
W01000881,Swansea 029C,6.6
W01001731,Cardiff 008B,11.7
W01000800,Swansea 006C,16.3
W01000803,Swansea 002F,38.3
W01001730,Cardiff 008A,11.2
W01001733,Cardiff 019B,12.5
W01000882,Swansea 029D,7.1
W01000801,Swansea 006D,8.7
W01000880,Swansea 029B,8.8
W01001799,Cardiff 001D,13.3
W01001718,Cardiff 028A,9.3
W01001719,Cardiff 028B,10.1
W01001761,Cardiff 046C,11.9
W01001760,Cardiff 046B,8.3
W01001420,Caerphilly 022D,13.6
W01001423,Caerphilly 024B,11.6
W01001422,Caerphilly 022F,8.7
W01001421,Caerphilly 022E,9.4
W01000216,Denbighshire 002D,16.7
W01000086,Gwynedd 008B,74.4
W01000786,Swansea 007C,18.0
W01000707,Carmarthenshire 025D,29.6
W01001482,Torfaen 002A,11.9
W01001403,Caerphilly 011C,11.1
W01000322,Flintshire 014E,14.3
W01001255,Rhondda Cynon Taf 023E,10.8
W01001687,Newport 014D,5.1
W01000195,Denbighshire 012A,45.4
W01000586,Pembrokeshire 006C,14.4
W01001469,Blaenau Gwent 005F,8.7
W01001288,Rhondda Cynon Taf 014G,11.0
W01001289,Merthyr Tydfil 006A,10.1
W01001208,Rhondda Cynon Taf 006E,10.5
W01001209,Rhondda Cynon Taf 008A,8.6
W01001410,Caerphilly 016D,10.8
W01000467,Powys 010D,15.3
W01001759,Cardiff 046A,10.9
W01000364,Wrexham 006E,20.3
W01001902,Powys 017G,12.6
W01001312,Merthyr Tydfil 006E,7.9
W01000687,Carmarthenshire 004C,55.7
W01000752,Swansea 002C,14.3
W01001818,Cardiff 009D,8.5
W01001276,Rhondda Cynon Taf 013D,8.1
W01001688,Newport 019C,12.4
W01001685,Newport 014B,9.7
W01000110,Gwynedd 006D,90.0
W01000339,Flintshire 019D,24.4
W01000331,Flintshire 015F,5.3
W01000338,Flintshire 001C,26.2
W01000333,Flintshire 009B,9.0
W01000330,Flintshire 015E,6.7
W01000335,Flintshire 009D,7.5
W01000332,Flintshire 009A,6.1
W01000659,Carmarthenshire 026A,18.8
W01000658,Carmarthenshire 010C,60.1
W01001465,Blaenau Gwent 009B,8.4
W01001524,Torfaen 004D,7.5
W01000673,Carmarthenshire 027F,20.1
W01000713,Carmarthenshire 015E,65.6
W01000672,Carmarthenshire 027E,24.2
W01000792,Swansea 004B,20.1
W01000675,Carmarthenshire 012A,57.8
W01000793,Swansea 004C,16.9
W01000674,Carmarthenshire 027A,48.7
W01000712,Carmarthenshire 015D,59.1
W01000710,Carmarthenshire 021D,34.9
W01000791,Swansea 004A,13.3
W01000843,Swansea 005E,14.5
W01000761,Swansea 013B,9.1
W01000760,Swansea 013A,12.8
W01000763,Swansea 015A,6.5
W01001840,Cardiff 007D,8.8
W01001842,Cardiff 003B,11.1
W01001843,Cardiff 003C,10.7
W01001847,Cardiff 006D,10.7
W01001844,Cardiff 003D,9.6
W01001841,Cardiff 003A,11.9
W01001670,Newport 009B,10.7
W01001673,Newport 009D,8.0
W01000429,Powys 010A,23.4
W01001671,Newport 016D,9.0
W01001739,Cardiff 039C,7.2
W01001738,Cardiff 039B,10.3
W01000006,Isle of Anglesey 006A,73.3
W01001402,Caerphilly 011B,7.8
W01001483,Torfaen 002B,13.2
W01001405,Caerphilly 011E,11.3
W01000704,Carmarthenshire 022B,35.4
W01000785,Swansea 007B,18.1
W01001481,Blaenau Gwent 006E,6.8
W01001813,Cardiff 017D,6.5
W01001008,Bridgend 011B,9.5
W01001270,Rhondda Cynon Taf 010B,15.3
W01001600,Newport 012A,8.8
W01000073,Gwynedd 008A,81.3
W01000738,Swansea 014A,6.7
W01000978,Bridgend 004B,9.8
W01000915,Neath Port Talbot 010D,11.1
W01000994,Bridgend 001D,11.6
W01000914,Neath Port Talbot 010C,10.3
W01000995,Bridgend 001E,10.6
W01000996,Bridgend 008A,8.1
W01000917,Neath Port Talbot 010F,12.3
W01000993,Bridgend 001C,9.2
W01000912,Neath Port Talbot 010A,12.3
W01000556,Pembrokeshire 008B,16.2
W01000848,Swansea 001D,22.5
W01000823,Swansea 031A,9.8
W01000347,Wrexham 006A,14.2
W01001915,Rhondda Cynon Taf 027F,21.3
W01001912,Newport 020E,8.4
W01001914,Rhondda Cynon Taf 023F,14.5
W01001917,Rhondda Cynon Taf 023G,8.0
W01001916,Rhondda Cynon Taf 027G,22.7
W01001913,Newport 020F,9.2
W01001196,Rhondda Cynon Taf 027B,20.4
W01001114,The Vale of Glamorgan 008A,12.0
W01001197,Rhondda Cynon Taf 027C,21.2
W01001117,The Vale of Glamorgan 014B,9.2
W01001116,The Vale of Glamorgan 005A,12.4
W01001195,Rhondda Cynon Taf 030C,15.0
W01001115,The Vale of Glamorgan 008B,10.1
W01000236,Denbighshire 006A,10.8
W01001753,Cardiff 031C,10.2
W01000856,Swansea 022D,9.2
W01000081,Gwynedd 005B,74.7
W01001590,Monmouthshire 009D,8.0
W01001510,Torfaen 005A,10.0
W01001591,Monmouthshire 011E,14.2
W01001592,Monmouthshire 008D,11.8
W01001513,Torfaen 005D,9.2
W01001511,Torfaen 005B,7.9
W01000538,Ceredigion 005C,57.7
W01000539,Ceredigion 005D,50.0
W01001236,Rhondda Cynon Taf 021G,17.0
W01000259,Flintshire 017A,9.6
W01000252,Flintshire 010A,7.7
W01001029,Bridgend 019A,9.1
W01000126,Conwy 009A,22.9
W01000127,Conwy 009B,18.6
W01000124,Conwy 012A,41.9
W01000125,Conwy 013B,33.3
W01000754,Swansea 002E,20.5
W01001890,Cardiff 021D,10.4
W01001363,Caerphilly 012A,8.6
W01001153,Rhondda Cynon Taf 002C,10.9
W01001863,Cardiff 022A,8.8
W01000248,Denbighshire 008D,27.8
W01000249,Flintshire 014A,16.7
W01000513,Ceredigion 002B,26.6
W01001938,Swansea 025E,6.7
W01000593,Pembrokeshire 010C,9.3
W01000512,Ceredigion 002A,36.5
W01001729,Cardiff 014C,13.3
W01000642,Carmarthenshire 008B,41.4
W01000591,Pembrokeshire 012C,10.5
W01000510,Ceredigion 009D,55.8
W01001551,Monmouthshire 010C,11.7
W01001548,Monmouthshire 001B,10.5
W01000646,Carmarthenshire 003A,48.8
W01000896,Neath Port Talbot 013C,11.4
W01000817,Swansea 009A,8.9
W01001741,Cardiff 039E,9.6
W01001720,Cardiff 028C,10.4
W01001721,Cardiff 032A,8.5
W01001725,Cardiff 032D,12.4
W01001931,Wrexham 012G,9.0
W01001722,Cardiff 028D,10.4
W01001930,Wrexham 019F,31.2
W01001933,Gwynedd 017F,42.6
W01000083,Gwynedd 015D,79.2
W01001629,Newport 017A,7.0
W01001072,The Vale of Glamorgan 009E,12.2
W01001073,The Vale of Glamorgan 015E,8.6
W01001077,The Vale of Glamorgan 004C,8.3
W01001075,The Vale of Glamorgan 004A,12.9
W01001198,Rhondda Cynon Taf 027D,13.4
W01001076,The Vale of Glamorgan 004B,11.5
W01001199,Rhondda Cynon Taf 027E,14.6
W01001119,The Vale of Glamorgan 003B,11.4
W01001070,The Vale of Glamorgan 009C,11.3
W01001071,The Vale of Glamorgan 009D,9.3
W01000948,Neath Port Talbot 004D,31.3
W01000949,Neath Port Talbot 018A,10.5
W01000594,Pembrokeshire 012E,9.1
W01000595,Pembrokeshire 007C,21.8
W01000517,Ceredigion 002D,27.3
W01000596,Pembrokeshire 007D,17.2
W01000516,Ceredigion 003B,35.8
W01000515,Ceredigion 003A,37.2
W01001549,Monmouthshire 007A,9.6
W01001598,Monmouthshire 010F,10.3
W01001519,Torfaen 007A,9.0
W01001599,Monmouthshire 004F,10.0
W01000224,Denbighshire 009C,18.2
W01000227,Denbighshire 004B,13.3
W01000226,Denbighshire 004A,11.7
W01000225,Denbighshire 009D,22.0
W01000851,Swansea 021C,7.0
W01001020,Bridgend 002E,10.6
W01000757,Swansea 017C,10.1
W01001364,Caerphilly 012B,9.1
W01001454,Blaenau Gwent 008E,6.4
W01001457,Blaenau Gwent 004D,6.3
W01001456,Blaenau Gwent 004C,6.1
W01001154,Rhondda Cynon Taf 003D,10.8
W01001455,Blaenau Gwent 008F,7.8
W01001865,Cardiff 022C,10.0
W01001231,Rhondda Cynon Taf 017D,12.5
W01001230,Rhondda Cynon Taf 017C,14.2
W01001233,Rhondda Cynon Taf 001F,16.6
W01001837,Cardiff 030C,10.7
W01001836,Cardiff 030B,12.7
W01001835,Cardiff 033F,7.5
W01001834,Cardiff 033E,8.6
W01000969,Neath Port Talbot 009D,13.6
W01000327,Flintshire 018C,11.1
W01001567,Monmouthshire 005B,7.6
W01001895,Cardiff 010D,10.8
W01001002,Bridgend 010D,9.6
W01000140,Conwy 010B,22.5
W01000141,Conwy 010C,21.9
W01000820,Swansea 009D,11.3
W01000343,Wrexham 007A,10.5
W01000219,Denbighshire 001B,15.2
W01000298,Flintshire 001B,15.9
W01000218,Denbighshire 001A,12.7
W01000237,Denbighshire 006B,14.6
W01001750,Cardiff 031A,8.0
W01000089,Gwynedd 011D,77.0
W01001907,Powys 001G,29.5
W01001396,Caerphilly 023D,13.6
W01000600,Pembrokeshire 013A,9.2
W01000755,Swansea 017A,8.4
W01001369,Caerphilly 012D,10.3
W01001159,Rhondda Cynon Taf 028C,16.9
W01001470,Blaenau Gwent 001D,8.0
W01000859,Swansea 027B,12.9
W01000858,Swansea 027A,11.8
W01001831,Cardiff 030A,10.5
W01001830,Cardiff 033B,8.9
W01000482,Powys 008C,16.7
W01000403,Wrexham 018C,6.6
W01000481,Powys 008B,14.9
W01001797,Cardiff 005C,10.0
W01000400,Wrexham 005C,9.7
W01001717,Cardiff 035D,20.8
W01001716,Cardiff 035C,18.2
W01000939,Neath Port Talbot 008D,9.1
W01000938,Neath Port Talbot 008C,12.3
W01000749,Swansea 026A,7.6
W01001278,Rhondda Cynon Taf 028E,13.1
W01001698,Cardiff 036E,9.0
W01000723,Carmarthenshire 012E,41.0
W01001619,Newport 003C,8.6
W01000722,Carmarthenshire 012D,56.8
W01000725,Carmarthenshire 011D,54.7
W01001215,Rhondda Cynon Taf 011C,9.4
W01001214,Rhondda Cynon Taf 011B,14.4
W01001294,Merthyr Tydfil 003B,10.6
W01001217,Rhondda Cynon Taf 018A,8.8
W01001295,Merthyr Tydfil 002A,6.6
W01001216,Rhondda Cynon Taf 011D,11.1
W01001296,Merthyr Tydfil 002B,7.9
W01001293,Merthyr Tydfil 004B,9.6
W01000892,Neath Port Talbot 015D,9.3
W01000812,Swansea 008C,10.1
W01000893,Neath Port Talbot 003A,14.8
W01000328,Flintshire 011C,9.0
W01001252,Rhondda Cynon Taf 024D,10.5
W01001686,Newport 014C,10.5
W01000193,Denbighshire 015A,49.7
W01001880,Cardiff 013B,9.4
W01001447,Blaenau Gwent 002B,8.8
W01001881,Cardiff 013C,6.3
W01001800,Cardiff 005D,9.5
W01001446,Blaenau Gwent 002A,8.9
W01001444,Blaenau Gwent 005B,9.1
W01001784,Cardiff 026F,9.9
W01001785,Cardiff 023A,11.2
W01001705,Cardiff 045C,9.0
W01001704,Cardiff 041A,8.1
W01001707,Cardiff 041C,9.1
W01000733,Carmarthenshire 026E,22.9
W01001702,Cardiff 045A,9.3
W01000976,Bridgend 003A,7.7
W01000815,Swansea 003E,19.9
W01000894,Neath Port Talbot 013A,9.1
W01000814,Swansea 008E,9.7
W01000813,Swansea 008D,13.5
W01001728,Cardiff 014B,23.4
W01000592,Pembrokeshire 012D,8.9
W01001939,Cardiff 032F,7.1
W01001520,Torfaen 007B,11.4
W01001625,Newport 001C,8.7
W01000095,Gwynedd 012C,76.1
W01001640,Newport 004B,6.9
W01001641,Newport 004C,10.6
W01000860,Swansea 027C,14.1
W01000861,Swansea 027D,9.8
W01000826,Swansea 031D,11.2
W01001608,Newport 008B,10.5
W01001925,Carmarthenshire 023F,32.9
W01000130,Conwy 012C,27.5
W01000192,Denbighshire 016A,45.4
W01000084,Gwynedd 014D,63.4
W01001628,Newport 001F,8.0
W01001652,Newport 002B,8.1
W01001655,Newport 002E,7.9
W01001654,Newport 002D,8.5
W01000079,Gwynedd 013C,50.8
W01000683,Carmarthenshire 005C,44.6
W01001810,Cardiff 017B,7.6
W01001366,Caerphilly 019A,11.6
W01001156,Rhondda Cynon Taf 003E,13.4
W01000798,Swansea 010C,11.5
W01000799,Swansea 010D,10.6
W01000719,Carmarthenshire 010E,65.8
W01001867,Cardiff 016B,8.2
W01001580,Monmouthshire 002E,10.5
W01000587,Pembrokeshire 010A,7.5
W01000589,Pembrokeshire 012A,8.7
W01000578,Pembrokeshire 014B,10.2
W01000571,Pembrokeshire 006A,13.7
W01000570,Pembrokeshire 005C,14.7
W01000573,Pembrokeshire 006B,13.5
W01000638,Carmarthenshire 007B,30.4
W01000579,Pembrokeshire 003A,37.8
W01000631,Carmarthenshire 024D,15.6
W01000015,Isle of Anglesey 008C,70.5
W01000643,Carmarthenshire 006A,31.6
W01000454,Powys 013A,11.4
W01000091,Gwynedd 001D,48.1
W01000011,Isle of Anglesey 008B,47.4
W01001826,Cardiff 024B,12.0
W01001827,Cardiff 024C,14.8
W01000455,Powys 013B,14.1
W01001320,Merthyr Tydfil 007C,10.0
W01001322,Merthyr Tydfil 007E,11.1
W01001325,Caerphilly 003A,10.7
W01001324,Merthyr Tydfil 003E,10.7
W01001327,Caerphilly 014A,11.5
W01001326,Caerphilly 003B,10.4
W01001079,The Vale of Glamorgan 012E,10.5
W01001078,The Vale of Glamorgan 004D,11.8
W01001328,Caerphilly 014B,12.0
W01001321,Merthyr Tydfil 007D,11.8
W01000262,Flintshire 017C,10.4
W01000265,Flintshire 012B,11.4
W01000264,Flintshire 012A,11.7
W01000267,Flintshire 017F,10.4
W01000263,Flintshire 017D,8.4
W01000623,Pembrokeshire 004D,23.9
W01000622,Pembrokeshire 008E,13.5
W01000625,Carmarthenshire 013A,48.6
W01001473,Blaenau Gwent 003B,8.3
W01001472,Blaenau Gwent 003A,9.7
W01001475,Blaenau Gwent 003D,7.9
W01001474,Blaenau Gwent 003C,8.5
W01001832,Cardiff 033C,7.5
W01001833,Cardiff 033D,9.9
W01001451,Blaenau Gwent 007B,8.8
W01000465,Powys 018E,11.3
W01000847,Swansea 001C,32.9
W01000169,Conwy 001D,15.9
W01000168,Conwy 002B,20.9
W01000163,Conwy 009E,20.4
W01000162,Conwy 014C,63.0
W01000165,Conwy 006C,30.8
W01000164,Conwy 009F,21.7
W01000167,Conwy 011C,22.5
W01000166,Conwy 006D,28.7
W01000057,Gwynedd 016C,63.2
W01000056,Gwynedd 009A,78.2
W01001499,Torfaen 011C,9.1
W01001239,Rhondda Cynon Taf 026B,12.7
W01001238,Rhondda Cynon Taf 022C,14.0
W01001264,Rhondda Cynon Taf 022F,10.0
W01001267,Rhondda Cynon Taf 007C,15.1
W01000221,Denbighshire 003B,11.9
W01000228,Denbighshire 004C,14.4
W01001266,Rhondda Cynon Taf 007B,13.0
W01000232,Denbighshire 017B,17.0
W01001265,Rhondda Cynon Taf 007A,17.8
W01001756,Cardiff 025B,7.6
W01000923,Neath Port Talbot 007D,12.6
W01000922,Neath Port Talbot 007C,10.3
W01000925,Neath Port Talbot 003B,16.3
W01000924,Neath Port Talbot 011C,6.2
W01000927,Neath Port Talbot 020B,30.1
W01000926,Neath Port Talbot 003C,24.5
W01000413,Wrexham 010C,8.6
W01000493,Powys 017E,13.0
W01000412,Wrexham 015D,30.6
W01000415,Wrexham 007C,9.6
W01000494,Powys 015E,11.8
W01000492,Powys 017D,12.9
W01000374,Wrexham 003A,12.4
W01000377,Wrexham 004A,11.5
W01000376,Wrexham 003C,9.6
W01000098,Gwynedd 006C,87.4
W01000019,Isle of Anglesey 005C,43.9
W01000099,Gwynedd 005C,70.6
W01000018,Isle of Anglesey 001C,52.4
W01000090,Gwynedd 002D,51.9
W01001851,Cardiff 012D,12.5
W01000372,Wrexham 008C,11.2
W01000375,Wrexham 003B,11.2
W01001850,Cardiff 012C,14.5
W01000360,Wrexham 019D,10.7
W01000153,Conwy 009D,20.5
W01001166,Rhondda Cynon Taf 016A,7.3
W01000202,Denbighshire 015B,53.7
W01000283,Flintshire 008E,9.1
W01001942,Cardiff 049B,9.8
W01000284,Flintshire 013C,11.4
W01000205,Denbighshire 016B,59.2
W01001944,Cardiff 048C,11.1
W01000204,Denbighshire 013B,33.8
W01001945,Cardiff 048D,10.6
W01001946,Cardiff 049C,7.7
W01001947,Cardiff 048E,11.0
W01000203,Denbighshire 013A,24.1
W01001943,Cardiff 048B,11.3
W01001379,Caerphilly 013C,12.7
W01001371,Caerphilly 022A,11.4
W01001378,Caerphilly 013B,11.3
W01001310,Merthyr Tydfil 002E,7.9
W01001174,Rhondda Cynon Taf 020C,7.1
W01000449,Powys 011C,8.5
W01000607,Pembrokeshire 015C,10.3
W01000433,Powys 006A,25.9
W01000432,Powys 014B,15.3
W01000434,Powys 007A,4.3
W01001531,Torfaen 003D,8.2
W01001530,Torfaen 003C,10.9
W01001566,Monmouthshire 005A,7.8
W01001533,Torfaen 012B,12.8
W01001532,Torfaen 010E,12.8
W01001898,Merthyr Tydfil 008F,7.8
W01000849,Swansea 021A,6.2
W01000247,Denbighshire 010C,28.5
W01000235,Denbighshire 017D,17.4
W01001751,Cardiff 027D,9.2
W01001479,Blaenau Gwent 006D,8.0
W01001478,Blaenau Gwent 006C,8.8
W01001772,Cardiff 021A,10.9
W01000365,Wrexham 011C,14.1
W01000777,Swansea 012B,13.3
W01000776,Swansea 030B,11.4
W01000154,Conwy 003A,19.7
W01000774,Swansea 005B,14.1
W01001623,Newport 001A,8.8
W01000536,Ceredigion 011E,54.9
W01000537,Ceredigion 008D,49.0
W01001268,Rhondda Cynon Taf 007D,16.1
W01001269,Rhondda Cynon Taf 010A,14.5
W01000419,Wrexham 016D,15.1
W01000498,Powys 003A,9.9
W01000418,Wrexham 020E,8.5
W01000499,Powys 003B,10.9
W01001393,Caerphilly 019D,12.1
W01000601,Pembrokeshire 013B,8.8
W01001859,Cardiff 034B,19.0
W01001858,Cardiff 034A,19.4
W01000445,Powys 015C,10.0
W01001899,Powys 021F,46.2
W01001817,Cardiff 009C,7.4
W01001085,The Vale of Glamorgan 002D,11.3
W01001342,Caerphilly 021A,10.8
W01001285,Rhondda Cynon Taf 014D,11.8
W01001204,Rhondda Cynon Taf 006A,10.9
W01000401,Wrexham 005D,11.8
W01000427,Powys 011A,10.0
W01000426,Powys 021A,38.6
W01000348,Wrexham 006B,12.2
W01001207,Rhondda Cynon Taf 006D,11.8
W01001286,Rhondda Cynon Taf 014E,12.3
W01001284,Rhondda Cynon Taf 015E,19.7
W01001205,Rhondda Cynon Taf 006B,10.6
W01000273,Flintshire 007A,10.0
W01000201,Denbighshire 008B,16.8
W01000280,Flintshire 010B,9.0
W01000289,Flintshire 005A,12.6
W01001588,Monmouthshire 010D,11.1
W01001504,Torfaen 013A,8.7
W01001609,Newport 015B,10.9
W01001605,Newport 014A,9.3
W01000190,Conwy 014D,70.8
W01000750,Swansea 002A,20.3
W01000136,Conwy 006B,23.0
W01001754,Cardiff 031D,9.6
W01000829,Swansea 018C,17.3
W01000087,Gwynedd 004C,87.8
W01000142,Conwy 010D,23.6
W01000663,Carmarthenshire 016B,67.2
W01000662,Carmarthenshire 016A,58.9
W01000665,Carmarthenshire 017A,43.2
W01000660,Carmarthenshire 026B,22.1
W01001796,Cardiff 002C,10.9
W01001714,Cardiff 035A,25.5
W01001736,Cardiff 008C,12.3
W01000238,Denbighshire 006C,16.0
W01001661,Newport 018C,9.1
W01000871,Swansea 026B,10.0
W01000870,Swansea 024D,10.9
W01000878,Swansea 007F,16.2
W01000887,Neath Port Talbot 005A,13.5
W01000886,Neath Port Talbot 017C,7.0
W01000806,Swansea 003A,12.7
W01000001,Isle of Anglesey 007A,50.0
