"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","Gwynedd 013 ","Dyffryn Ardudwy ",208,771,555,1534
"","","","","Harlech ",201,1037,629,1867
"","","","","Llanbedr ",119,507,389,1015
"","","","","Penrhyndeudraeth 2 ",318,863,307,1488
"","","","Gwynedd 015 ","",1054,3555,1331,5940
"","","","Gwynedd 015 ","Bala ",377,1229,488,2094
"","","","","Corris/Mawddwy ",195,784,326,1305
"","","","","Llandderfel & Llanuwchllyn 1 ",212,715,235,1162
"","","","","Llandderfel & Llanuwchllyn 2 ",270,827,282,1379
"","","","Gwynedd 016 ","",979,3711,1819,6509
"","","","Gwynedd 016 ","Abermaw 1 ",227,738,402,1367
"","","","","Abermaw 2 ",160,661,253,1074
"","","","","Brithdir and Llanfachreth/Ganllwyd/Llanelltyd ",215,748,433,1396
"","","","","Dolgellau North ",113,684,342,1139
"","","","","Dolgellau South ",264,880,389,1533
"","","","Gwynedd 017 ","",978,3827,2624,7429
"","","","Gwynedd 017 ","Llangelynin ",278,1061,685,2024
"","","","","Tywyn 1 ",228,745,749,1722
"","","","","Tywyn 2 ",258,837,440,1535
"","","","","Aberdovey / Bryn-crug / Llanfihangel ",214,1184,750,2148
"","","Gwynedd U004 ","","",4631,15785,7770,28186
"","","Gwynedd U004 ","Gwynedd 010 ","",1099,3800,2113,7012
"","","","Gwynedd 010 ","Dolbenmaen ",219,652,383,1254
"","","","","Penrhyndeudraeth 1 ",182,577,310,1069
"","","","","Porthmadog East ",368,1048,428,1844
"","","","","Porthmadog West ",137,840,624,1601
"","","","","Porthmadog - Tremadog ",193,683,368,1244
"","","","Gwynedd 011 ","",1145,3953,1868,6966
"","","","Gwynedd 011 ","Abererch ",215,728,360,1303
"","","","","Criccieth ",255,931,606,1792
"","","","","Llanaelhaearn ",317,1047,362,1726
"","","","","Llanystumdwy ",358,1247,540,2145
"","","","Gwynedd 012 ","",1456,4771,2094,8321
"","","","Gwynedd 012 ","Efail-newydd/Buan ",207,789,343,1339
"","","","","Morfa Nefyn ",194,712,363,1269
"","","","","Nefyn ",252,776,387,1415
"","","","","Pwllheli North ",404,1402,496,2302
"","","","","Pwllheli South ",399,1092,505,1996
"","","","Gwynedd 014 ","",931,3261,1695,5887
"","","","Gwynedd 014 ","Llanbedrog & Abersoch ",224,912,602,1738
"","","","","Llanengan ",166,677,364,1207
"","","","","Aberdaron / Botwnnog & Tudweiliog ",541,1672,729,2942
"","Conwy ","","","",19009,66018,32154,117181
"","Conwy ","Conwy U001 ","","",3994,15377,8818,28189
"","","Conwy U001 ","Conwy 001 ","",1138,5224,2535,8897
"","","","Conwy 001 ","Craig-y-Don 1 ",218,890,463,1571
"","","","","Gogarth 1 ",212,1368,490,2070
"","","","","Gogarth 2 ",173,687,644,1504
"","","","","Mostyn (Conwy) 2 ",257,1201,533,1991
"","","","","Tudno 1 ",278,1078,405,1761
"","","","Conwy 002 ","",1181,3879,2013,7073
"","","","Conwy 002 ","Craig-y-Don 2 ",187,831,929,1947
"","","","","Mostyn (Conwy) 1 ",383,1085,372,1840
"","","","","Tudno 2 ",383,998,219,1600
"","","","","Tudno 3 ",228,965,493,1686
"","","","Conwy 003 ","",898,3287,2060,6245
"","","","Conwy 003 ","Llandrillo yn Rhos 1 ",188,752,491,1431
"","","","","Penrhyn 1 ",279,932,295,1506
"","","","","Penrhyn 2 ",269,910,523,1702
"","","","","Penrhyn 3 ",162,693,751,1606
"","","","Conwy 004 ","",777,2987,2210,5974
"","","","Conwy 004 ","Llandrillo yn Rhos 2 ",189,670,583,1442
"","","","","Llandrillo yn Rhos 3 ",141,732,649,1522
"","","","","Llandrillo yn Rhos 4 ",300,878,306,1484
"","","","","Llandrillo yn Rhos 5 ",147,707,672,1526
"","","Conwy U002 ","","",5325,17502,7847,30674
"","","Conwy U002 ","Conwy 006 ","",1479,5221,2884,9584
"","","","Conwy 006 ","Deganwy 1 ",232,1009,944,2185
"","","","","Deganwy 2 ",416,1511,784,2711
"","","","","Marl 1 ",281,1079,657,2017
"","","","","Marl 2 ",550,1622,499,2671
"","","","Conwy 007 ","",1111,3583,1507,6201
"","","","Conwy 007 ","Eirias 2 ",244,850,328,1422
"","","","","Glyn (Conwy) 1 ",355,949,246,1550
"","","","","Glyn (Conwy) 2 ",308,870,175,1353
"","","","","Rhiw 3 ",204,914,758,1876
"","","","Conwy 008 ","",1340,4382,1885,7607
"","","","Conwy 008 ","Eirias 1 ",321,940,494,1755
"","","","","Glyn (Conwy) 3 ",246,746,271,1263
"","","","","Rhiw 1 ",272,952,396,1620
"","","","","Rhiw 2 ",282,919,265,1466
"","","","","Rhiw 4 ",219,825,459,1503
"","","","Conwy 011 ","",1395,4316,1571,7282
"","","","Conwy 011 ","Mochdre ",440,1196,379,2015
"","","","","Pensarn 1 ",362,1113,268,1743
"","","","","Pensarn 2 ",244,738,289,1271
"","","","","Llansanffraid ",349,1269,635,2253
"","","Conwy U003 ","","",4741,15152,7909,27802
"","","Conwy U003 ","Conwy 005 ","",1422,4631,2340,8393
"","","","Conwy 005 ","Kinmel Bay 1 ",221,752,524,1497
"","","","","Kinmel Bay 2 ",247,824,404,1475
"","","","","Kinmel Bay 3 ",389,949,275,1613
"","","","","Kinmel Bay 4 ",243,875,368,1486
"","","","","Towyn ",322,1231,769,2322
"","","","Conwy 009 ","",1781,5082,1764,8627
"","","","Conwy 009 ","Colwyn 1 ",336,975,318,1629
"","","","","Colwyn 2 ",286,708,217,1211
"","","","","Colwyn 3 ",251,759,349,1359
"","","","","Llanddulas ",242,893,475,1610
"","","","","Llysfaen 1 ",359,836,199,1394
"","","","","Llysfaen 2 ",307,911,206,1424
"","","","Conwy 010 ","",1538,5439,3805,10782
"","","","Conwy 010 ","Gele 1 ",283,931,397,1611
"","","","","Gele 2 ",172,672,764,1608
"","","","","Gele 3 ",167,751,569,1487
"","","","","Pentre Mawr 1 ",348,1029,498,1875
"","","","","Pentre Mawr 2 ",202,738,757,1697
"","","","","Abergele Pensarn 1 ",234,689,448,1371
"","","","","Abergele Pensarn 2 ",132,629,372,1133
"","","Conwy U004 ","","",4949,17987,7580,30516
"","","Conwy U004 ","Conwy 012 ","",1190,4082,1823,7095
"","","","Conwy 012 ","Caerhun ",334,1132,607,2073
"","","","","Conwy 1 ",214,660,235,1109
"","","","","Conwy 2 ",216,1110,522,1848
"","","","","Conwy 3 ",426,1180,459,2065
"","","","Conwy 013 ","",1250,4701,1906,7857
"","","","Conwy 013 ","Bryn ",330,1155,400,1885
"","","","","Capelulo ",207,763,415,1385
"","","","","Pandy ",291,1090,500,1881
"","","","","Pant-yr-afon/Penmaenan 1 ",210,897,402,1509
"","","","","Pant-yr-afon/Penmaenan 2 ",212,796,189,1197
"","","","Conwy 014 ","",1109,4153,1682,6944
"","","","Conwy 014 ","Betws yn Rhos ",313,1275,572,2160
"","","","","Llangernyw ",255,793,347,1395
"","","","","Llansannan ",328,1236,419,1983
"","","","","Uwchaled ",213,849,344,1406
"","","","Conwy 015 ","",1400,5051,2169,8620
"","","","Conwy 015 ","Betws-y-Coed ",161,690,309,1160
"","","","","Crwst ",349,1132,600,2081
"","","","","Eglwysbach ",231,891,402,1524
"","","","","Gower (Conwy) ",244,711,205,1160
"","","","","Trefriw ",201,745,334,1280
"","","","","Uwch Conwy ",214,882,319,1415
"","Denbighshire ","","","",17271,55100,22959,95330
"","Denbighshire ","Denbighshire U001 ","","",4833,15756,7556,28145
"","","Denbighshire U001 ","Denbighshire 001 ","",985,3089,1766,5840
"","","","Denbighshire 001 ","Prestatyn North 1 ",253,863,418,1534
"","","","","Prestatyn North 2 ",602,1483,553,2638
"","","","","Prestatyn North 3 ",130,743,795,1668
"","","","Denbighshire 002 ","",959,3050,1248,5257
"","","","Denbighshire 002 ","Prestatyn Central 2 ",307,769,332,1408
"","","","","Prestatyn East 1 ",204,621,236,1061
"","","","","Prestatyn East 2 ",220,773,420,1413
"","","","","Prestatyn East 3 ",228,887,260,1375
"","","","Denbighshire 003 ","",794,2843,1561,5198
"","","","Denbighshire 003 ","Prestatyn Central 1 ",301,1230,595,2126
"","","","","Prestatyn South West 1 ",208,732,374,1314
"","","","","Prestatyn South West 2 ",285,881,592,1758
"","","","Denbighshire 008 ","",1254,3753,1517,6524
"","","","Denbighshire 008 ","Dyserth 1 ",227,772,325,1324
"","","","","Dyserth 2 ",329,911,280,1520
"","","","","Prestatyn Meliden ",413,1110,467,1990
"","","","","Tremeirchion ",285,960,445,1690
"","","","Denbighshire 010 ","",841,3021,1464,5326
"","","","Denbighshire 010 ","St. Asaph East ",290,966,486,1742
"","","","","St. Asaph West ",276,1009,399,1684
"","","","","Trefnant ",275,1046,579,1900
"","","Denbighshire U002 ","","",6366,18696,6987,32049
"","","Denbighshire U002 ","Denbighshire 004 ","",1803,5474,2181,9458
"","","","Denbighshire 004 ","Rhyl East 1 ",241,783,463,1487
"","","","","Rhyl East 2 ",258,834,539,1631
"","","","","Rhyl East 3 ",210,724,558,1492
"","","","","Rhyl West 1 ",349,1128,248,1725
"","","","","Rhyl West 2 ",349,1103,209,1661
"","","","","Rhyl West 3 ",396,902,164,1462
"","","","Denbighshire 006 ","",1508,3284,697,5489
"","","","Denbighshire 006 ","Rhyl South West 1 ",543,1148,257,1948
"","","","","Rhyl South West 2 ",586,1064,195,1845
"","","","","Rhyl South West 3 ",379,1072,245,1696
"","","","Denbighshire 009 ","",1144,3701,1564,6409
"","","","Denbighshire 009 ","Bodelwyddan ",442,1319,433,2194
"","","","","Rhuddlan 1 ",178,745,365,1288
"","","","","Rhuddlan 2 ",268,776,381,1425
"","","","","Rhuddlan 3 ",256,861,385,1502
"","","","Denbighshire 017 ","",1911,6237,2545,10693
"","","","Denbighshire 017 ","Rhyl South 1 ",255,815,578,1648
"","","","","Rhyl South 2 ",267,1090,541,1898
"","","","","Rhyl South East 1 ",255,829,277,1361
"","","","","Rhyl South East 2 ",266,1001,339,1606
"","","","","Rhyl South East 3 ",222,755,308,1285
"","","","","Rhyl South East 4 ",440,969,229,1638
"","","","","Rhyl South East 5 ",206,778,273,1257
"","","Denbighshire U003 ","","",6072,20648,8416,35136
"","","Denbighshire U003 ","Denbighshire 011 ","",977,3222,961,5160
"","","","Denbighshire 011 ","Denbigh Central ",313,1367,363,2043
"","","","","Denbigh Upper/Henllan 1 ",351,847,236,1434
"","","","","Denbigh Upper/Henllan 2 ",313,1008,362,1683
"","","","Denbighshire 012 ","",1191,3816,1528,6535
"","","","Denbighshire 012 ","Denbigh Lower 1 ",244,777,412,1433
"","","","","Denbigh Lower 2 ",332,901,252,1485
"","","","","Denbigh Lower 3 ",288,1050,373,1711
"","","","","Llanrhaeadr-yng-Nghinmeirch ",327,1088,491,1906
"","","","Denbighshire 013 ","",952,3610,1554,6116
"","","","Denbighshire 013 ","Llanarmon-yn-Ial/Llandegla ",376,1466,645,2487
"","","","","Llanbedr Dyffryn Clwyd/Llangynhafal ",195,832,439,1466
"","","","","Llandyrnog ",381,1312,470,2163
"","","","Denbighshire 014 ","",1027,3330,1366,5723
"","","","Denbighshire 014 ","Ruthin 1 ",351,1158,446,1955
"","","","","Ruthin 2 ",405,1262,453,2120
"","","","","Ruthin 3 ",271,910,467,1648
"","","","Denbighshire 015 ","",971,3079,1214,5264
"","","","Denbighshire 015 ","Corwen 2 ",229,796,256,1281
"","","","","Efenechtyd ",326,945,364,1635
"","","","","Llanfair Dyffryn Clwyd/Gwyddelwern ",416,1338,594,2348
"","","","Denbighshire 016 ","",954,3591,1793,6338
"","","","Denbighshire 016 ","Corwen 1 ",149,621,294,1064
"","","","","Llandrillo ",198,663,319,1180
"","","","","Llangollen 1 ",138,698,321,1157
"","","","","Llangollen 2 ",289,897,408,1594
"","","","","Llangollen 3 ",180,712,451,1343
"","Flintshire ","","","",28745,94196,32652,155593
"","Flintshire ","Flintshire U001 ","","",4388,15305,6618,26311
"","","Flintshire U001 ","Flintshire 001 ","",768,2883,1415,5066
"","","","Flintshire 001 ","Ffynnongroyw ",242,961,540,1743
"","","","","Gronant ",246,858,405,1509
