"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","Wrexham 011 ","Brynyffynnon 1 ",424,1405,272,2101
"","","","","Brynyffynnon 2 ",290,1080,162,1532
"","","","","Erddig ",298,1238,568,2104
"","","","","Offa ",429,1718,305,2452
"","","","Wrexham 012 ","",1811,5701,1199,8711
"","","","Wrexham 012 ","Hermitage 1 ",201,689,243,1133
"","","","","Hermitage 2 ",274,872,156,1302
"","","","","Whitegate 1 ",598,1477,194,2269
"","","","","Whitegate 2 ",231,749,247,1227
"","","","","Smithfield 2 ",209,905,153,1267
"","","","","Smithfield 3 ",298,1009,206,1513
"","","Wrexham U003 ","","",5663,17138,5213,28014
"","","Wrexham U003 ","Wrexham 006 ","",1942,5720,1529,9191
"","","","Wrexham 006 ","Brymbo 1 ",650,2031,287,2968
"","","","","Brymbo 2 ",340,827,228,1395
"","","","","Coedpoeth 1 ",420,963,254,1637
"","","","","Coedpoeth 2 ",254,899,388,1541
"","","","","Coedpoeth 3 ",278,1000,372,1650
"","","","Wrexham 013 ","",1119,3441,1166,5726
"","","","Wrexham 013 ","Minera 1 ",198,742,308,1248
"","","","","Minera 2 ",161,654,259,1074
"","","","","Penycae ",530,1352,370,2252
"","","","","Penycae and Ruabon South 2 ",230,693,229,1152
"","","","Wrexham 014 ","",1134,3716,1223,6073
"","","","Wrexham 014 ","Esclusham 1 ",309,866,270,1445
"","","","","Esclusham 2 ",233,863,191,1287
"","","","","Johnstown 1 ",249,938,433,1620
"","","","","Ponciau 1 ",343,1049,329,1721
"","","","Wrexham 015 ","",1468,4261,1295,7024
"","","","Wrexham 015 ","Johnstown 2 ",324,930,227,1481
"","","","","Pant ",574,1386,398,2358
"","","","","Ponciau 2 ",310,929,355,1594
"","","","","Ponciau 3 ",260,1016,315,1591
"","","Wrexham U004 ","","",5524,17294,6262,29080
"","","Wrexham U004 ","Wrexham 016 ","",1253,4094,1294,6641
"","","","Wrexham 016 ","Marchwiel 1 ",172,800,249,1221
"","","","","Marchwiel 2 ",202,626,283,1111
"","","","","Penycae and Ruabon South 1 ",217,791,313,1321
"","","","","Ruabon 1 ",352,989,204,1545
"","","","","Ruabon 2 ",310,888,245,1443
"","","","Wrexham 017 ","",1947,5545,1798,9290
"","","","Wrexham 017 ","Cefn 1 ",288,1106,425,1819
"","","","","Cefn 2 ",309,1024,369,1702
"","","","","Cefn 3 ",331,991,315,1637
"","","","","Llangollen Rural ",386,1251,410,2047
"","","","","Plas Madoc ",633,1173,279,2085
"","","","Wrexham 018 ","",1148,3830,1643,6621
"","","","Wrexham 018 ","Bronington 1 ",208,894,497,1599
"","","","","Bronington 2 ",262,913,381,1556
"","","","","Overton 1 ",239,780,331,1350
"","","","","Overton 2 ",439,1243,434,2116
"","","","Wrexham 019 ","",1176,3825,1527,6528
"","","","Wrexham 019 ","Chirk North 1 ",216,697,259,1172
"","","","","Chirk North 2 ",286,729,260,1275
"","","","","Chirk South ",344,1170,478,1992
"","","","","Ceiriog Valley 3 ",330,1229,530,2089
"","Powys ","","","",21198,75474,35775,132447
"","Powys ","Powys U001 ","","",4345,15790,7284,27419
"","","Powys U001 ","Powys 001 ","",1407,5214,2558,9179
"","","","Powys 001 ","Llanfyllin ",241,856,396,1493
"","","","","Llansantffraid ",313,1098,555,1966
"","","","","Meifod & Llanfihangel ",355,1384,682,2421
"","","","","Llanrhaeadr-ym-Mochnant ",270,1074,569,1913
"","","","","Llansilin ",228,802,356,1386
"","","","Powys 002 ","",1003,3482,1661,6146
"","","","Powys 002 ","Guilsfield ",346,1278,697,2321
"","","","","Llandrinio ",359,1213,526,2098
"","","","","Llandysilio ",298,991,438,1727
"","","","Powys 003 ","",1108,4026,1557,6691
"","","","Powys 003 ","Welshpool Castle ",266,958,266,1490
"","","","","Welshpool Gungrog 1 ",213,778,272,1263
"","","","","Welshpool Gungrog 2 ",243,938,329,1510
"","","","","Welshpool Llanerchyddol ",386,1352,690,2428
"","","","Powys 005 ","",827,3068,1508,5403
"","","","Powys 005 ","Berriew ",168,773,400,1341
"","","","","Forden ",246,848,385,1479
"","","","","Montgomery ",197,700,369,1266
"","","","","Trewern ",216,747,354,1317
"","","Powys U002 ","","",6101,20930,8847,35878
"","","Powys U002 ","Powys 004 ","",912,3717,1619,6248
"","","","Powys 004 ","Glantwymyn ",311,1239,494,2044
"","","","","Llanbrynmair & Banwy ",286,1122,570,1978
"","","","","Machynlleth ",315,1356,555,2226
"","","","Powys 006 ","",1003,3561,1621,6185
"","","","Powys 006 ","Caersws ",355,1276,639,2270
"","","","","Llanfair Caereinion ",305,981,425,1711
"","","","","Rhiwcynon ",343,1304,557,2204
"","","","Powys 007 ","",859,3171,1588,5618
"","","","Powys 007 ","Churchstoke ",220,877,535,1632
"","","","","Dolforwyn ",306,1193,485,1984
"","","","","Kerry ",333,1101,568,2002
"","","","Powys 008 ","",1030,3661,1542,6233
"","","","Powys 008 ","Newtown East ",413,1271,420,2104
"","","","","Newtown Llanllwchaiarn North ",294,1273,598,2165
"","","","","Newtown Llanllwchaiarn West ",323,1117,524,1964
"","","","Powys 009 ","",1261,3125,681,5067
"","","","Powys 009 ","Newtown Central 1 ",488,1195,190,1873
"","","","","Newtown Central 2 ",362,816,228,1406
"","","","","Newtown South ",411,1114,263,1788
"","","","Powys 010 ","",1036,3695,1796,6527
"","","","Powys 010 ","Blaen Hafren ",367,1336,608,2311
"","","","","Llandinam ",235,777,387,1399
"","","","","Llanidloes 1 ",269,695,393,1357
"","","","","Llanidloes 2 ",165,887,408,1460
"","","Powys U003 ","","",4423,16038,8697,29158
"","","Powys U003 ","Powys 011 ","",1389,5339,2953,9681
"","","","Powys 011 ","Beguildy ",200,757,433,1390
"","","","","Knighton 1 ",216,779,389,1384
"","","","","Knighton 2 ",233,867,441,1541
"","","","","Llangunllo ",167,665,353,1185
"","","","","Old Radnor ",201,872,478,1551
"","","","","Presteigne 1 ",201,797,570,1568
"","","","","Presteigne 2 ",171,602,289,1062
"","","","Powys 012 ","",1045,3778,2356,7179
"","","","Powys 012 ","Disserth and Trecoed ",134,584,498,1216
"","","","","Llanbadarn Fawr ",185,638,318,1141
"","","","","Llanyre ",193,624,427,1244
"","","","","Nantmel ",195,816,431,1442
"","","","","Rhayader ",338,1116,682,2136
"","","","Powys 013 ","",931,3076,1522,5529
"","","","Powys 013 ","Llandrindod East/Llandrindod West ",171,741,363,1275
"","","","","Llandrindod North ",483,1244,460,2187
"","","","","Llandrindod South ",277,1091,699,2067
"","","","Powys 014 ","",1058,3845,1866,6769
"","","","Powys 014 ","Builth 1 ",233,816,215,1264
"","","","","Builth 2 ",168,625,360,1153
"","","","","Llanafanfawr ",216,731,407,1354
"","","","","Llanelwedd ",209,648,352,1209
"","","","","Llanwrtyd Wells ",232,1025,532,1789
"","","Powys U005 ","","",6329,22716,10947,39992
"","","Powys U005 ","Powys 015 ","",1248,4739,2424,8411
"","","","Powys 015 ","Bronllys ",194,759,396,1349
"","","","","Glasbury ",373,1287,714,2374
"","","","","Gwernyfed ",203,898,400,1501
"","","","","Hay ",217,836,470,1523
"","","","","Talgarth ",261,959,444,1664
"","","","Powys 017 ","",1507,4891,2010,8408
"","","","Powys 017 ","St. David Within ",426,1251,436,2113
"","","","","St. Mary 1 ",207,926,447,1580
"","","","","St. Mary 2 ",231,880,368,1479
"","","","","St. John 1 ",312,1025,538,1875
"","","","","St. John 2 ",331,809,221,1361
"","","","Powys 018 ","",1033,3722,2225,6980
"","","","Powys 018 ","Llangynidr ",149,519,371,1039
"","","","","Crickhowell ",318,1119,733,2170
"","","","","Llangattock and Glangrwyney ",263,895,523,1681
"","","","","Llangors, Bwlch & Grwyney ",303,1189,598,2090
"","","","Powys 020 ","",948,3513,1617,6078
"","","","Powys 020 ","Felin-fâch ",214,757,394,1365
"","","","","Maescar/Llywel ",291,1032,425,1748
"","","","","Yscir ",172,648,266,1086
"","","","","Talybont-on-Usk ",271,1076,532,1879
"","","","Powys 021 ","",1593,5851,2671,10115
"","","","Powys 021 ","Aber-craf ",255,834,362,1451
"","","","","Tawe-Uchaf ",281,1131,559,1971
"","","","","Ynyscedwyn ",277,1110,660,2047
"","","","","Ystradgynlais 1 ",243,706,226,1175
"","","","","Ystradgynlais 2 ",198,839,364,1401
"","","","","Cwm-twrch ",339,1231,500,2070
"","Ceredigion ","","","",10950,43847,18195,72992
"","Ceredigion ","Ceredigion U001 ","","",6034,26561,9256,41851
"","","Ceredigion U001 ","Ceredigion 001 ","",1313,4278,1824,7415
"","","","Ceredigion 001 ","Ceulanamaesmawr ",337,1090,436,1863
"","","","","Tirymynach ",363,988,473,1824
"","","","","Trefeurig ",294,1025,382,1701
"","","","","Borth ",319,1175,533,2027
"","","","Ceredigion 002 ","",643,7468,865,8976
"","","","Ceredigion 002 ","Aberystwyth Bronglais ",153,1013,230,1396
"","","","","Aberystwyth Canol/Central ",120,2005,128,2253
"","","","","Aberystwyth Rheidol 1 ",121,1060,125,1306
"","","","","Penglais ",249,3390,382,4021
"","","","Ceredigion 003 ","",1181,4615,1186,6982
"","","","Ceredigion 003 ","Aberystwyth Penparcau 1 ",276,805,235,1316
"","","","","Aberystwyth Penparcau 2 ",418,1010,273,1701
"","","","","Aberystwyth Rheidol 2 ",107,661,266,1034
"","","","","Llanbadarn Fawr South ",202,722,173,1097
"","","","","Llanbadarn Fawr North ",178,1417,239,1834
"","","","Ceredigion 005 ","",1006,3871,2215,7092
"","","","Ceredigion 005 ","Aberaeron ",156,679,496,1331
"","","","","Ciliau Aeron ",296,1098,557,1951
"","","","","Llanrhystyd ",239,821,429,1489
"","","","","Llansantffraed 1 ",150,671,373,1194
"","","","","Llansantffraed 2 ",165,602,360,1127
"","","","Ceredigion 011 ","",1891,6329,3166,11386
"","","","Ceredigion 011 ","Faenor 1 ",161,549,457,1167
"","","","","Llanfarian ",296,813,380,1489
"","","","","Llangeitho ",205,750,408,1363
"","","","","Lledrod ",348,1221,580,2149
"","","","","Melindwr ",325,1121,500,1946
"","","","","Tregaron ",203,647,369,1219
"","","","","Ystwyth ",353,1228,472,2053
"","","Ceredigion U002 ","","",4916,17286,8939,31141
"","","Ceredigion U002 ","Ceredigion 007 ","",951,3653,1952,6556
"","","","Ceredigion 007 ","Llanarth ",320,921,402,1643
"","","","","Llandysiliogogo ",250,1024,623,1897
"","","","","New Quay ",127,562,288,977
"","","","","Penbryn ",254,1146,639,2039
"","","","Ceredigion 008 ","",1419,4823,2079,8321
"","","","Ceredigion 008 ","Lampeter 1 ",210,1092,229,1531
"","","","","Lampeter 2 ",329,809,377,1515
"","","","","Llanfihangel Ystrad ",377,1124,563,2064
"","","","","Llangybi ",217,829,421,1467
"","","","","Llanwenog ",286,969,489,1744
"","","","Ceredigion 009 ","",1457,4750,2647,8854
"","","","Ceredigion 009 ","Aberporth 1 ",185,621,457,1263
"","","","","Aberporth 2 ",196,642,330,1168
"","","","","Aberteifi/Cardigan - Mwldan ",308,904,621,1833
"","","","","Aberteifi/Cardigan - Rhyd-y-Fuwch ",184,665,318,1167
"","","","","Aberteifi/Cardigan - Teifi ",265,800,155,1220
"","","","","Pen-parc 1 ",154,547,413,1114
"","","","","Pen-parc 2 ",165,571,353,1089
"","","","Ceredigion 010 ","",1089,4060,2261,7410
"","","","Ceredigion 010 ","Beulah ",250,896,488,1634
"","","","","Capel Dewi ",138,685,391,1214
"","","","","Llandyfriog ",251,934,602,1787
"","","","","Llandysul Town ",247,773,407,1427
"","","","","Troedyraur ",203,772,373,1348
"","Pembrokeshire ","","","",21423,71502,32130,125055
"","Pembrokeshire ","Pembrokeshire U001 ","","",5167,18692,9264,33123
"","","Pembrokeshire U001 ","Pembrokeshire 001 ","",1346,4788,2349,8483
"","","","Pembrokeshire 001 ","Cilgerran ",395,1183,595,2173
"","","","","Clydau ",209,844,388,1441
"","","","","Crymych 1 ",197,726,343,1266
"","","","","Crymych 2 ",231,809,368,1408
"","","","","St. Dogmaels ",314,1226,655,2195
"","","","Pembrokeshire 002 ","",1601,5370,2942,9913
"","","","Pembrokeshire 002 ","Dinas Cross ",229,939,515,1683
"","","","","Fishguard North East ",295,986,655,1936
"","","","","Fishguard North West ",201,841,431,1473
"","","","","Goodwick ",396,1202,497,2095
"","","","","Newport ",200,549,432,1181
"","","","","Scleddau ",280,853,412,1545
"","","","Pembrokeshire 003 ","",1075,4485,2062,7622
"","","","Pembrokeshire 003 ","Letterston ",441,1389,656,2486
"","","","","Llanrhian ",153,850,424,1427
"","","","","St. David's ",241,982,555,1778
"","","","","Solva ",240,1264,427,1931
"","","","Pembrokeshire 004 ","",1145,4049,1911,7105
"","","","Pembrokeshire 004 ","Maenclochog 1 ",250,940,482,1672
"","","","","Maenclochog 2 ",239,851,315,1405
"","","","","Rudbaxton ",346,1095,582,2023
"","","","","Wiston ",310,1163,532,2005
"","","Pembrokeshire U002 ","","",8734,26934,10387,46055
"","","Pembrokeshire U002 ","Pembrokeshire 005 ","",1628,4434,1059,7121
"","","","Pembrokeshire 005 ","Haverfordwest: Castle ",447,1583,367,2397
"","","","","Haverfordwest: Garth 1 ",373,717,201,1291
"","","","","Haverfordwest: Garth 2 ",479,996,105,1580
"","","","","Haverfordwest: Prendergast ",329,1138,386,1853
"","","","Pembrokeshire 006 ","",1326,4090,1655,7071
"","","","Pembrokeshire 006 ","Haverfordwest: Portfield ",426,1264,624,2314
"","","","","Haverfordwest: Priory ",490,1493,547,2530
"","","","","Merlin's Bridge ",410,1333,484,2227
"","","","Pembrokeshire 008 ","",1344,4599,2302,8245
"","","","Pembrokeshire 008 ","Camrose 1 ",212,853,445,1510
"","","","","Camrose 2 ",184,602,385,1171
"","","","","Johnston ",491,1512,648,2651
"","","","","St. Ishmael's ",249,809,408,1466
"","","","","The Havens ",208,823,416,1447
"","","","Pembrokeshire 009 ","",1495,4936,2243,8674
"","","","Pembrokeshire 009 ","Burton ",307,1092,507,1906
"","","","","Llangwm ",437,1377,634,2448
"","","","","Neyland: East ",393,1316,601,2310
"","","","","Neyland: West ",358,1151,501,2010
"","","","Pembrokeshire 010 ","",1366,4332,1630,7328
"","","","Pembrokeshire 010 ","Milford: Central ",317,1247,533,2097
"","","","","Milford: East ",511,1443,401,2355
"","","","","Milford: North ",538,1642,696,2876
"","","","Pembrokeshire 012 ","",1575,4543,1498,7616
"","","","Pembrokeshire 012 ","Milford: Hakin 1 ",241,705,217,1163
"","","","","Milford: Hakin 2 ",143,557,370,1070
"","","","","Milford: Hubberston 1 ",391,1069,275,1735
"","","","","Milford: Hubberston 2 ",337,794,205,1336
"","","","","Milford: West ",463,1418,431,2312
"","","Pembrokeshire U003 ","","",7522,25876,12479,45877
"","","Pembrokeshire U003 ","Pembrokeshire 007 ","",1048,3842,1860,6750
"","","","Pembrokeshire 007 ","Lampeter Velfrey ",259,905,452,1616
"","","","","Martletwy ",163,860,390,1413
"","","","","Narberth ",349,1163,597,2109
"","","","","Narberth Rural ",277,914,421,1612
"","","","Pembrokeshire 011 ","",1187,4577,2684,8448
"","","","Pembrokeshire 011 ","Amroth ",167,687,368,1222
"","","","","East Williamston 1 ",202,642,318,1162
"","","","","East Williamston 2 ",181,727,371,1279
"","","","","Kilgetty/Begelly ",318,1220,698,2236
"","","","","Saundersfoot 1 ",195,722,555,1472
"","","","","Saundersfoot 2 ",124,579,374,1077
"","","","Pembrokeshire 013 ","",1913,5779,1983,9675
"","","","Pembrokeshire 013 ","Pembroke Dock: Central ",298,1018,346,1662
"","","","","Pembroke Dock: Llanion 1 ",352,856,284,1492
"","","","","Pembroke Dock: Llanion 2 ",182,703,361,1246
"","","","","Pembroke Dock: Market ",385,1165,367,1917
"","","","","Pembroke Dock: Pennar 1 ",356,932,294,1582
"","","","","Pembroke Dock: Pennar 2 ",340,1105,331,1776
"","","","Pembrokeshire 014 ","",1099,4083,2430,7612
"","","","Pembrokeshire 014 ","Carew ",278,834,354,1466
"","","","","Lamphey ",193,884,537,1614
"","","","","Manorbier ",330,1140,574,2044
"","","","","Pembroke: St. Michael ",298,1225,965,2488
"","","","Pembrokeshire 015 ","",1407,4269,1596,7272
"","","","Pembrokeshire 015 ","Hundleton ",251,1047,505,1803
"","","","","Pembroke: Monkton ",424,1012,254,1690
"","","","","Pembroke: St. Mary North ",515,1337,479,2331
"","","","","Pembroke: St. Mary South ",217,873,358,1448
"","","","Pembrokeshire 016 ","",868,3326,1926,6120
"","","","Pembrokeshire 016 ","Penally ",231,857,621,1709
"","","","","Tenby: North ",311,1092,675,2078
"","","","","Tenby: South 1 ",90,517,279,886
"","","","","Tenby: South 2 ",236,860,351,1447
"","Carmarthenshire ","","","",33220,110337,44011,187568
"","Carmarthenshire ","Carmarthenshire U001 ","","",5232,18203,8239,31674
"","","Carmarthenshire U001 ","Carmarthenshire 003 ","",1176,4305,2146,7627
"","","","Carmarthenshire 003 ","Cenarth ",360,1220,643,2223
"","","","","Llangeler 1 ",327,995,423,1745
"","","","","Llangeler 2 ",229,903,489,1621
"","","","","Trelech ",260,1187,591,2038
"","","","Carmarthenshire 007 ","",1043,3111,1010,5164
"","","","Carmarthenshire 007 ","Carmarthen Town North 1 ",296,852,268,1416
"","","","","Carmarthen Town North 2 ",330,717,128,1175
"","","","","Carmarthen Town North 3 ",233,838,261,1332
"","","","","Carmarthen Town North 4 ",184,704,353,1241
"","","","Carmarthenshire 008 ","",981,3638,1841,6460
"","","","Carmarthenshire 008 ","Carmarthen Town South 1 ",299,1279,480,2058
"","","","","Carmarthen Town South 2 ",248,986,532,1766
"","","","","Llangunnor 1 ",193,569,350,1112
"","","","","Llangunnor 2 ",241,804,479,1524
"","","","Carmarthenshire 027 ","",2032,7149,3242,12423
"","","","Carmarthenshire 027 ","Laugharne Township 1 ",260,904,402,1566
"","","","","Laugharne Township 2 ",159,629,345,1133
"","","","","Llanboidy ",337,1209,556,2102
"","","","","Llansteffan ",283,1107,634,2024
"","","","","St. Clears 1 ",325,1048,452,1825
"","","","","St. Clears 2 ",266,851,289,1406
"","","","","Whitland ",402,1401,564,2367
"","","Carmarthenshire U002 ","","",5593,19523,8408,33524
"","","Carmarthenshire U002 ","Carmarthenshire 001 ","",1038,3184,1448,5670
"","","","Carmarthenshire 001 ","Llanfihangel-ar-Arth 1 ",316,891,361,1568
"","","","","Llanfihangel-ar-Arth 2 ",242,704,352,1298
"","","","","Llanybydder 1 ",260,888,446,1594
"","","","","Llanybydder 2 ",220,701,289,1210
"","","","Carmarthenshire 002 ","",816,3149,1611,5576
"","","","Carmarthenshire 002 ","Cilycwm ",215,799,431,1445
"","","","","Cynwyl Gaeo ",251,878,451,1580
"","","","","Llandovery 1 ",167,732,468,1367
"","","","","Llandovery 2 ",183,740,261,1184
"","","","Carmarthenshire 004 ","",1055,4134,1940,7129
"","","","Carmarthenshire 004 ","Llandeilo 1 ",218,885,456,1559
"","","","","Llandeilo 2 ",262,827,348,1437
"","","","","Llangadog ",284,1125,535,1944
"","","","","Manordeilo and Salem ",291,1297,601,2189
"","","","Carmarthenshire 005 ","",1004,3801,1830,6635
"","","","Carmarthenshire 005 ","Abergwili ",348,1349,598,2295
"","","","","Llanegwad 1 ",216,761,400,1377
"","","","","Llanegwad 2 ",146,619,303,1068
"","","","","Llanfihangel Aberbythych ",294,1072,529,1895
"","","","Carmarthenshire 006 ","",1680,5255,1579,8514
"","","","Carmarthenshire 006 ","Carmarthen Town West 1 ",431,1036,251,1718
"","","","","Carmarthen Town West 2 ",323,1229,212,1764
"","","","","Carmarthen Town West 3 ",491,1273,303,2067
"","","","","Cynwyl Elfed 1 ",225,866,353,1444
"","","","","Cynwyl Elfed 2 ",210,851,460,1521
"","","Carmarthenshire U003 ","","",5355,17293,6851,29499
"","","Carmarthenshire U003 ","Carmarthenshire 010 ","",1386,4416,1593,7395
"","","","Carmarthenshire 010 ","Garnant ",427,1325,433,2185
"","","","","Glanamman 1 ",184,668,276,1128
"","","","","Glanamman 2 ",248,783,253,1284
"","","","","Quarter Bach 1 ",258,808,279,1345
"","","","","Quarter Bach 2 ",269,832,352,1453
"","","","Carmarthenshire 011 ","",1482,4665,2221,8368
"","","","Carmarthenshire 011 ","Llandybie 1 ",406,1157,609,2172
"","","","","Llandybie 2 ",379,1148,460,1987
"","","","","Saron 1 ",344,1080,484,1908
"","","","","Saron 2 ",353,1280,668,2301
"","","","Carmarthenshire 013 ","",1395,4599,1780,7774
"","","","Carmarthenshire 013 ","Ammanford 1 ",251,700,229,1180
"","","","","Ammanford 2 ",225,891,333,1449
"","","","","Betws ",497,1375,557,2429
"","","","","Pontamman 1 ",228,880,272,1380
"","","","","Pontamman 2 ",194,753,389,1336
"","","","Carmarthenshire 017 ","",1092,3613,1257,5962
"","","","Carmarthenshire 017 ","Hendy 1 ",297,1169,395,1861
"","","","","Hendy 2 ",322,910,316,1548
"","","","","Tycroes ",473,1534,546,2553
"","","Carmarthenshire U004 ","","",5353,18583,8320,32256
"","","Carmarthenshire U004 ","Carmarthenshire 012 ","",1231,4684,2254,8169
"","","","Carmarthenshire 012 ","Llanddarog ",298,1157,591,2046
"","","","","Llangyndeyrn 1 ",328,1081,373,1782
"","","","","Llangyndeyrn 2 ",272,962,415,1649
"","","","","St. Ishmael 1 ",140,685,490,1315
"","","","","St. Ishmael 2 ",193,799,385,1377
"","","","Carmarthenshire 016 ","",1646,5741,2163,9550
"","","","Carmarthenshire 016 ","Glyn (Carmarthenshire) ",391,1322,475,2188
"","","","","Gorslas 1 ",379,1465,603,2447
"","","","","Gorslas 2 ",391,1300,456,2147
"","","","","Pontyberem 1 ",189,772,306,1267
"","","","","Pontyberem 2 ",296,882,323,1501
"","","","Carmarthenshire 018 ","",1174,3518,1444,6136
"","","","Carmarthenshire 018 ","Kidwelly 1 ",327,896,369,1592
"","","","","Kidwelly 2 ",367,1163,543,2073
"","","","","Trimsaran 1 ",262,726,267,1255
"","","","","Trimsaran 2 ",218,733,265,1216
"","","","Carmarthenshire 021 ","",1302,4640,2459,8401
"","","","Carmarthenshire 021 ","Burry Port 1 ",237,857,386,1480
"","","","","Burry Port 2 ",204,793,402,1399
"","","","","Burry Port 3 ",183,598,561,1342
"","","","","Pembrey 1 ",338,1285,618,2241
"","","","","Pembrey 2 ",340,1107,492,1939
"","","Carmarthenshire U005 ","","",5890,18285,6430,30605
"","","Carmarthenshire U005 ","Carmarthenshire 015 ","",1517,5088,1844,8449
"","","","Carmarthenshire 015 ","Llannon 1 ",341,1224,476,2041
"","","","","Llannon 2 ",398,1127,392,1917
"","","","","Llannon 3 ",258,925,374,1557
"","","","","Penygroes (Carmarthenshire) 1 ",294,1016,315,1625
"","","","","Penygroes (Carmarthenshire) 2 ",226,796,287,1309
"","","","Carmarthenshire 019 ","",1294,4388,1954,7636
"","","","Carmarthenshire 019 ","Llangennech 1 ",317,969,446,1732
"","","","","Llangennech 2 ",340,1058,444,1842
"","","","","Llangennech 3 ",300,970,280,1550
"","","","","Swiss Valley 1 ",228,929,434,1591
"","","","","Swiss Valley 2 ",109,462,350,921
"","","","Carmarthenshire 020 ","",1166,3314,1131,5611
"","","","Carmarthenshire 020 ","Dafen 1 ",238,1025,325,1588
"","","","","Dafen 2 ",430,1090,404,1924
"","","","","Felinfoel ",498,1199,402,2099
"","","","Carmarthenshire 025 ","",1913,5495,1501,8909
"","","","Carmarthenshire 025 ","Bynea 1 ",456,1544,404,2404
"","","","","Bynea 2 ",428,1229,345,2002
"","","","","Llwynhendy 1 ",319,955,279,1553
"","","","","Llwynhendy 2 ",373,924,222,1519
"","","","","Llwynhendy 3 ",337,843,251,1431
"","","Carmarthenshire U006 ","","",5797,18450,5763,30010
"","","Carmarthenshire U006 ","Carmarthenshire 022 ","",1116,3190,1116,5422
"","","","Carmarthenshire 022 ","Lliedi 1 ",355,1120,333,1808
"","","","","Lliedi 2 ",287,928,432,1647
"","","","","Lliedi 3 ",474,1142,351,1967
"","","","Carmarthenshire 023 ","",1251,4440,1657,7348
"","","","Carmarthenshire 023 ","Elli 1 ",215,892,404,1511
"","","","","Elli 2 ",329,1161,311,1801
"","","","","Hengoed (Carmarthenshire) 1 ",344,1055,342,1741
"","","","","Hengoed 2 ",363,1332,600,2295
"","","","Carmarthenshire 024 ","",1299,4109,1302,6710
"","","","Carmarthenshire 024 ","Bigyn 1 ",231,936,384,1551
"","","","","Bigyn 2 ",308,1078,302,1688
"","","","","Bigyn 3 ",321,1048,296,1665
"","","","","Bigyn 4 ",439,1047,320,1806
"","","","Carmarthenshire 026 ","",2131,6711,1688,10530
"","","","Carmarthenshire 026 ","Glanymor 1 ",445,1120,251,1816
"","","","","Glanymor 2 ",272,947,304,1523
"","","","","Tyisha 1 ",239,941,248,1428
"","","","","Tyisha 2 ",250,850,205,1305
"","","","","Tyisha 3 ",294,926,168,1388
"","","","","Glanymor 3 ",275,1090,283,1648
"","","","","Glanymor 4 ",356,837,229,1422
"","Swansea ","","","",42001,156416,48049,246466
"","Swansea ","Swansea U001 ","","",6625,21668,6739,35032
"","","Swansea U001 ","Swansea 001 ","",1340,4068,1220,6628
"","","","Swansea 001 ","Pontardulais 1 ",414,1296,386,2096
"","","","","Pontardulais 2 ",440,1296,300,2036
"","","","","Pontardulais 3 ",192,770,334,1296
"","","","","Pontardulais 4 ",294,706,200,1200
"","","","Swansea 004 ","",1593,5416,1437,8446
"","","","Swansea 004 ","Llangyfelach 1 ",230,989,213,1432
"","","","","Llangyfelach 2 ",224,1077,374,1675
"","","","","Llangyfelach 3 ",405,1321,217,1943
"","","","","Penllergaer 1 ",442,1270,390,2102
"","","","","Penllergaer 2 ",292,759,243,1294
"","","","Swansea 005 ","",2024,6484,1940,10448
"","","","Swansea 005 ","Gorseinon 1 ",599,1915,381,2895
"","","","","Gorseinon 2 ",318,972,384,1674
"","","","","Penyrheol (Swansea) 1 ",247,974,310,1531
"","","","","Penyrheol (Swansea) 2 ",227,807,390,1424
"","","","","Penyrheol (Swansea) 3 ",303,844,259,1406
"","","","","Penyrheol (Swansea) 4 ",330,972,216,1518
"","","","Swansea 007 ","",1668,5700,2142,9510
"","","","Swansea 007 ","Kingsbridge 1 ",200,760,345,1305
"","","","","Kingsbridge 2 ",346,991,347,1684
"","","","","Kingsbridge 3 ",173,791,387,1351
"","","","","Lower Loughor ",483,1493,417,2393
"","","","","Upper Loughor 1 ",275,943,364,1582
"","","","","Upper Loughor 2 ",191,722,282,1195
"","","Swansea U002 ","","",4624,15997,5227,25848
"","","Swansea U002 ","Swansea 002 ","",1782,5672,1963,9417
"","","","Swansea 002 ","Clydach 1 ",231,877,382,1490
"","","","","Clydach 2 ",186,808,414,1408
"","","","","Clydach 3 ",387,982,218,1587
"","","","","Clydach 4 ",337,911,255,1503
"","","","","Clydach 5 ",291,968,297,1556
"","","","","Mawr ",350,1126,397,1873
"","","","Swansea 003 ","",1510,5343,1995,8848
"","","","Swansea 003 ","Morriston 1 ",234,856,357,1447
"","","","","Morriston 2 ",203,841,287,1331
"","","","","Morriston 3 ",207,785,426,1418
"","","","","Morriston 5 ",307,834,251,1392
"","","","","Morriston 10 ",248,895,398,1541
"","","","","Morriston 11 ",311,1132,276,1719
"","","","Swansea 008 ","",1332,4982,1269,7583
"","","","Swansea 008 ","Morriston 4 ",307,1008,261,1576
"","","","","Morriston 6 ",296,986,232,1514
"","","","","Morriston 7 ",229,952,217,1398
"","","","","Morriston 8 ",213,993,315,1521
"","","","","Morriston 9 ",287,1043,244,1574
"","","Swansea U003 ","","",5782,19835,4892,30509
"","","Swansea U003 ","Swansea 006 ","",1764,5182,1096,8042
"","","","Swansea 006 ","Llansamlet 2 ",259,1062,249,1570
"","","","","Llansamlet 3 ",865,2078,276,3219
