lsoa11cd,lsoa11nm,MHOL_true,patients_total,MHOL_pct
W01000861,Swansea 027D,4882,31046,15.725053146943246
W01000864,Swansea 019C,119,5690,2.091388400702988
W01000869,Swansea 024C,1954,7512,26.01171458998935
W01000870,Swansea 024D,1483,9354,15.854180029933717
W01000880,Swansea 029B,455,7603,5.984479810601079
W01000883,Neath Port Talbot 016A,1169,28375,4.119823788546255
W01000897,Neath Port Talbot 013D,621,6123,10.142087212150907
W01000900,Neath Port Talbot 014C,73,5714,1.2775638781939098
W01000912,Neath Port Talbot 010A,620,8819,7.030275541444608
W01000913,Neath Port Talbot 010B,411,5139,7.997664915353181
W01000926,Neath Port Talbot 003C,1482,9510,15.583596214511042
W01000928,Neath Port Talbot 020C,888,7577,11.719677972812459
W01000938,Neath Port Talbot 008C,581,10255,5.665529010238908
W01000939,Neath Port Talbot 008D,133,8505,1.5637860082304527
W01000948,Neath Port Talbot 004D,1217,12907,9.428992019834197
W01000967,Neath Port Talbot 019C,1340,11078,12.096046217728832
W01000974,Bridgend 006A,356,4434,8.028867839422643
W01000982,Bridgend 016C,7050,18246,38.63860572180204
W01000987,Bridgend 007B,1863,10840,17.186346863468636
W01000991,Bridgend 001A,862,6617,13.02705153392776
W01001007,Bridgend 009D,815,8144,10.0073673870334
W01001017,Bridgend 002C,2801,15325,18.27732463295269
W01001025,Bridgend 003D,209,3103,6.735417338059942
W01001034,Bridgend 003F,386,4305,8.966318234610918
W01001035,Bridgend 014E,4376,18918,23.131409239877364
W01001042,Bridgend 004D,329,7543,4.36165981704892
W01001050,Bridgend 008D,221,8693,2.5422753939951686
W01001063,The Vale of Glamorgan 012A,541,13065,4.140834290088021
W01001065,The Vale of Glamorgan 012B,572,7180,7.966573816155989
W01001066,The Vale of Glamorgan 015D,375,14107,2.6582547671368824
W01001069,The Vale of Glamorgan 012C,2454,7658,32.044920344737534
W01001082,The Vale of Glamorgan 002A,4246,18396,23.081104587953902
W01001088,The Vale of Glamorgan 006C,95,9729,0.976462123548155
W01001103,The Vale of Glamorgan 010D,696,7464,9.32475884244373
W01001107,The Vale of Glamorgan 011B,1339,10667,12.552732727102278
W01001124,The Vale of Glamorgan 005C,4510,6039,74.68123861566485
W01001130,The Vale of Glamorgan 005F,3238,20959,15.449210363089842
W01001133,The Vale of Glamorgan 008E,955,3684,25.922909880564603
W01001141,Rhondda Cynon Taf 005E,42,5467,0.7682458386683738
W01001145,Rhondda Cynon Taf 012C,124,6531,1.898637268412188
W01001148,Rhondda Cynon Taf 002A,280,11918,2.3493874811209934
W01001162,Rhondda Cynon Taf 025A,1030,17273,5.963063741098825
W01001185,Rhondda Cynon Taf 022A,611,15940,3.8331242158092844
W01001188,Rhondda Cynon Taf 001C,288,5987,4.810422582261567
W01001204,Rhondda Cynon Taf 006A,240,4410,5.442176870748299
W01001208,Rhondda Cynon Taf 006E,221,5989,3.6900985139422278
W01001210,Rhondda Cynon Taf 008B,103,4207,2.448300451628239
W01001220,Rhondda Cynon Taf 018D,50,4752,1.0521885521885523
W01001226,Rhondda Cynon Taf 031F,2891,12184,23.727839789888378
W01001228,Rhondda Cynon Taf 021D,1391,30695,4.5316826844763
W01001232,Rhondda Cynon Taf 020D,762,9246,8.241401687216094
W01001248,Rhondda Cynon Taf 016D,1,9007,0.011102475852115021
W01001249,Rhondda Cynon Taf 024A,1885,9056,20.814929328621908
W01001266,Rhondda Cynon Taf 007B,1,6467,0.015463120457708365
W01001273,Rhondda Cynon Taf 010E,5,10319,0.04845430758794457
W01001275,Rhondda Cynon Taf 013C,43,6040,0.7119205298013245
W01001289,Merthyr Tydfil 006A,241,2013,11.97218082463984
W01001293,Merthyr Tydfil 004B,514,12502,4.1113421852503595
W01001298,Merthyr Tydfil 002D,67,20227,0.33124042121916253
W01001304,Merthyr Tydfil 006D,11,4834,0.22755482002482416
W01001322,Merthyr Tydfil 007E,38,6232,0.6097560975609756
W01001327,Caerphilly 014A,957,7472,12.807815845824411
W01001337,Caerphilly 004B,635,11593,5.477443284740792
W01001341,Caerphilly 020B,2452,10509,23.33238176800837
W01001353,Caerphilly 007B,348,5971,5.828169485848267
W01001359,Caerphilly 006D,1752,9829,17.824804150981787
W01001367,Caerphilly 019B,630,3013,20.909392631928313
W01001372,Caerphilly 022B,2414,9658,24.99482294470905
W01001375,Caerphilly 001B,1254,18795,6.671987230646447
W01001378,Caerphilly 013B,92,5518,1.6672707502718376
W01001389,Caerphilly 007E,64,3842,1.665799062988027
W01001398,Caerphilly 024A,4317,8958,48.191560616208974
W01001403,Caerphilly 011C,2445,21638,11.299565579073851
W01001411,Caerphilly 017A,2024,13552,14.935064935064934
W01001412,Caerphilly 017B,2422,8678,27.909656602903894
W01001418,Caerphilly 008E,752,8355,9.000598444045483
W01001433,Caerphilly 013E,2119,13655,15.518125228853899
W01001438,Blaenau Gwent 004A,1103,8517,12.950569449336621
