,Area Codes,All Ages
319,E01020865,1297
320,E01020866,970
321,E01020852,1713
322,E01020853,1734
323,E01020854,2609
324,E01020855,1207
325,E06000005,106566
326,E01012334,2531
327,E01012335,1360
328,E01012366,2097
329,E01033481,1642
330,E01033482,1517
331,E01012323,1405
332,E01012324,1373
333,E01032545,1699
334,E01032546,1681
335,E01012328,1496
336,E01012329,1699
337,E01012330,1046
338,E01012331,1143
339,E01012349,1525
340,E01012350,1447
341,E01012351,1455
342,E01012352,1511
343,E01012325,1389
344,E01012326,1162
345,E01012332,1395
346,E01012333,1463
347,E01012309,1903
348,E01012310,2101
349,E01012311,1552
350,E01012312,1363
351,E01012313,1399
352,E01012314,1383
353,E01012362,1277
354,E01012363,1227
355,E01012364,1434
356,E01012365,1177
357,E01012353,1611
358,E01012354,1526
359,E01012355,1558
360,E01033483,1078
361,E01033484,1205
362,E01012307,1897
363,E01012327,1517
364,E01012342,2399
365,E01012343,2408
366,E01012315,1655
367,E01012316,2673
368,E01012360,1684
369,E01012336,1639
370,E01012337,1755
371,E01012347,1674
372,E01012348,2138
373,E01012361,1801
374,E01012304,1063
375,E01012305,1206
376,E01012306,1528
377,E01012340,2306
378,E01012341,1813
379,E01012317,1353
380,E01012318,2461
381,E01012319,2691
382,E01012356,1680
383,E01012357,1405
384,E01012358,1609
385,E01012359,1675
386,E01012338,2148
387,E01012339,1766
388,E01012344,1357
389,E01012345,1502
390,E01012346,1933
391,E06000001,93242
392,E01011954,2158
393,E01011969,1317
394,E01011970,1143
395,E01011971,1389
396,E01033465,1929
397,E01033467,2275
398,E01011952,1734
399,E01011953,2070
400,E01011991,1745
401,E01011992,1532
402,E01011993,1793
403,E01011994,1490
404,E01011955,1407
405,E01011957,1261
406,E01032540,993
407,E01032541,2198
408,E01033466,2321
409,E01011973,1257
410,E01011974,1709
411,E01011975,1397
412,E01011976,930
413,E01011965,1534
414,E01011966,1304
415,E01011983,1631
416,E01012002,1380
417,E01011951,1170
418,E01011964,1360
419,E01011967,1633
420,E01011999,1929
421,E01012000,1501
422,E01011950,1320
423,E01011986,1181
424,E01011987,1416
425,E01012001,2337
426,E01011949,1983
427,E01011980,1638
428,E01011981,1726
429,E01011984,1191
430,E01011985,1261
431,E01011988,1939
432,E01011989,1782
433,E01011990,1789
434,E01011995,1297
435,E01011996,1481
436,E01011997,1964
437,E01011998,1899
438,E01011961,1422
439,E01011962,1431
440,E01011977,1708
441,E01011978,1568
442,E01011979,1701
443,E01011959,2423
444,E01011960,1289
445,E01011963,1339
446,E01011968,1962
447,E01011982,1268
448,E01012003,1494
449,E01012005,1943
450,E06000002,140545
451,E01012068,2453
452,E01012092,2399
453,E01012093,2297
454,E01012094,2945
455,E01033468,3053
456,E01012058,1408
457,E01012059,1634
458,E01012060,1634
459,E01012061,1318
460,E01012036,1760
461,E01012037,1654
462,E01012038,1779
463,E01012039,1714
464,E01012040,1642
465,E01012041,942
466,E01012074,1494
467,E01012075,1528
468,E01012076,1508
469,E01012077,1449
470,E01012088,1508
471,E01012078,1482
472,E01012079,1455
473,E01012080,1210
474,E01012081,1773
475,E01012026,1651
476,E01012027,1960
477,E01033469,1790
478,E01012015,1421
479,E01012016,1732
480,E01012017,1499
481,E01012089,1480
482,E01012090,1466
483,E01012091,1712
484,E01012011,1922
485,E01012012,1736
486,E01012013,1344
487,E01012014,1640
488,E01012053,1621
489,E01012054,1732
490,E01012055,1911
491,E01012056,2631
492,E01012057,1916
493,E01012082,1510
494,E01012083,1616
495,E01012084,1610
496,E01012085,1384
497,E01012018,1531
498,E01012019,1277
499,E01012020,1564
500,E01012021,1366
501,E01012007,1440
502,E01012008,1366
503,E01012009,1854
504,E01012010,1411
505,E01012046,1776
506,E01012047,1578
507,E01012048,1732
508,E01012049,1322
509,E01012050,1497
510,E01012051,1337
511,E01012052,1232
512,E01012022,1748
513,E01012023,1386
514,E01012024,1455
515,E01012025,1238
516,E01012065,1826
517,E01012066,1909
518,E01012067,1557
519,E01012042,1335
520,E01012043,1320
521,E01012044,1542
522,E01012045,1503
523,E01032552,1643
524,E01032553,1605
525,E01012030,1558
526,E01012031,1541
527,E01012032,1630
528,E01012033,1227
529,E01012034,1405
530,E01012035,1317
531,E01012062,1463
532,E01012063,1365
533,E01012064,2459
534,E01012071,1364
535,E01012073,1345
536,E01032593,2198
537,E06000057,320274
538,E01027376,1690
539,E01027377,1671
540,E01027385,1332
541,E01027387,1776
542,E01027388,1415
543,E01027389,1650
544,E01027378,1231
545,E01027379,1478
546,E01027380,1371
547,E01027382,1658
548,E01027386,1365
549,E01027374,2075
550,E01027375,1848
551,E01027381,1869
552,E01027383,1224
553,E01027384,1447
554,E01027390,2043
555,E01027356,1913
556,E01027357,1238
557,E01027366,1478
558,E01027367,1855
559,E01027358,1913
560,E01027359,2285
561,E01033715,1023
562,E01033717,1536
563,E01027361,1933
564,E01027362,1682
565,E01027363,1276
566,E01027364,1809
567,E01027370,1734
568,E01027371,1869
569,E01027372,2225
570,E01027365,2312
571,E01027368,1714
572,E01027369,1562
573,E01027373,1931
574,E01027443,1444
575,E01027444,2487
576,E01027445,1586
577,E01027446,1345
578,E01027451,1770
579,E01027474,1945
580,E01027475,1400
581,E01027541,1687
582,E01027542,1794
583,E01027543,1368
