area_code,groupCount
W01000001,0.0
W01000002,0.0
W01000003,0.0
W01000004,0.0
W01000005,1.0
W01000006,0.0
W01000007,0.0
W01000008,0.0
W01000009,2.0
W01000010,1.0
W01000011,0.0
W01000012,0.0
W01000013,0.0
W01000014,0.0
W01000015,0.0
W01000016,0.0
W01000017,0.0
W01000018,0.0
W01000019,0.0
W01000020,0.0
W01000021,0.0
W01000022,0.0
W01000023,0.0
W01000024,0.0
W01000025,0.0
W01000026,0.0
W01000027,0.0
W01000028,0.0
W01000029,0.0
W01000030,0.0
W01000031,0.0
W01000032,0.0
W01000033,0.0
W01000034,0.0
W01000035,0.0
W01000036,0.0
W01000037,0.0
W01000038,0.0
W01000039,0.0
W01000040,0.0
W01000041,0.0
W01000042,0.0
W01000043,0.0
W01000044,0.0
W01000047,0.0
W01000048,0.0
W01000049,0.0
W01000050,1.0
W01000051,1.0
W01000052,0.0
W01000053,0.0
W01000054,0.0
W01000056,0.0
W01000057,0.0
W01000059,0.0
W01000060,0.0
W01000061,0.0
W01000062,0.0
W01000063,1.0
W01000064,0.0
W01000065,0.0
W01000066,0.0
W01000067,1.0
W01000068,0.0
W01000069,1.0
W01000070,0.0
W01000071,0.0
W01000072,0.0
W01000073,0.0
W01000074,1.0
W01000075,0.0
W01000076,1.0
W01000077,0.0
W01000078,0.0
W01000079,1.0
W01000080,0.0
W01000081,0.0
W01000082,0.0
W01000083,0.0
W01000084,0.0
W01000085,0.0
W01000086,0.0
W01000087,0.0
W01000088,0.0
W01000089,0.0
W01000090,1.0
W01000091,0.0
W01000092,0.0
W01000093,0.0
W01000094,0.0
W01000095,0.0
W01000096,0.0
W01000097,0.0
W01000098,0.0
W01000099,0.0
W01000100,1.0
W01000101,0.0
W01000102,0.0
W01000103,0.0
W01000104,0.0
W01000105,0.0
W01000106,1.0
W01000107,0.0
W01000108,0.0
W01000109,0.0
W01000110,0.0
W01000111,0.0
W01000112,0.0
W01000113,0.0
W01000114,0.0
W01000115,0.0
W01000116,0.0
W01000117,1.0
W01000118,0.0
W01000119,0.0
W01000121,2.0
W01000122,0.0
W01000123,0.0
W01000124,1.0
W01000125,1.0
W01000126,0.0
W01000127,0.0
W01000128,0.0
W01000129,0.0
W01000130,1.0
W01000131,0.0
W01000132,0.0
W01000133,0.0
W01000134,0.0
W01000135,0.0
W01000136,0.0
W01000137,0.0
W01000138,0.0
W01000139,0.0
W01000140,0.0
W01000141,0.0
W01000142,0.0
W01000143,0.0
W01000144,1.0
W01000145,0.0
W01000146,0.0
W01000147,0.0
W01000148,0.0
W01000149,0.0
W01000150,0.0
W01000151,0.0
W01000152,0.0
W01000153,0.0
W01000154,0.0
W01000155,0.0
W01000156,0.0
W01000157,0.0
W01000158,0.0
W01000159,0.0
W01000162,0.0
W01000163,0.0
W01000164,0.0
W01000165,0.0
W01000166,0.0
W01000167,0.0
W01000168,0.0
W01000169,1.0
W01000170,0.0
W01000171,0.0
W01000172,0.0
W01000173,0.0
W01000174,0.0
W01000175,0.0
W01000176,0.0
W01000177,0.0
W01000178,0.0
W01000179,0.0
W01000180,0.0
W01000181,0.0
W01000182,0.0
W01000183,0.0
W01000184,0.0
W01000185,0.0
W01000186,0.0
W01000187,0.0
W01000188,0.0
W01000189,1.0
W01000190,0.0
W01000191,0.0
W01000192,0.0
W01000193,0.0
W01000194,1.0
W01000195,0.0
W01000196,0.0
W01000197,0.0
W01000198,0.0
W01000199,0.0
W01000200,0.0
W01000201,0.0
W01000202,0.0
W01000203,0.0
W01000204,0.0
W01000205,0.0
W01000206,0.0
W01000207,0.0
W01000208,0.0
W01000209,0.0
W01000210,0.0
