"","","","Percentage able to speak Welsh "
"Wales ","","",19
"","","W01000196 ",38.3
"","","W01000197 ",37.5
"","","W01000198 ",26.5
"","","W01000199 ",38.1
"","","W01000200 ",23.2
"","","W01000201 ",16.8
"","","W01000202 ",53.7
"","","W01000203 ",24.1
"","","W01000204 ",33.8
"","","W01000205 ",59.2
"","","W01000206 ",37.5
"","","W01000207 ",48.3
"","","W01000208 ",20.8
"","","W01000209 ",20
"","","W01000210 ",19.5
"","","W01000211 ",50
"","","W01000212 ",18.7
"","","W01000213 ",15.1
"","","W01000214 ",14.2
"","","W01000215 ",16.5
"","","W01000216 ",16.7
"","","W01000217 ",19.3
"","","W01000218 ",12.7
"","","W01000219 ",15.2
"","","W01000220 ",8.3
"","","W01000221 ",11.9
"","","W01000222 ",13.9
"","","W01000223 ",18
"","","W01000224 ",18.2
"","","W01000225 ",22
"","","W01000226 ",11.7
"","","W01000227 ",13.3
"","","W01000228 ",14.4
"","","W01000229 ",13.8
"","","W01000230 ",17.2
"","","W01000231 ",14.9
"","","W01000232 ",17
"","","W01000233 ",14.9
"","","W01000234 ",12.3
"","","W01000235 ",17.4
"","","W01000236 ",10.8
"","","W01000237 ",14.6
"","","W01000238 ",16
"","","W01000239 ",12.9
"","","W01000240 ",9.4
"","","W01000241 ",15.8
"","","W01000242 ",37.8
"","","W01000243 ",38.4
"","","W01000244 ",49.4
"","","W01000245 ",26.3
"","","W01000246 ",19.5
"","","W01000247 ",28.5
"","","W01000248 ",27.8
"","Flintshire ","",13.2
"","Flintshire ","W01000249 ",16.7
"","","W01000250 ",15.3
"","","W01000251 ",11.7
"","","W01000252 ",7.7
"","","W01000253 ",12.3
"","","W01000254 ",13.5
"","","W01000255 ",8.5
"","","W01000256 ",10.1
"","","W01000257 ",8.7
"","","W01000258 ",17.5
"","","W01000259 ",9.6
"","","W01000260 ",9.1
"","","W01000261 ",11
"","","W01000262 ",10.4
"","","W01000263 ",8.4
"","","W01000264 ",11.7
"","","W01000265 ",11.4
"","","W01000266 ",10.7
"","","W01000267 ",10.4
"","","W01000268 ",11.5
"","","W01000269 ",12.6
"","","W01000270 ",21.2
"","","W01000271 ",19.4
"","","W01000272 ",16.9
"","","W01000273 ",10
"","","W01000274 ",7.5
"","","W01000275 ",12.2
"","","W01000276 ",12.1
"","","W01000277 ",11.2
"","","W01000278 ",9
"","","W01000279 ",7.5
"","","W01000280 ",9
"","","W01000281 ",9.4
"","","W01000282 ",13.9
"","","W01000283 ",9.1
"","","W01000284 ",11.4
"","","W01000285 ",8.6
"","","W01000286 ",12.3
"","","W01000287 ",22.9
"","","W01000288 ",11.6
"","","W01000289 ",12.6
"","","W01000290 ",10
"","","W01000291 ",13.6
"","","W01000292 ",13.3
"","","W01000293 ",12.7
"","","W01000294 ",11.5
"","","W01000295 ",12
"","","W01000296 ",10.6
"","","W01000297 ",12.2
"","","W01000298 ",15.9
"","","W01000299 ",15.4
"","","W01000300 ",19.5
"","","W01000301 ",20.7
"","","W01000302 ",10.3
"","","W01000303 ",11.5
"","","W01000304 ",12.7
"","","W01000305 ",15.7
"","","W01000306 ",17
"","","W01000307 ",14.4
"","","W01000308 ",12.2
"","","W01000309 ",15.7
"","","W01000310 ",14.8
"","","W01000311 ",11.3
"","","W01000312 ",7.7
"","","W01000313 ",19.7
"","","W01000314 ",16.7
"","","W01000315 ",17.7
"","","W01000316 ",28.6
"","","W01000317 ",32.5
"","","W01000318 ",15.5
"","","W01000319 ",17.5
"","","W01000320 ",18.2
"","","W01000321 ",12.9
"","","W01000322 ",14.3
"","","W01000323 ",15.3
"","","W01000324 ",19
"","","W01000325 ",12.1
"","","W01000326 ",10.7
"","","W01000327 ",11.1
"","","W01000328 ",9
"","","W01000329 ",7.8
"","","W01000330 ",6.7
"","","W01000331 ",5.3
"","","W01000332 ",6.1
"","","W01000333 ",9
"","","W01000334 ",8.7
"","","W01000335 ",7.5
"","","W01000336 ",11.7
"","","W01000337 ",9.4
"","","W01000338 ",26.2
"","","W01000339 ",24.4
"","","W01000340 ",20.7
"","Wrexham ","",12.9
"","Wrexham ","W01000341 ",10.8
"","","W01000342 ",10.1
"","","W01000343 ",10.5
"","","W01000344 ",9.3
"","","W01000345 ",8.5
"","","W01000346 ",8.6
"","","W01000347 ",14.2
"","","W01000348 ",12.2
"","","W01000349 ",13.1
"","","W01000350 ",9.2
"","","W01000351 ",10.7
"","","W01000352 ",9.5
"","","W01000353 ",7.4
"","","W01000354 ",13.1
"","","W01000355 ",10.7
"","","W01000356 ",9.8
"","","W01000359 ",11.8
"","","W01000360 ",10.7
"","","W01000361 ",10.1
"","","W01000362 ",15.8
"","","W01000363 ",18.7
"","","W01000364 ",20.3
"","","W01000365 ",14.1
"","","W01000366 ",11
"","","W01000367 ",10.7
"","","W01000368 ",13.3
"","","W01000369 ",10.5
"","","W01000370 ",9.9
"","","W01000371 ",11.3
"","","W01000372 ",11.2
"","","W01000373 ",10.9
"","","W01000374 ",12.4
"","","W01000375 ",11.2
"","","W01000376 ",9.6
"","","W01000377 ",11.5
"","","W01000378 ",12.1
"","","W01000379 ",10.8
"","","W01000380 ",13.6
"","","W01000381 ",11.4
"","","W01000382 ",14.3
