LSOA11CD,LSOA11NM,population_count
W01000406,Wrexham 013C,2252
W01000314,Flintshire 016B,1139
W01000395,Wrexham 016B,1111
W01000317,Flintshire 016E,1426
W01000396,Wrexham 020H,1215
W01000397,Wrexham 020I,985
W01000316,Flintshire 016D,1247
W01000028,Isle of Anglesey 001D,2046
W01000029,Isle of Anglesey 003C,1499
W01000315,Flintshire 016C,1980
W01000394,Wrexham 016A,1221
W01001271,Rhondda Cynon Taf 010C,1575
W01001581,Monmouthshire 005E,1923
W01001680,Newport 007E,1281
W01000071,Gwynedd 003B,2302
W01001354,Caerphilly 014D,1705
W01001355,Caerphilly 015A,1658
W01001356,Caerphilly 006A,1212
W01001357,Caerphilly 006B,1699
W01001068,The Vale of Glamorgan 009B,1753
W01001069,The Vale of Glamorgan 012C,1450
W01001060,The Vale of Glamorgan 015B,1518
W01001061,The Vale of Glamorgan 015C,2602
W01001352,Caerphilly 007A,1908
W01001353,Caerphilly 007B,1551
W01000739,Swansea 014B,2221
W01001249,Rhondda Cynon Taf 024A,1374
W01001248,Rhondda Cynon Taf 016D,2135
W01000737,Swansea 028B,1439
W01000546,Ceredigion 009F,1114
W01001412,Caerphilly 017B,1715
W01000345,Wrexham 018A,1599
W01000239,Denbighshire 004D,1725
W01001246,Rhondda Cynon Taf 025D,1350
W01000080,Gwynedd 014C,1738
W01001397,Caerphilly 019E,1656
W01001361,Caerphilly 002B,1197
W01001151,Rhondda Cynon Taf 003C,1546
W01000349,Wrexham 011A,2101
W01001650,Newport 004E,1458
W01001653,Newport 002C,1372
W01001823,Cardiff 029B,1318
W01001822,Cardiff 029A,1877
W01001824,Cardiff 029C,1516
W01001825,Cardiff 029D,2334
W01001820,Cardiff 006A,1176
W01000234,Denbighshire 017G,1638
W01000460,Powys 006B,1711
W01001775,Cardiff 021B,1662
W01000667,Carmarthenshire 023C,1741
W01000666,Carmarthenshire 017B,1548
W01000367,Wrexham 014B,1287
W01001905,Powys 018H,2090
W01000664,Carmarthenshire 016C,2147
W01000156,Conwy 004B,1522
W01000484,Powys 011E,1551
W01001622,Newport 003F,1254
W01000405,Wrexham 015B,2358
W01000485,Powys 011F,1568
W01000404,Wrexham 018D,2116
W01000483,Powys 009C,1788
W01000402,Wrexham 011D,2452
W01000873,Swansea 026C,1995
W01000875,Swansea 026D,2209
W01000872,Swansea 024E,1399
W01000877,Swansea 007E,1582
W01000874,Swansea 024F,2106
W01000876,Swansea 026E,2116
W01001394,Caerphilly 023B,1361
W01000606,Pembrokeshire 015B,1690
W01001816,Cardiff 009B,2868
W01001086,The Vale of Glamorgan 006A,1547
W01001667,Newport 010C,1276
W01001666,Newport 010B,1423
W01001664,Newport 010A,1450
W01000692,Carmarthenshire 019C,1550
W01000613,Pembrokeshire 001E,2195
W01000693,Carmarthenshire 008C,1112
W01000612,Pembrokeshire 003C,1778
W01000610,Pembrokeshire 016A,1709
W01001508,Torfaen 013C,1204
W01001253,Rhondda Cynon Taf 023C,1468
W01001604,Newport 012D,1471
W01000191,Denbighshire 009A,2194
W01000973,Neath Port Talbot 020F,1397
W01001911,The Vale of Glamorgan 012H,1203
W01001910,The Vale of Glamorgan 012G,1912
W01001727,Cardiff 014A,1085
W01001726,Cardiff 028E,1830
W01001937,Ceredigion 001F,2027
W01001934,Ceredigion 002F,4021
W01001936,Ceredigion 003F,1834
W01001724,Cardiff 032C,2371
W01001935,Ceredigion 003E,1097
W01001416,Caerphilly 008C,1439
W01001932,Gwynedd 014E,2942
W01001958,Swansea 025H,1546
W01000941,Neath Port Talbot 012B,1575
W01000940,Neath Port Talbot 008E,1337
W01000942,Neath Port Talbot 012C,1924
W01000943,Neath Port Talbot 012D,1562
W01000597,Pembrokeshire 002E,1181
W01000853,Swansea 022A,1462
W01000855,Swansea 022C,1474
W01000852,Swansea 021D,1506
W01000857,Swansea 022E,1817
W01000854,Swansea 022B,1597
W01000850,Swansea 021B,2826
W01001928,Conwy 010H,1133
W01000841,Swansea 005C,1531
W01001927,Conwy 010G,1371
W01000132,Conwy 001A,1571
W01000568,Pembrokeshire 005A,2397
W01000569,Pembrokeshire 005B,1291
W01000561,Pembrokeshire 001D,1408
W01001518,Torfaen 006E,1135
W01001309,Merthyr Tydfil 008E,1350
W01001388,Caerphilly 007D,1781
W01001308,Merthyr Tydfil 008D,1318
W01001389,Caerphilly 007E,1134
W01001301,Merthyr Tydfil 008C,1985
W01001380,Caerphilly 010A,1861
W01001300,Merthyr Tydfil 008B,1874
W01001381,Caerphilly 010B,1614
W01001232,Rhondda Cynon Taf 020D,1507
W01001234,Rhondda Cynon Taf 021E,1432
W01001235,Rhondda Cynon Taf 021F,1690
W01001237,Rhondda Cynon Taf 022B,1452
W01000961,Neath Port Talbot 016C,1613
W01000097,Gwynedd 003D,1237
W01000017,Isle of Anglesey 003B,1677
W01000129,Conwy 012B,1109
W01000016,Isle of Anglesey 003A,1283
W01000121,Conwy 015A,1160
W01000128,Conwy 009C,1359
W01000122,Conwy 014A,2160
W01000123,Conwy 013A,1885
W01000096,Gwynedd 003C,1356
W01000014,Isle of Anglesey 006C,2144
W01000085,Gwynedd 017C,2024
W01001096,The Vale of Glamorgan 007E,1307
W01001014,Bridgend 002A,1688
W01001097,The Vale of Glamorgan 007F,1739
W01001017,Bridgend 002C,1492
W01001129,The Vale of Glamorgan 004F,1543
W01001016,Bridgend 005C,1598
W01001121,The Vale of Glamorgan 014E,1618
W01001128,The Vale of Glamorgan 001C,1617
W01001095,The Vale of Glamorgan 007D,1603
W01001094,The Vale of Glamorgan 007C,1371
W01001024,Bridgend 003C,1129
W01000527,Ceredigion 008A,1531
W01001009,Bridgend 004C,1266
W01001536,Torfaen 009C,1214
W01000559,Pembrokeshire 001B,1441
W01000558,Pembrokeshire 001A,2173
W01001877,Cardiff 011A,1675
W01001874,Cardiff 038D,1500
W01001876,Cardiff 037D,1684
W01001875,Cardiff 037C,2846
W01001872,Cardiff 038B,1598
W01000721,Carmarthenshire 027C,1406
W01000720,Carmarthenshire 027B,1825
W01001636,Newport 020A,1930
W01001419,Caerphilly 021D,1574
W01001889,Cardiff 020B,1605
W01001808,Cardiff 007C,1785
W01001442,Blaenau Gwent 001C,1198
W01001445,Blaenau Gwent 005C,1433
W01001888,Cardiff 010A,1759
W01001809,Cardiff 017A,1286
W01001443,Blaenau Gwent 005A,1349
W01001781,Cardiff 026C,1764
W01001703,Cardiff 045B,1281
W01001782,Cardiff 026D,1392
W01001783,Cardiff 026E,1206
W01001780,Cardiff 026B,1789
W01001558,Monmouthshire 002C,1589
W01001559,Monmouthshire 008A,1362
W01001291,Merthyr Tydfil 003A,2148
W01001210,Rhondda Cynon Taf 008B,1549
W01001213,Rhondda Cynon Taf 011A,1417
W01001292,Merthyr Tydfil 004A,1812
W01001212,Rhondda Cynon Taf 008D,1367
W01001290,Merthyr Tydfil 007A,2323
W01000980,Bridgend 016A,1334
W01000901,Neath Port Talbot 014D,1690
W01000811,Swansea 008B,1514
W01000890,Neath Port Talbot 015B,1544
W01000810,Swansea 003D,1392
W01000891,Neath Port Talbot 015C,1515
W01000475,Powys 001E,2421
W01000474,Powys 020B,1748
W01000477,Powys 012D,1442
W01000590,Pembrokeshire 012B,1070
W01000511,Ceredigion 009E,1220
W01000476,Powys 005C,1266
W01000640,Carmarthenshire 007D,1241
W01000472,Powys 012C,1244
W01001749,Cardiff 027C,1456
W01001748,Cardiff 027B,1643
W01000641,Carmarthenshire 008A,2058
W01000453,Powys 010B,1399
W01000452,Powys 004B,1978
W01001901,Powys 017F,1875
W01000159,Conwy 014B,1395
W01001329,Caerphilly 014C,1581
W01000261,Flintshire 014C,1482
W01000260,Flintshire 017B,1714
W01000268,Flintshire 013B,1719
W01000269,Flintshire 020A,1580
W01001471,Blaenau Gwent 001E,1788
W01001318,Merthyr Tydfil 005D,1608
W01001170,Rhondda Cynon Taf 004D,1145
W01000306,Flintshire 002A,2478
W01000387,Wrexham 008D,1160
W01000059,Gwynedd 006A,2068
W01000051,Gwynedd 015A,2094
W01000050,Gwynedd 003A,1396
W01000053,Gwynedd 004B,1214
W01000052,Gwynedd 004A,1197
W01000054,Gwynedd 007A,1138
W01000307,Flintshire 020B,1470
W01000386,Wrexham 015A,1481
W01001957,Swansea 025G,1035
W01001954,Cardiff 006F,1482
W01001956,Swansea 023E,2387
W01001955,Swansea 025F,1869
W01001952,Cardiff 049F,1818
W01001839,Cardiff 030E,1467
W01001838,Cardiff 030D,1714
W01001894,Cardiff 010C,1613
W01001000,Bridgend 010B,1848
W01000229,Denbighshire 017E,1648
W01001142,Rhondda Cynon Taf 005F,1826
W01001247,Rhondda Cynon Taf 016C,1654
W01001140,Rhondda Cynon Taf 005D,1392
W01001242,Rhondda Cynon Taf 030D,1278
W01001141,Rhondda Cynon Taf 005E,1671
W01000007,Isle of Anglesey 009A,1738
W01000223,Denbighshire 009B,1288
W01000222,Denbighshire 003C,1758
W01000220,Denbighshire 001C,1668
W01000496,Powys 021B,1971
W01000497,Powys 005D,1317
W01000417,Wrexham 020D,1494
W01000416,Wrexham 007D,1203
W01000414,Wrexham 010D,1216
W01001398,Caerphilly 024A,2791
W01001855,Cardiff 042A,1787
W01001852,Cardiff 004B,1823
W01001857,Cardiff 042C,1990
W01001854,Cardiff 004D,1562
W01001856,Cardiff 042B,1851
W01001179,Rhondda Cynon Taf 023B,1777
W01001853,Cardiff 004C,1651
W01000443,Powys 015B,2374
W01001892,Cardiff 020D,1392
W01001080,The Vale of Glamorgan 012F,1627
W01001582,Monmouthshire 011D,1782
W01001681,Newport 006B,1373
W01000072,Gwynedd 002B,1951
W01000398,Wrexham 013A,1248
W01000319,Flintshire 016G,1458
W01000989,Bridgend 013A,1391
W01000621,Pembrokeshire 016D,1447
W01000908,Neath Port Talbot 006E,1625
W01000620,Pembrokeshire 016C,886
W01000909,Neath Port Talbot 009A,1196
W01000542,Ceredigion 011F,2149
W01000545,Ceredigion 007D,2039
W01000822,Swansea 009F,1259
W01001920,Bridgend 017G,1255
W01000346,Wrexham 018B,1556
W01001779,Cardiff 026A,1453
W01001909,Monmouthshire 002F,2648
W01000082,Gwynedd 015C,1162
W01001261,Rhondda Cynon Taf 018F,1284
W01000258,Flintshire 006A,2128
W01001260,Rhondda Cynon Taf 014C,1153
W01001028,Bridgend 014D,1894
W01000682,Carmarthenshire 005B,1377
W01001811,Cardiff 009A,1567
W01001362,Caerphilly 003C,2082
W01001152,Rhondda Cynon Taf 002B,1912
W01000325,Flintshire 010D,1575
W01000759,Swansea 012A,1576
W01000117,Gwynedd 017E,1535
W01000656,Carmarthenshire 010A,2185
W01001528,Torfaen 010D,1393
W01000735,Carmarthenshire 027D,2367
W01001491,Torfaen 004A,1787
W01000505,Powys 021E,1401
W01000821,Swansea 009E,1451
W01001263,Rhondda Cynon Taf 022E,1579
W01001262,Rhondda Cynon Taf 022D,1332
W01001272,Rhondda Cynon Taf 010D,1530
W01000921,Neath Port Talbot 011B,1603
W01000920,Neath Port Talbot 011A,1233
W01000411,Wrexham 015C,1594
W01000410,Wrexham 014D,1721
W01001258,Rhondda Cynon Taf 019E,1301
W01000379,Wrexham 004C,1689
W01000378,Wrexham 004B,1343
W01000371,Wrexham 008B,1130
W01000370,Wrexham 020G,1426
W01000373,Wrexham 005B,1791
W01001603,Newport 012C,1444
W01000077,Gwynedd 001C,1537
W01001132,The Vale of Glamorgan 008D,1385
W01001133,The Vale of Glamorgan 008E,2271
W01001134,The Vale of Glamorgan 008F,1225
W01001135,The Vale of Glamorgan 003C,1773
W01001136,The Vale of Glamorgan 003D,1269
W01001137,Rhondda Cynon Taf 005A,2264
W01001168,Rhondda Cynon Taf 004B,1480
W01001169,Rhondda Cynon Taf 004C,2523
W01001160,Rhondda Cynon Taf 029A,1575
W01001161,Rhondda Cynon Taf 029B,3086
W01001165,Rhondda Cynon Taf 019B,1351
W01001130,The Vale of Glamorgan 005F,1286
W01001162,Rhondda Cynon Taf 025A,2429
W01001131,The Vale of Glamorgan 008C,1825
W01001167,Rhondda Cynon Taf 016B,1484
W01001164,Rhondda Cynon Taf 019A,1584
W01001056,Bridgend 007D,1171
W01001057,Bridgend 006B,1642
W01001461,Blaenau Gwent 007F,1381
W01000200,Denbighshire 008A,1324
W01000281,Flintshire 008D,1220
W01001948,Cardiff 006E,2019
W01000282,Flintshire 010C,1724
W01001941,Cardiff 032G,1526
W01001940,Cardiff 048A,1457
W01001949,Cardiff 005F,1487
W01000529,Ceredigion 007A,1643
W01000528,Ceredigion 008B,1515
W01001495,Torfaen 008C,1810
W01000431,Powys 014A,1264
W01001542,Monmouthshire 009A,2157
W01001634,Newport 019B,1592
W01001637,Newport 016B,1817
W01001538,Torfaen 009D,1336
W01000430,Powys 015A,1349
W01001562,Monmouthshire 003B,1479
W01001565,Monmouthshire 006D,1920
W01000088,Gwynedd 007B,2105
W01001564,Monmouthshire 003D,2822
W01001904,Powys 018G,1681
W01001539,Torfaen 009E,1444
W01001563,Monmouthshire 003C,1170
W01000580,Pembrokeshire 009B,2448
W01000030,Isle of Anglesey 003D,2331
W01000031,Isle of Anglesey 001E,1533
W01000242,Denbighshire 014A,1955
W01000032,Isle of Anglesey 002D,966
W01000033,Isle of Anglesey 003E,1576
W01000034,Isle of Anglesey 004B,1206
W01000035,Isle of Anglesey 005E,1834
W01000245,Denbighshire 010A,1742
W01000036,Isle of Anglesey 003F,1106
