LSOA11CD,LSOA11NM,population_count
W01000535,Ceredigion 008C,2064
W01000534,Ceredigion 011B,1489
W01000532,Ceredigion 007B,1897
W01001950,Cardiff 049D,1680
W01001953,Cardiff 005G,1635
W01000567,Pembrokeshire 002D,2095
W01000566,Pembrokeshire 002C,1473
W01001505,Torfaen 013B,2215
W01001250,Rhondda Cynon Taf 024B,1495
W01001311,Merthyr Tydfil 002F,1197
W01000256,Flintshire 015B,1587
W01001172,Rhondda Cynon Taf 020A,1468
W01000442,Powys 004A,2044
W01001003,Bridgend 015D,1408
W01001275,Rhondda Cynon Taf 013C,1835
W01001502,Torfaen 011E,1258
W01000119,Gwynedd 004D,2431
W01000751,Swansea 002B,1408
W01001496,Torfaen 004B,1415
W01001828,Cardiff 024D,1534
W01001460,Blaenau Gwent 007E,1819
W01001712,Cardiff 040D,1476
W01001793,Cardiff 002A,1445
W01001715,Cardiff 035B,1582
W01001794,Cardiff 001C,1418
W01001795,Cardiff 002B,1533
W01001792,Cardiff 005B,1770
W01000879,Swansea 029A,1739
W01001924,Carmarthenshire 026H,1422
W01000133,Conwy 002A,1947
W01001668,Newport 010D,1202
W01000231,Denbighshire 017A,1361
W01000005,Isle of Anglesey 005A,1785
W01001025,Bridgend 003D,1244
W01000602,Pembrokeshire 013C,1246
W01000756,Swansea 017B,1613
W01001891,Cardiff 020C,1735
W01001088,The Vale of Glamorgan 006C,1906
W01001798,Cardiff 002D,1432
W01000635,Carmarthenshire 025A,2404
W01000576,Pembrokeshire 011D,2236
W01000634,Carmarthenshire 021C,1342
W01000888,Neath Port Talbot 004A,2670
W01000809,Swansea 008A,1576
W01000889,Neath Port Talbot 015A,1756
W01000808,Swansea 003C,1418
W01000632,Carmarthenshire 021A,1480
W01001769,Cardiff 018A,1598
W01001768,Cardiff 044E,1750
W01001399,Caerphilly 023E,1276
W01000257,Flintshire 015C,2532
W01000608,Pembrokeshire 015D,1448
W01001171,Rhondda Cynon Taf 017A,1314
W01000604,Pembrokeshire 013E,1582
W01000616,Pembrokeshire 011F,1077
W01001692,Newport 011E,2093
W01000816,Swansea 003F,1719
W01000897,Neath Port Talbot 013D,1337
W01000647,Carmarthenshire 002A,1445
W01001919,Bridgend 017F,1490
W01001918,Bridgend 017E,2009
W01000895,Neath Port Talbot 013B,1425
W01000390,Wrexham 020C,1561
W01000311,Flintshire 011A,1764
W01000391,Wrexham 003D,1429
W01000310,Flintshire 020D,1892
W01000392,Wrexham 003E,1723
W01000313,Flintshire 016A,1620
W01000312,Flintshire 011B,1683
W01000393,Wrexham 009C,1931
W01001087,The Vale of Glamorgan 006B,1612
W01001644,Newport 013C,3538
W01001645,Newport 015D,1336
W01000639,Carmarthenshire 007C,1332
W01000291,Flintshire 005B,1330
W01001429,Caerphilly 001F,1115
W01000213,Denbighshire 002A,1408
W01000292,Flintshire 004C,1498
W01000293,Flintshire 004D,1800
W01000210,Denbighshire 016E,1343
W01001893,Cardiff 010B,1953
W01001081,The Vale of Glamorgan 007A,1761
W01001639,Newport 004A,2190
W01001638,Newport 016C,1146
W01000781,Swansea 023B,1709
W01000700,Carmarthenshire 027G,2024
W01001488,Torfaen 001B,1661
W01001489,Torfaen 001C,1617
W01001408,Caerphilly 016B,1458
W01000701,Carmarthenshire 001C,1594
W01001409,Caerphilly 016C,1700
W01001613,Newport 011C,1614
W01001251,Rhondda Cynon Taf 024C,1631
W01001682,Newport 006C,1410
W01000074,Gwynedd 013B,1867
W01001521,Torfaen 007C,1426
W01001414,Caerphilly 008A,1530
W01000501,Powys 003D,2428
W01000740,Swansea 014C,1675
W01000741,Swansea 014D,1696
W01001448,Blaenau Gwent 002C,1168
W01000553,Pembrokeshire 011A,1222
W01000911,Neath Port Talbot 009C,1190
W01000552,Ceredigion 011D,2053
W01000999,Bridgend 010A,1465
W01000931,Neath Port Talbot 020E,1358
W01000930,Neath Port Talbot 011D,1304
W01000933,Neath Port Talbot 019B,2058
W01001579,Monmouthshire 001E,1445
W01001578,Monmouthshire 009C,2296
W01001807,Cardiff 007B,1595
W01001886,Cardiff 016D,1304
W01001806,Cardiff 015D,1701
W01001887,Cardiff 020A,1728
W01000959,Neath Port Talbot 017E,1847
W01001885,Cardiff 011D,2223
W01000824,Swansea 031B,1588
W01001923,Carmarthenshire 026G,1648
W01000138,Conwy 008A,1755
W01001778,Cardiff 001B,1727
W01000547,Ceredigion 009G,1089
W01001642,Newport 013A,1779
W01001643,Newport 013B,1681
W01000866,Swansea 019E,1258
W01000867,Swansea 019F,1340
W01000864,Swansea 019C,1699
W01000865,Swansea 019D,1366
W01000862,Swansea 019A,1788
W01000863,Swansea 019B,1653
W01000255,Flintshire 015A,2303
W01001022,Bridgend 014B,1445
W01000730,Carmarthenshire 018D,1216
W01000199,Denbighshire 011C,1683
W01001041,Bridgend 013C,2432
W01001048,Bridgend 008B,1518
W01001043,Bridgend 004E,1133
W01001040,Bridgend 009F,1526
W01001045,Bridgend 019D,1704
W01001042,Bridgend 004D,1287
W01001047,Bridgend 018D,1698
W01001044,Bridgend 019C,1616
W01001049,Bridgend 008C,1322
W01001336,Caerphilly 004A,1437
W01000676,Carmarthenshire 004A,1559
W01000677,Carmarthenshire 004B,1437
W01001659,Newport 018A,1965
W01001658,Newport 020D,2002
W01000715,Carmarthenshire 013E,1336
W01000795,Swansea 006A,1570
W01000714,Carmarthenshire 013D,1380
W01000796,Swansea 006B,3219
W01000717,Carmarthenshire 016E,1501
W01000581,Pembrokeshire 003B,1427
W01000797,Swansea 010B,1420
W01000716,Carmarthenshire 016D,1267
W01000794,Swansea 010A,2176
W01000765,Swansea 015C,1628
W01000764,Swansea 015B,1651
W01000767,Swansea 015E,1598
W01000766,Swansea 015D,1532
W01000762,Swansea 013C,1697
W01000488,Powys 006C,2204
W01000489,Powys 017A,2113
W01000409,Wrexham 017E,2085
W01000408,Wrexham 013D,1152
W01000840,Swansea 030D,1706
W01000423,Wrexham 012D,2269
W01000422,Wrexham 008F,2143
W01000425,Wrexham 010E,2213
W01000134,Conwy 015B,2081
W01000420,Wrexham 016E,1443
W01000881,Swansea 029C,1483
W01001731,Cardiff 008B,1497
W01000800,Swansea 006C,1559
W01000803,Swansea 002F,1873
W01001730,Cardiff 008A,1544
W01001733,Cardiff 019B,2720
W01000882,Swansea 029D,1787
W01000801,Swansea 006D,1694
W01000880,Swansea 029B,1573
W01001799,Cardiff 001D,1256
W01001718,Cardiff 028A,1613
W01001719,Cardiff 028B,2541
W01001761,Cardiff 046C,1861
W01001760,Cardiff 046B,1663
W01001420,Caerphilly 022D,1290
W01001423,Caerphilly 024B,1364
W01001422,Caerphilly 022F,1489
W01001421,Caerphilly 022E,1564
W01000216,Denbighshire 002D,1375
W01000086,Gwynedd 008B,2285
W01000786,Swansea 007C,1351
W01000707,Carmarthenshire 025D,1519
W01001482,Torfaen 002A,1306
W01001403,Caerphilly 011C,1735
W01000322,Flintshire 014E,1302
W01001255,Rhondda Cynon Taf 023E,1795
W01001687,Newport 014D,2162
W01000195,Denbighshire 012A,1433
W01000586,Pembrokeshire 006C,2227
W01001469,Blaenau Gwent 005F,1360
W01001288,Rhondda Cynon Taf 014G,1422
W01001289,Merthyr Tydfil 006A,1343
W01001208,Rhondda Cynon Taf 006E,1590
W01001209,Rhondda Cynon Taf 008A,1439
W01001410,Caerphilly 016D,1840
W01000467,Powys 010D,1460
W01001759,Cardiff 046A,1556
W01000364,Wrexham 006E,1650
W01001902,Powys 017G,1361
W01001312,Merthyr Tydfil 006E,1586
W01000687,Carmarthenshire 004C,1944
W01000752,Swansea 002C,1587
W01001818,Cardiff 009D,1587
W01001276,Rhondda Cynon Taf 013D,1368
W01001688,Newport 019C,3077
W01001685,Newport 014B,1737
W01000110,Gwynedd 006D,1444
W01000339,Flintshire 019D,1680
W01000331,Flintshire 015F,1546
W01000338,Flintshire 001C,1814
W01000333,Flintshire 009B,1562
W01000330,Flintshire 015E,2299
W01000335,Flintshire 009D,1096
W01000332,Flintshire 009A,1551
W01000659,Carmarthenshire 026A,1816
W01000658,Carmarthenshire 010C,1284
W01001465,Blaenau Gwent 009B,1573
W01001524,Torfaen 004D,1908
W01000673,Carmarthenshire 027F,1133
W01000713,Carmarthenshire 015E,1309
W01000672,Carmarthenshire 027E,1566
W01000792,Swansea 004B,1675
W01000675,Carmarthenshire 012A,2046
W01000793,Swansea 004C,1943
W01000674,Carmarthenshire 027A,2102
W01000712,Carmarthenshire 015D,1625
W01000710,Carmarthenshire 021D,2241
W01000791,Swansea 004A,1432
W01000843,Swansea 005E,1406
W01000761,Swansea 013B,1654
W01000760,Swansea 013A,1721
W01000763,Swansea 015A,1483
W01001840,Cardiff 007D,1758
W01001842,Cardiff 003B,1693
W01001843,Cardiff 003C,2610
W01001847,Cardiff 006D,1525
W01001844,Cardiff 003D,1982
W01001841,Cardiff 003A,1967
W01001670,Newport 009B,2226
W01001673,Newport 009D,1420
W01000429,Powys 010A,2311
W01001671,Newport 016D,1882
W01001739,Cardiff 039C,1426
W01001738,Cardiff 039B,1476
W01000006,Isle of Anglesey 006A,1592
W01001402,Caerphilly 011B,1695
W01001483,Torfaen 002B,1532
W01001405,Caerphilly 011E,1842
W01000704,Carmarthenshire 022B,1647
W01000785,Swansea 007B,1684
W01001481,Blaenau Gwent 006E,1670
W01001813,Cardiff 017D,1639
W01001008,Bridgend 011B,2365
W01001270,Rhondda Cynon Taf 010B,1490
W01001600,Newport 012A,1765
W01000073,Gwynedd 008A,1691
W01000738,Swansea 014A,1843
W01000978,Bridgend 004B,1783
W01000915,Neath Port Talbot 010D,1270
W01000994,Bridgend 001D,1432
W01000914,Neath Port Talbot 010C,1659
W01000995,Bridgend 001E,1421
W01000996,Bridgend 008A,1533
W01000917,Neath Port Talbot 010F,4263
W01000993,Bridgend 001C,1500
W01000912,Neath Port Talbot 010A,1103
W01000556,Pembrokeshire 008B,1171
W01000848,Swansea 001D,1200
W01000823,Swansea 031A,1740
W01000347,Wrexham 006A,2968
W01001915,Rhondda Cynon Taf 027F,1756
W01001912,Newport 020E,1391
W01001914,Rhondda Cynon Taf 023F,1852
W01001917,Rhondda Cynon Taf 023G,1585
W01001916,Rhondda Cynon Taf 027G,1590
W01001913,Newport 020F,1632
W01001196,Rhondda Cynon Taf 027B,1504
W01001114,The Vale of Glamorgan 008A,1547
W01001197,Rhondda Cynon Taf 027C,1210
W01001117,The Vale of Glamorgan 014B,1360
W01001116,The Vale of Glamorgan 005A,1998
W01001195,Rhondda Cynon Taf 030C,1514
W01001115,The Vale of Glamorgan 008B,2223
W01000236,Denbighshire 006A,1948
W01001753,Cardiff 031C,1581
W01000856,Swansea 022D,1766
W01000081,Gwynedd 005B,2097
W01001590,Monmouthshire 009D,2210
W01001510,Torfaen 005A,1580
W01001591,Monmouthshire 011E,1579
W01001592,Monmouthshire 008D,1695
W01001513,Torfaen 005D,1486
W01001511,Torfaen 005B,1626
W01000538,Ceredigion 005C,1489
W01000539,Ceredigion 005D,1194
W01001236,Rhondda Cynon Taf 021G,1647
W01000259,Flintshire 017A,1595
W01000252,Flintshire 010A,1658
W01001029,Bridgend 019A,1827
W01000126,Conwy 009A,1629
W01000127,Conwy 009B,1211
W01000124,Conwy 012A,2073
W01000125,Conwy 013B,1385
W01000754,Swansea 002E,1556
W01001890,Cardiff 021D,1746
W01001363,Caerphilly 012A,1814
W01001153,Rhondda Cynon Taf 002C,1565
W01001863,Cardiff 022A,1571
W01000248,Denbighshire 008D,1690
W01000249,Flintshire 014A,1196
W01000513,Ceredigion 002B,2253
W01001938,Swansea 025E,1431
W01000593,Pembrokeshire 010C,2876
W01000512,Ceredigion 002A,1396
W01001729,Cardiff 014C,2169
W01000642,Carmarthenshire 008B,1766
W01000591,Pembrokeshire 012C,1735
W01000510,Ceredigion 009D,1167
W01001551,Monmouthshire 010C,1159
W01001548,Monmouthshire 001B,2182
W01000646,Carmarthenshire 003A,2223
W01000896,Neath Port Talbot 013C,1621
W01000817,Swansea 009A,1951
W01001741,Cardiff 039E,1770
W01001720,Cardiff 028C,2162
W01001721,Cardiff 032A,2922
W01001725,Cardiff 032D,2280
W01001931,Wrexham 012G,1513
W01001722,Cardiff 028D,1807
W01001930,Wrexham 019F,2089
W01001933,Gwynedd 017F,2148
W01000083,Gwynedd 015D,1379
W01001629,Newport 017A,1405
W01001072,The Vale of Glamorgan 009E,2879
W01001073,The Vale of Glamorgan 015E,2195
W01001077,The Vale of Glamorgan 004C,1380
W01001075,The Vale of Glamorgan 004A,1175
W01001198,Rhondda Cynon Taf 027D,1582
W01001076,The Vale of Glamorgan 004B,1500
W01001199,Rhondda Cynon Taf 027E,1619
W01001119,The Vale of Glamorgan 003B,1922
W01001070,The Vale of Glamorgan 009C,1155
W01001071,The Vale of Glamorgan 009D,1571
W01000948,Neath Port Talbot 004D,1885
W01000949,Neath Port Talbot 018A,1357
W01000594,Pembrokeshire 012E,2312
W01000595,Pembrokeshire 007C,2109
W01000517,Ceredigion 002D,1306
W01000596,Pembrokeshire 007D,1612
W01000516,Ceredigion 003B,1701
W01000515,Ceredigion 003A,1316
W01001549,Monmouthshire 007A,1450
W01001598,Monmouthshire 010F,1706
W01001519,Torfaen 007A,1333
W01001599,Monmouthshire 004F,2163
W01000224,Denbighshire 009C,1425
W01000227,Denbighshire 004B,1631
W01000226,Denbighshire 004A,1487
W01000225,Denbighshire 009D,1502
W01000851,Swansea 021C,1612
W01001020,Bridgend 002E,1425
W01000757,Swansea 017C,1508
W01001364,Caerphilly 012B,1859
W01001454,Blaenau Gwent 008E,1372
W01001457,Blaenau Gwent 004D,1731
W01001456,Blaenau Gwent 004C,1341
W01001154,Rhondda Cynon Taf 003D,1464
W01001455,Blaenau Gwent 008F,1791
W01001865,Cardiff 022C,1294
W01001231,Rhondda Cynon Taf 017D,1536
W01001230,Rhondda Cynon Taf 017C,1599
W01001233,Rhondda Cynon Taf 001F,1768
W01001837,Cardiff 030C,1592
W01001836,Cardiff 030B,1545
W01001835,Cardiff 033F,1790
W01001834,Cardiff 033E,1609
W01000969,Neath Port Talbot 009D,1248
W01000327,Flintshire 018C,2312
W01001567,Monmouthshire 005B,1030
W01001895,Cardiff 010D,1691
W01001002,Bridgend 010D,2570
W01000140,Conwy 010B,1611
W01000141,Conwy 010C,1608
W01000820,Swansea 009D,1432
W01000343,Wrexham 007A,1009
W01000219,Denbighshire 001B,2638
W01000298,Flintshire 001B,1509
W01000218,Denbighshire 001A,1534
W01000237,Denbighshire 006B,1845
W01001750,Cardiff 031A,1662
W01000089,Gwynedd 011D,2145
W01001907,Powys 001G,1386
W01001396,Caerphilly 023D,1626
W01000600,Pembrokeshire 013A,1662
W01000755,Swansea 017A,2158
W01001369,Caerphilly 012D,2213
W01001159,Rhondda Cynon Taf 028C,1697
W01001470,Blaenau Gwent 001D,1432
W01000859,Swansea 027B,1411
W01000858,Swansea 027A,1626
W01001831,Cardiff 030A,1463
W01001830,Cardiff 033B,1578
W01000482,Powys 008C,1964
W01000403,Wrexham 018C,1350
W01000481,Powys 008B,2165
W01001797,Cardiff 005C,1406
W01000400,Wrexham 005C,1890
W01001717,Cardiff 035D,1570
W01001716,Cardiff 035C,1309
W01000939,Neath Port Talbot 008D,1202
W01000938,Neath Port Talbot 008C,1319
W01000749,Swansea 026A,1984
W01001278,Rhondda Cynon Taf 028E,1173
W01001698,Cardiff 036E,2116
W01000723,Carmarthenshire 012E,1377
W01001619,Newport 003C,1355
W01000722,Carmarthenshire 012D,1315
W01000725,Carmarthenshire 011D,2301
W01001215,Rhondda Cynon Taf 011C,1049
W01001214,Rhondda Cynon Taf 011B,1269
W01001294,Merthyr Tydfil 003B,1712
W01001217,Rhondda Cynon Taf 018A,1144
W01001295,Merthyr Tydfil 002A,1567
W01001216,Rhondda Cynon Taf 011D,1539
W01001296,Merthyr Tydfil 002B,1600
W01001293,Merthyr Tydfil 004B,1806
W01000892,Neath Port Talbot 015D,1910
W01000812,Swansea 008C,1398
W01000893,Neath Port Talbot 003A,2022
W01000328,Flintshire 011C,2114
W01001252,Rhondda Cynon Taf 024D,1505
W01001686,Newport 014C,1318
W01000193,Denbighshire 015A,1281
W01001880,Cardiff 013B,1676
W01001447,Blaenau Gwent 002B,1570
W01001881,Cardiff 013C,1521
W01001800,Cardiff 005D,1537
W01001446,Blaenau Gwent 002A,1348
W01001444,Blaenau Gwent 005B,1983
W01001784,Cardiff 026F,1286
W01001785,Cardiff 023A,1191
W01001705,Cardiff 045C,1916
W01001704,Cardiff 041A,1740
W01001707,Cardiff 041C,2128
W01000733,Carmarthenshire 026E,1305
W01001702,Cardiff 045A,1860
W01000976,Bridgend 003A,1140
W01000815,Swansea 003E,1541
W01000894,Neath Port Talbot 013A,1433
W01000814,Swansea 008E,1574
W01000813,Swansea 008D,1521
W01001728,Cardiff 014B,1457
W01000592,Pembrokeshire 012D,1336
W01001939,Cardiff 032F,1306
W01001520,Torfaen 007B,1778
W01001625,Newport 001C,1172
W01000095,Gwynedd 012C,1415
W01001640,Newport 004B,1142
W01001641,Newport 004C,1413
W01000860,Swansea 027C,1530
W01000861,Swansea 027D,1893
W01000826,Swansea 031D,1331
W01001608,Newport 008B,1518
W01001925,Carmarthenshire 023F,2295
W01000130,Conwy 012C,1848
W01000192,Denbighshire 016A,1064
W01000084,Gwynedd 014D,1207
W01001628,Newport 001F,1059
W01001652,Newport 002B,1922
W01001655,Newport 002E,1563
W01001654,Newport 002D,1640
W01000079,Gwynedd 013C,1015
W01000683,Carmarthenshire 005C,1068
W01001810,Cardiff 017B,1705
W01001366,Caerphilly 019A,1705
W01001156,Rhondda Cynon Taf 003E,1418
W01000798,Swansea 010C,1411
W01000799,Swansea 010D,2016
W01000719,Carmarthenshire 010E,1453
W01001867,Cardiff 016B,1468
W01001580,Monmouthshire 002E,1815
W01000587,Pembrokeshire 010A,2097
W01000589,Pembrokeshire 012A,1163
W01000578,Pembrokeshire 014B,1614
W01000571,Pembrokeshire 006A,2314
W01000570,Pembrokeshire 005C,1580
W01000573,Pembrokeshire 006B,2530
W01000638,Carmarthenshire 007B,1175
W01000579,Pembrokeshire 003A,2486
W01000631,Carmarthenshire 024D,1806
W01000015,Isle of Anglesey 008C,1506
W01000643,Carmarthenshire 006A,1718
W01000454,Powys 013A,1275
W01000091,Gwynedd 001D,1223
W01000011,Isle of Anglesey 008B,1100
W01001826,Cardiff 024B,1376
W01001827,Cardiff 024C,1628
W01000455,Powys 013B,2187
W01001320,Merthyr Tydfil 007C,1403
W01001322,Merthyr Tydfil 007E,1603
W01001325,Caerphilly 003A,1778
W01001324,Merthyr Tydfil 003E,2109
W01001327,Caerphilly 014A,2426
W01001326,Caerphilly 003B,2250
W01001079,The Vale of Glamorgan 012E,1584
W01001078,The Vale of Glamorgan 004D,1288
W01001328,Caerphilly 014B,1551
W01001321,Merthyr Tydfil 007D,1546
W01000262,Flintshire 017C,1541
W01000265,Flintshire 012B,1540
W01000264,Flintshire 012A,1861
W01000267,Flintshire 017F,2053
W01000263,Flintshire 017D,1418
W01000623,Pembrokeshire 004D,2005
W01000622,Pembrokeshire 008E,1447
W01000625,Carmarthenshire 013A,1180
W01001473,Blaenau Gwent 003B,1399
W01001472,Blaenau Gwent 003A,1356
W01001475,Blaenau Gwent 003D,1195
W01001474,Blaenau Gwent 003C,1456
W01001832,Cardiff 033C,1850
W01001833,Cardiff 033D,1520
W01001451,Blaenau Gwent 007B,1422
W01000465,Powys 018E,1039
W01000847,Swansea 001C,1296
W01000169,Conwy 001D,1991
W01000168,Conwy 002B,1840
W01000163,Conwy 009E,1394
W01000162,Conwy 014C,1983
W01000165,Conwy 006C,2017
W01000164,Conwy 009F,1424
W01000167,Conwy 011C,2015
W01000166,Conwy 006D,2671
W01000057,Gwynedd 016C,1396
W01000056,Gwynedd 009A,1907
W01001499,Torfaen 011C,1223
W01001239,Rhondda Cynon Taf 026B,1383
W01001238,Rhondda Cynon Taf 022C,1694
W01001264,Rhondda Cynon Taf 022F,2065
W01001267,Rhondda Cynon Taf 007C,1440
W01000221,Denbighshire 003B,1314
W01000228,Denbighshire 004C,1492
W01001266,Rhondda Cynon Taf 007B,1349
W01000232,Denbighshire 017B,1606
W01001265,Rhondda Cynon Taf 007A,1548
W01001756,Cardiff 025B,4550
W01000923,Neath Port Talbot 007D,1435
W01000922,Neath Port Talbot 007C,1588
W01000925,Neath Port Talbot 003B,1577
W01000924,Neath Port Talbot 011C,1034
W01000927,Neath Port Talbot 020B,2100
W01000926,Neath Port Talbot 003C,1744
W01000413,Wrexham 010C,1389
W01000493,Powys 017E,1479
W01000412,Wrexham 015D,1591
W01000415,Wrexham 007C,1373
W01000494,Powys 015E,1664
W01000492,Powys 017D,1580
W01000374,Wrexham 003A,1397
W01000377,Wrexham 004A,1550
W01000376,Wrexham 003C,1357
W01000098,Gwynedd 006C,2547
W01000019,Isle of Anglesey 005C,1438
W01000099,Gwynedd 005C,1756
W01000018,Isle of Anglesey 001C,1228
W01000090,Gwynedd 002D,1427
W01001851,Cardiff 012D,1495
W01000372,Wrexham 008C,1350
W01000375,Wrexham 003B,2196
W01001850,Cardiff 012C,1945
W01000360,Wrexham 019D,1275
W01000153,Conwy 009D,1610
W01001166,Rhondda Cynon Taf 016A,1270
W01000202,Denbighshire 015B,1635
W01000283,Flintshire 008E,2322
W01001942,Cardiff 049B,1664
W01000284,Flintshire 013C,1753
W01000205,Denbighshire 016B,1180
W01001944,Cardiff 048C,1425
W01000204,Denbighshire 013B,1466
W01001945,Cardiff 048D,2342
W01001946,Cardiff 049C,1429
W01001947,Cardiff 048E,2221
W01000203,Denbighshire 013A,2487
W01001943,Cardiff 048B,1664
W01001379,Caerphilly 013C,1586
W01001371,Caerphilly 022A,1689
W01001378,Caerphilly 013B,1493
W01001310,Merthyr Tydfil 002E,1627
W01001174,Rhondda Cynon Taf 020C,1472
W01000449,Powys 011C,1541
W01000607,Pembrokeshire 015C,2331
W01000433,Powys 006A,2270
W01000432,Powys 014B,1153
W01000434,Powys 007A,1632
W01001531,Torfaen 003D,1708
W01001530,Torfaen 003C,1909
W01001566,Monmouthshire 005A,1247
W01001533,Torfaen 012B,1572
W01001532,Torfaen 010E,1765
W01001898,Merthyr Tydfil 008F,1482
W01000849,Swansea 021A,2065
W01000247,Denbighshire 010C,1900
W01000235,Denbighshire 017D,1257
W01001751,Cardiff 027D,1842
W01001479,Blaenau Gwent 006D,1556
W01001478,Blaenau Gwent 006C,1414
W01001772,Cardiff 021A,1447
W01000365,Wrexham 011C,2104
W01000777,Swansea 012B,1773
W01000776,Swansea 030B,1880
W01000154,Conwy 003A,1431
W01000774,Swansea 005B,1674
W01001623,Newport 001A,1428
W01000536,Ceredigion 011E,1363
W01000537,Ceredigion 008D,1467
W01001268,Rhondda Cynon Taf 007D,1476
W01001269,Rhondda Cynon Taf 010A,1453
W01000419,Wrexham 016D,1545
W01000498,Powys 003A,1490
W01000418,Wrexham 020E,1671
W01000499,Powys 003B,1263
W01001393,Caerphilly 019D,1310
W01000601,Pembrokeshire 013B,1492
W01001859,Cardiff 034B,1495
W01001858,Cardiff 034A,1781
W01000445,Powys 015C,1501
W01001899,Powys 021F,2070
W01001817,Cardiff 009C,1377
W01001085,The Vale of Glamorgan 002D,1576
W01001342,Caerphilly 021A,1227
W01001285,Rhondda Cynon Taf 014D,1396
W01001204,Rhondda Cynon Taf 006A,1331
W01000401,Wrexham 005D,1921
W01000427,Powys 011A,1390
W01000426,Powys 021A,1451
W01000348,Wrexham 006B,1395
W01001207,Rhondda Cynon Taf 006D,1444
W01001286,Rhondda Cynon Taf 014E,1546
W01001284,Rhondda Cynon Taf 015E,1100
W01001205,Rhondda Cynon Taf 006B,1551
W01000273,Flintshire 007A,1619
W01000201,Denbighshire 008B,1520
W01000280,Flintshire 010B,1675
W01000289,Flintshire 005A,1368
W01001588,Monmouthshire 010D,1672
W01001504,Torfaen 013A,2364
W01001609,Newport 015B,1869
W01001605,Newport 014A,1336
W01000190,Conwy 014D,1406
W01000750,Swansea 002A,1490
W01000136,Conwy 006B,2711
W01001754,Cardiff 031D,1689
W01000829,Swansea 018C,1827
W01000087,Gwynedd 004C,1953
W01000142,Conwy 010D,1487
W01000663,Carmarthenshire 016B,2447
W01000662,Carmarthenshire 016A,2188
W01000665,Carmarthenshire 017A,1861
W01000660,Carmarthenshire 026B,1523
W01001796,Cardiff 002C,1399
W01001714,Cardiff 035A,1523
W01001736,Cardiff 008C,1508
W01000238,Denbighshire 006C,1696
W01001661,Newport 018C,2938
W01000871,Swansea 026B,1901
W01000870,Swansea 024D,1530
W01000878,Swansea 007F,1195
W01000887,Neath Port Talbot 005A,2388
W01000886,Neath Port Talbot 017C,1709
W01000806,Swansea 003A,1447
W01000001,Isle of Anglesey 007A,1067
W01000690,Carmarthenshire 019A,1732
W01000611,Pembrokeshire 004C,2023
W01000691,Carmarthenshire 019B,1842
W01001626,Newport 001D,1356
W01001316,Merthyr Tydfil 005B,2925
W01000441,Powys 005B,1479
W01000447,Powys 007C,2002
W01001360,Caerphilly 002A,1357
W01001150,Rhondda Cynon Taf 003B,1777
W01000323,Flintshire 012C,1608
W01001606,Newport 008A,1274
W01000114,Gwynedd 009D,1507
W01000507,Ceredigion 009A,1263
W01001529,Torfaen 003B,2154
W01000732,Carmarthenshire 026D,1428
W01001871,Cardiff 037B,1581
W01001870,Cardiff 037A,1374
W01001873,Cardiff 038C,1775
W01000728,Carmarthenshire 003D,2038
W01000729,Carmarthenshire 018C,1255
W01000837,Swansea 004D,2102
W01000834,Swansea 011D,1576
W01000836,Swansea 011E,2572
W01000519,Ceredigion 010A,1634
W01000598,Pembrokeshire 009C,2310
W01000599,Pembrokeshire 009D,2010
W01000092,Gwynedd 001E,3616
W01000010,Isle of Anglesey 002A,1904
W01000093,Gwynedd 006B,2341
W01000013,Isle of Anglesey 005B,2302
W01000094,Gwynedd 012B,1269
W01000116,Gwynedd 017D,1722
W01000012,Isle of Anglesey 006B,1574
W01000734,Carmarthenshire 026F,1388
W01001010,Bridgend 012B,1260
W01001011,Bridgend 012C,1318
W01001092,The Vale of Glamorgan 007B,2083
W01001091,The Vale of Glamorgan 010A,1655
W01001093,The Vale of Glamorgan 013C,1805
W01001229,Rhondda Cynon Taf 017B,1399
W01001013,Bridgend 005B,1467
W01001015,Bridgend 002B,1409
W01001012,Bridgend 005A,1549
W01001228,Rhondda Cynon Taf 021D,1459
W01001090,The Vale of Glamorgan 006E,1485
W01001018,Bridgend 002D,1338
W01001413,Caerphilly 017C,1841
W01000207,Denbighshire 015C,2348
W01000369,Wrexham 020F,1285
W01000522,Ceredigion 010B,1214
W01000286,Flintshire 013E,2239
W01000206,Denbighshire 013C,2163
W01000287,Flintshire 001A,1743
W01000525,Ceredigion 011A,1167
W01000524,Ceredigion 005B,1951
W01000285,Flintshire 013D,1460
W01000523,Ceredigion 001C,1863
W01000158,Conwy 004D,1526
W01000588,Pembrokeshire 010B,2355
W01001535,Torfaen 012D,1273
W01001534,Torfaen 012C,1468
W01001537,Torfaen 007E,1187
W01001358,Caerphilly 006C,1510
W01001359,Caerphilly 006D,1633
W01001350,Caerphilly 009C,1821
W01001351,Caerphilly 005D,1463
W01000318,Flintshire 016F,1263
W01000399,Wrexham 013B,1074
W01000251,Flintshire 013A,1624
W01001390,Caerphilly 006E,1982
W01000341,Wrexham 009A,1608
W01001173,Rhondda Cynon Taf 020B,1283
W01000544,Ceredigion 007C,977
W01001417,Caerphilly 008D,1423
W01001583,Monmouthshire 007B,1674
W01001774,Cardiff 018D,1389
W01001646,Newport 015E,1855
W01001647,Newport 015F,2167
W01000143,Conwy 007B,1550
W01000144,Conwy 007C,1353
W01000145,Conwy 008B,1263
W01000246,Denbighshire 010B,1684
