LSOA11CD,LSOA11NM,welsh_speakers_percent,wimd_2019,population_count,pop_density_persqkm,over_65_count
W01000054,Gwynedd 007A,82.6,1394,1138,113.22031200254696,259
W01000307,Flintshire 020B,14.4,1807,1470,130.41973862819722,348
W01000386,Wrexham 015A,14.7,665,1481,2250.7598784194533,227
W01001957,Swansea 025G,8.2,492,1035,4840.972871842844,160
W01001954,Cardiff 006F,14.3,1839,1482,2315.263240118732,415
W01001956,Swansea 023E,8.1,1885,2387,954.6854377474702,455
W01001955,Swansea 025F,5.0,36,1869,2719.732246798603,288
W01001952,Cardiff 049F,9.3,547,1818,3262.156827561457,163
W01001839,Cardiff 030E,9.9,827,1467,14670.0,108
W01001838,Cardiff 030D,12.8,1095,1714,16003.734827264238,106
W01001894,Cardiff 010C,13.3,1732,1613,4832.234871180347,362
W01001000,Bridgend 010B,10.9,1335,1848,127.05397043657614,443
W01000229,Denbighshire 017E,13.8,587,1648,4130.3258145363425,578
W01001142,Rhondda Cynon Taf 005F,8.2,245,1826,432.32237138054313,343
W01001247,Rhondda Cynon Taf 016C,10.0,481,1654,3900.0235793444954,310
W01001140,Rhondda Cynon Taf 005D,10.0,413,1392,384.02118737585516,296
W01001242,Rhondda Cynon Taf 030D,15.0,1497,1278,975.4235994504656,364
W01001141,Rhondda Cynon Taf 005E,10.0,288,1671,355.6832694763729,315
W01000007,Isle of Anglesey 009A,68.3,1036,1738,42.50968575118382,499
W01000223,Denbighshire 009B,18.0,1369,1288,121.61498659213656,365
W01000222,Denbighshire 003C,13.9,1025,1758,1853.843720341664,592
W01000220,Denbighshire 001C,8.3,780,1668,2172.4407397759837,795
W01000496,Powys 021B,24.4,847,1971,17.530658640453392,559
W01000497,Powys 005D,14.7,1247,1317,40.97825072342014,354
W01000417,Wrexham 020D,8.4,1805,1494,131.29448984972313,386
W01000416,Wrexham 007D,9.6,1892,1203,4648.3771251931985,243
W01000414,Wrexham 010D,8.6,80,1216,5642.691415313225,136
W01001398,Caerphilly 024A,15.2,1675,2791,1263.4104386401702,259
W01001855,Cardiff 042A,9.1,140,1787,13939.157566302649,132
W01001852,Cardiff 004B,13.2,1800,1823,536.3184372333851,415
W01001857,Cardiff 042C,7.7,66,1990,8724.243752740027,215
W01001854,Cardiff 004D,9.9,1741,1562,4876.678114267874,589
W01001856,Cardiff 042B,7.7,108,1851,12600.408441116406,109
W01001179,Rhondda Cynon Taf 023B,8.1,175,1777,519.2414458112963,342
W01001853,Cardiff 004C,11.7,1828,1651,4298.359802134862,559
W01000443,Powys 015B,8.7,1461,2374,18.696004851195863,714
W01001892,Cardiff 020D,14.0,1771,1392,5157.465728047426,387
W01001080,The Vale of Glamorgan 012F,11.2,442,1627,5383.8517538054275,231
W01001582,Monmouthshire 011D,15.6,1295,1782,210.29029974038238,262
W01001681,Newport 006B,7.8,119,1373,3179.712830013895,174
W01000072,Gwynedd 002B,51.7,1502,1951,1992.23935464107,350
W01000398,Wrexham 013A,17.7,1113,1248,126.87826599703138,308
W01000319,Flintshire 016G,17.5,1085,1458,1496.151872755259,312
W01000989,Bridgend 013A,13.0,1683,1391,64.35256508121562,384
W01000621,Pembrokeshire 016D,10.5,892,1447,388.8217116753997,351
W01000908,Neath Port Talbot 006E,12.8,1567,1625,391.17038178229257,468
W01000620,Pembrokeshire 016C,7.7,1056,886,4364.532019704433,279
W01000909,Neath Port Talbot 009A,8.5,809,1196,1986.7109634551496,349
W01000542,Ceredigion 011F,54.3,689,2149,9.619822295157991,580
W01000545,Ceredigion 007D,48.5,1055,2039,38.28791611585146,639
W01000822,Swansea 009F,9.8,1230,1259,1246.2878637893484,424
W01001920,Bridgend 017G,10.8,1874,1255,4052.308685824992,149
W01000346,Wrexham 018B,8.6,1290,1556,34.924853207879195,381
W01001779,Cardiff 026A,15.8,1815,1453,3084.9256900212317,317
W01001909,Monmouthshire 002F,9.6,653,2648,2934.3971631205677,607
W01000082,Gwynedd 015C,67.1,991,1162,10.183674220580835,235
W01001261,Rhondda Cynon Taf 018F,8.1,306,1284,2158.7088096839275,226
W01000258,Flintshire 006A,17.5,1372,2128,176.40573318632858,578
W01001260,Rhondda Cynon Taf 014C,8.8,100,1153,1957.5551782682517,188
W01001028,Bridgend 014D,10.5,1226,1894,2590.616878675968,462
W01000682,Carmarthenshire 005B,60.4,1215,1377,41.06341419774256,400
W01001811,Cardiff 009A,6.7,63,1567,1354.9502810203198,167
W01001362,Caerphilly 003C,9.5,482,2082,2034.395153410201,481
W01001152,Rhondda Cynon Taf 002B,14.3,1166,1912,214.66985527748776,424
W01000325,Flintshire 010D,12.1,1772,1575,445.4563452781628,396
W01000759,Swansea 012A,13.0,1539,1576,1450.796280953696,535
W01000117,Gwynedd 017E,39.3,747,1535,522.4109178776844,440
W01000656,Carmarthenshire 010A,58.5,636,2185,143.9100052031535,433
W01001528,Torfaen 010D,10.4,674,1393,1048.3931662527282,281
W01000735,Carmarthenshire 027D,42.4,1268,2367,105.56078329936541,564
W01001491,Torfaen 004A,8.1,375,1787,4697.686645636172,373
W01000505,Powys 021E,44.3,821,1401,49.68895635458265,364
W01000821,Swansea 009E,7.0,859,1451,3844.7270800211977,333
W01001263,Rhondda Cynon Taf 022E,9.3,839,1579,4089.614089614089,133
W01001262,Rhondda Cynon Taf 022D,10.1,604,1332,798.5132785804209,133
W01001272,Rhondda Cynon Taf 010D,14.4,560,1530,464.96079742296234,307
W01000921,Neath Port Talbot 011B,5.4,38,1603,687.068706870687,291
W01000920,Neath Port Talbot 011A,8.6,398,1233,57.938462116797936,260
W01000411,Wrexham 015C,26.5,454,1594,470.3868740224865,355
W01000410,Wrexham 014D,27.4,997,1721,342.24917967584764,329
W01001258,Rhondda Cynon Taf 019E,11.8,541,1301,2213.714480176961,259
W01000379,Wrexham 004C,10.8,332,1689,2750.8143322475566,311
W01000378,Wrexham 004B,12.1,270,1343,3155.545112781955,188
W01000371,Wrexham 008B,11.3,980,1130,6131.3076505697245,162
W01000370,Wrexham 020G,9.9,1778,1426,291.9678139268238,477
W01000373,Wrexham 005B,10.9,465,1791,2002.9076269290986,267
W01001603,Newport 012C,9.4,838,1444,3763.356789158197,242
W01000077,Gwynedd 001C,35.2,938,1537,5372.2474659210075,166
W01001132,The Vale of Glamorgan 008D,10.5,1835,1385,1087.8956876914617,290
W01001133,The Vale of Glamorgan 008E,7.9,1868,2271,847.0088020289422,663
W01001134,The Vale of Glamorgan 008F,7.7,1727,1225,394.7665237987818,334
W01001135,The Vale of Glamorgan 003C,14.4,1644,1773,60.76037861289505,408
W01001136,The Vale of Glamorgan 003D,12.0,1692,1269,615.9895150720839,439
W01001137,Rhondda Cynon Taf 005A,9.0,444,2264,590.9067181709037,469
W01001168,Rhondda Cynon Taf 004B,10.6,695,1480,788.7444041782138,342
W01001169,Rhondda Cynon Taf 004C,9.6,220,2523,733.1957804190521,282
W01001160,Rhondda Cynon Taf 029A,11.8,1602,1575,334.70046964319863,371
W01001161,Rhondda Cynon Taf 029B,13.2,1371,3086,399.32712215320913,378
W01001165,Rhondda Cynon Taf 019B,14.1,737,1351,685.5779965492742,176
W01001130,The Vale of Glamorgan 005F,13.2,1843,1286,5017.557549746392,233
W01001162,Rhondda Cynon Taf 025A,14.5,501,2429,3014.7697654213734,321
W01001131,The Vale of Glamorgan 008C,11.0,850,1825,5035.871964679912,352
W01001167,Rhondda Cynon Taf 016B,10.2,551,1484,1549.5457867808288,297
W01001164,Rhondda Cynon Taf 019A,11.8,813,1584,728.3763277693474,253
W01001056,Bridgend 007D,8.8,949,1171,1112.9062915795475,320
W01001057,Bridgend 006B,9.1,431,1642,1383.5524098415908,262
W01001461,Blaenau Gwent 007F,6.3,440,1381,4493.9798242759525,262
W01000200,Denbighshire 008A,23.2,1471,1324,581.4923799903378,325
W01000281,Flintshire 008D,9.4,1489,1220,5627.306273062731,283
W01001948,Cardiff 006E,14.1,1900,2019,879.7002309267572,141
W01000282,Flintshire 010C,13.9,1882,1724,1670.3807770564867,109
W01001941,Cardiff 032G,5.9,999,1526,6005.509641873277,46
W01001940,Cardiff 048A,10.3,1691,1457,707.8657144245251,155
W01001949,Cardiff 005F,8.1,1511,1487,11473.765432098764,161
W01000529,Ceredigion 007A,50.7,858,1643,35.76341726743984,402
W01000528,Ceredigion 008B,57.8,843,1515,129.59129557080047,377
W01001495,Torfaen 008C,11.5,1376,1810,1679.658500371195,571
W01000431,Powys 014A,15.8,1122,1264,1262.1068397403897,215
W01001542,Monmouthshire 009A,8.7,1505,2157,92.10942103869705,493
W01001634,Newport 019B,8.8,588,1592,6812.152332049635,266
W01001637,Newport 016B,11.8,1509,1817,1452.3219566781231,401
W01001538,Torfaen 009D,10.8,259,1336,4261.562998405104,226
W01000430,Powys 015A,9.7,1319,1349,19.265291200089113,396
W01001562,Monmouthshire 003B,10.9,959,1479,114.01568004687056,290
W01001565,Monmouthshire 006D,9.0,1348,1920,29.722558493066288,504
W01000088,Gwynedd 007B,81.6,1046,2105,133.81051668022786,469
W01001564,Monmouthshire 003D,10.8,1106,2822,95.39101188162321,742
W01001904,Powys 018G,9.4,1474,1681,33.63951091633147,523
W01001539,Torfaen 009E,10.2,449,1444,4255.820807544947,231
W01001563,Monmouthshire 003C,7.4,1488,1170,810.4176768026598,308
W01000580,Pembrokeshire 009B,12.8,1555,2448,165.63034932577352,634
W01000030,Isle of Anglesey 003D,40.6,353,2331,1708.3180652253573,453
W01000031,Isle of Anglesey 001E,61.1,864,1533,40.40792765056764,422
W01000242,Denbighshire 014A,37.8,1041,1955,770.0185119539958,446
W01000032,Isle of Anglesey 002D,52.3,1053,966,69.47391132367218,344
W01000033,Isle of Anglesey 003E,40.4,224,1576,2340.709936135452,330
W01000034,Isle of Anglesey 004B,50.4,1196,1206,574.1490121399668,304
W01000035,Isle of Anglesey 005E,54.8,1087,1834,59.42968243681141,476
W01000245,Denbighshire 010A,26.3,1556,1742,474.02650412256116,486
W01000036,Isle of Anglesey 003F,39.8,316,1106,3942.9590017825312,165
W01000037,Isle of Anglesey 003G,39.6,974,1186,3601.579107197085,289
W01000038,Isle of Anglesey 009D,59.3,764,2209,54.58256323077379,647
W01000039,Isle of Anglesey 004C,42.9,1409,964,77.83986305351894,362
W01000180,Conwy 008C,16.3,1769,1620,525.5985984037377,396
W01000108,Gwynedd 012D,79.1,1078,2302,597.4410215151437,496
W01000100,Gwynedd 010B,72.3,1395,1069,30.68787929242764,310
W01001929,Wrexham 012F,7.5,488,1267,5841.401567542646,153
W01000101,Gwynedd 013D,76.5,1338,1488,229.15928726533505,307
W01000182,Conwy 007D,14.8,202,1876,3661.9168455982826,758
W01000181,Conwy 008D,20.6,1841,1466,2664.485641584878,265
W01000183,Conwy 008E,15.7,1310,1503,1940.1058474248096,459
W01000103,Gwynedd 005D,59.3,1109,1257,78.76384006616914,235
W01000827,Swansea 031E,10.2,1826,1320,3042.8769017980635,375
W01000189,Conwy 015F,60.7,914,1415,7.9905265672302574,319
W01000188,Conwy 002D,24.7,1457,1686,2687.280841568377,493
W01001395,Caerphilly 023C,12.1,536,1452,2621.8851570964243,341
W01001922,Cardiff 032E,11.9,897,2007,16017.557861133282,25
W01000131,Conwy 012D,30.9,1632,2065,1209.2996017802766,459
W01001206,Rhondda Cynon Taf 006C,8.3,474,1402,1103.2420522505506,341
W01001287,Rhondda Cynon Taf 014F,13.8,403,1428,474.18230117881455,294
W01000276,Flintshire 008A,12.1,1573,1259,5588.104749223258,88
W01000277,Flintshire 008B,11.2,1645,1370,816.1077023887532,158
W01000444,Powys 002A,15.6,1545,2321,40.47629843291678,697
W01001586,Monmouthshire 007D,8.4,1834,2533,2561.6909385113267,511
W01000564,Pembrokeshire 011C,12.0,1397,1279,724.8101552759831,371
W01001601,Newport 006A,12.0,187,1484,4038.095238095238,160
W01001921,Bridgend 017H,13.2,1585,1586,5004.7333543704635,134
W01000342,Wrexham 009B,10.1,542,1613,5101.201771030993,325
W01001951,Cardiff 049E,10.6,1143,1406,3688.3525708289612,52
W01001436,Blaenau Gwent 008B,6.7,274,1398,5443.925233644861,297
W01001437,Blaenau Gwent 008C,6.7,963,1521,785.113302018273,292
W01001434,Caerphilly 013F,14.7,1576,1366,400.59825801343146,256
W01001435,Blaenau Gwent 008A,7.6,497,1422,591.0224438902743,224
W01000541,Ceredigion 008E,59.2,916,1744,25.477148721394812,489
W01001752,Cardiff 031B,11.2,1491,1527,3708.1107333657123,311
W01001279,Rhondda Cynon Taf 028F,12.0,149,1071,4969.83758700696,252
W01001546,Monmouthshire 002A,10.4,377,1518,2392.81210592686,220
W01001432,Caerphilly 013D,13.1,1292,2967,1268.8162846390694,419
W01001433,Caerphilly 013E,11.8,659,1372,2677.073170731708,306
W01001430,Caerphilly 015B,9.7,887,2581,406.37989671243236,385
W01001431,Caerphilly 015C,10.9,1083,1616,206.50965458193298,322
W01000504,Powys 021D,34.6,117,1175,3069.4879832810866,226
W01000974,Bridgend 006A,8.7,1174,2487,202.56566890653642,418
W01001545,Monmouthshire 001A,8.6,1622,1519,225.8736059479554,622
W01000845,Swansea 001A,35.2,1653,2096,576.4259391672625,386
W01000326,Flintshire 018B,10.7,1763,2169,699.8354467137741,419
W01000197,Denbighshire 012C,37.5,1581,1711,116.89314286104677,373
W01001438,Blaenau Gwent 004A,7.6,597,1437,802.7932960893854,350
W01001439,Blaenau Gwent 004B,8.1,1176,1731,1952.6226734348559,351
W01001367,Caerphilly 019B,11.7,987,1506,901.8504102042036,295
W01001543,Monmouthshire 009B,12.6,1613,1790,1500.544890602733,394
W01001157,Rhondda Cynon Taf 028A,11.4,1460,1351,6345.702207609206,290
W01001540,Torfaen 004E,8.8,1117,1238,3167.8607983623333,190
W01001541,Torfaen 004F,9.3,530,1180,162.4002202036884,249
W01000582,Pembrokeshire 004A,45.1,873,1672,17.864545714859627,482
W01001038,Bridgend 011C,9.5,924,2168,3185.42462533059,458
W01001039,Bridgend 009E,10.6,1439,1646,441.3815295505738,343
W01001757,Cardiff 025C,11.5,1285,1458,7971.569163477311,112
W01000368,Wrexham 008A,13.3,1869,2053,3650.426742532005,638
W01001900,Neath Port Talbot 020G,44.7,485,1516,251.2887665964959,282
W01000151,Conwy 005C,13.6,540,1613,1758.4214542679606,275
W01000653,Carmarthenshire 023A,33.2,1144,1511,4070.5818965517246,404
W01001632,Newport 017D,7.2,630,1452,1240.1776563033825,233
W01001635,Newport 016A,10.4,1663,1209,1316.8500163380895,237
W01000652,Carmarthenshire 020B,25.8,528,1924,3644.629664709225,404
W01000008,Isle of Anglesey 008A,73.2,1820,1493,790.9514727696547,426
W01001906,Powys 001F,42.1,1038,1913,10.229755058060412,569
W01001059,The Vale of Glamorgan 015A,13.8,1642,1556,2443.8511072718698,399
W01001058,Bridgend 006C,8.8,1381,2002,2755.298651252409,324
W01001051,Bridgend 008E,10.1,771,1956,2501.918649270913,299
W01001050,Bridgend 008D,8.9,479,1584,1862.6528692380055,246
W01001053,Bridgend 018E,8.4,1706,948,3618.3206106870225,406
W01001052,Bridgend 008F,8.5,466,1288,3408.3090764752583,297
W01001055,Bridgend 007C,8.5,188,1210,3155.9728742827333,225
W01001054,Bridgend 018F,10.2,1779,1204,700.4479609052303,483
W01001387,Caerphilly 007C,13.4,472,1351,1546.6514024041214,241
W01001306,Merthyr Tydfil 003D,7.9,1128,1517,1036.8395871779096,264
W01001348,Caerphilly 009A,9.4,394,1828,5668.217054263566,346
W01001349,Caerphilly 009B,14.0,1731,1865,4856.770833333333,287
W01001627,Newport 001E,11.2,1762,1540,540.5215682145239,398
W01000438,Powys 012A,11.3,612,1216,38.96037319936434,498
W01001368,Caerphilly 019C,13.4,453,1515,1873.8404452690168,268
W01000209,Denbighshire 016D,20.0,1058,1594,498.57683525695165,408
W01000288,Flintshire 004A,11.6,320,2197,2466.8762631933528,374
W01000208,Denbighshire 016C,20.8,625,1157,26.48372978813016,321
W01001226,Rhondda Cynon Taf 031F,14.4,1171,1751,2608.3718158796364,272
W01001227,Rhondda Cynon Taf 021C,20.4,1485,1257,3717.8349600709853,296
W01000240,Denbighshire 004E,9.4,1,1661,5022.679165406713,209
W01000243,Denbighshire 014B,38.4,1447,2120,681.7158659720883,453
W01001561,Monmouthshire 003A,7.9,1803,1552,404.33513964151723,613
W01001560,Monmouthshire 006C,10.5,1391,1391,33.152752917847444,373
W01001158,Rhondda Cynon Taf 028B,10.0,658,1531,376.5927092045063,222
W01001860,Cardiff 034C,19.7,1246,1711,9516.129032258064,209
W01001203,Rhondda Cynon Taf 009D,9.3,52,1401,769.4420035149384,267
W01001282,Rhondda Cynon Taf 015C,12.6,344,2001,801.2332826139183,366
W01001283,Rhondda Cynon Taf 015D,14.8,705,1511,89.75668868507341,359
W01001202,Rhondda Cynon Taf 009C,10.1,120,1781,202.40246383235032,398
W01000060,Gwynedd 015B,55.8,768,1305,7.913915999694359,326
W01000063,Gwynedd 005A,74.4,663,2118,119.93884138399682,358
W01000062,Gwynedd 001A,22.8,875,2501,4709.981167608286,103
W01001281,Rhondda Cynon Taf 017F,13.2,791,1713,862.4943356326468,374
W01000278,Flintshire 007D,9.0,225,1491,6130.756578947368,189
W01000065,Gwynedd 009B,79.3,679,1167,447.22924810301214,270
W01000279,Flintshire 008C,7.5,1468,1190,2207.3826748284177,362
W01000064,Gwynedd 002A,52.6,1016,1926,1754.5777534845588,269
W01000067,Gwynedd 016D,61.8,1222,1139,34.914552839298025,342
W01000066,Gwynedd 010A,67.6,904,1254,14.566405501315506,383
W01000109,Gwynedd 012E,78.3,1042,1996,1245.7092928914687,505
W01000271,Flintshire 006C,19.4,1352,1252,89.4068583344045,367
W01000270,Flintshire 006B,21.2,1559,1258,53.83937207371457,297
W01000068,Gwynedd 016E,67.1,1224,1533,642.1749329758712,389
W01000061,Gwynedd 011B,64.2,1615,1792,266.51992206671923,606
W01001587,Monmouthshire 008C,6.8,1004,1940,2338.4763741562197,381
W01000173,Conwy 003B,23.0,1599,1506,255.92658679581956,295
W01000172,Conwy 013E,37.2,516,1197,499.2492492492493,189
W01000175,Conwy 003D,22.0,1861,1606,1076.6239860561777,751
W01000174,Conwy 003C,23.7,1859,1702,4392.258064516129,523
W01000177,Conwy 011E,28.9,1197,1271,587.4468478461822,289
W01000176,Conwy 011D,28.1,759,1743,2393.9019365471772,268
W01000171,Conwy 013D,31.7,969,1509,193.64276823180668,402
W01000170,Conwy 013C,48.4,1408,1881,229.39304137855342,500
W01000115,Gwynedd 003E,69.0,1187,2178,77.99937686448236,417
W01001392,Caerphilly 009D,9.6,1519,1796,778.2977985786099,443
W01001868,Cardiff 022D,6.3,455,1546,5340.2417962003465,263
W01001522,Torfaen 007D,10.4,603,1676,4257.048514097029,331
W01001425,Caerphilly 024D,13.5,1393,1686,886.8083315800548,327
W01000297,Flintshire 003D,12.2,1208,1300,3926.3062518876472,143
W01001690,Newport 013D,7.2,317,2347,9313.492063492064,195
W01001611,Newport 011A,10.0,834,1268,9562.59426847662,208
W01001691,Newport 011D,9.4,161,1310,6994.127068873466,172
W01001610,Newport 015C,9.5,393,1258,3831.8611026500153,223
W01000549,Ceredigion 001E,56.5,1604,1701,65.02094737164002,382
W01000548,Ceredigion 001D,54.8,1266,1824,125.50919299790822,473
W01001241,Rhondda Cynon Taf 026D,17.1,1129,1794,1410.9319701140384,343
W01001466,Blaenau Gwent 009C,6.9,250,1561,1957.6122397792826,318
W01001878,Cardiff 011B,7.6,965,1626,4834.968777876895,316
W01001879,Cardiff 013A,7.9,180,1913,4277.728085867621,232
W01001411,Caerphilly 017A,9.4,844,1649,657.4697978549499,421
W01000502,Powys 021C,45.9,1198,2047,538.7550993551783,660
W01001776,Cardiff 021C,10.4,1747,1284,4274.300932090547,239
W01000846,Swansea 001B,32.6,820,2036,2056.7734114557024,300
W01001065,The Vale of Glamorgan 012B,12.2,814,1643,6211.7202268431,250
W01001064,The Vale of Glamorgan 013B,11.6,186,1500,5315.379163713678,300
W01001067,The Vale of Glamorgan 009A,9.3,195,1417,6783.1498324557215,288
W01001066,The Vale of Glamorgan 015D,11.6,733,1640,4742.625795257374,282
W01001188,Rhondda Cynon Taf 001C,12.2,176,1186,459.90383123933617,256
W01001109,The Vale of Glamorgan 011C,9.1,1363,1522,896.9825553983969,418
W01001189,Rhondda Cynon Taf 029C,13.9,657,1605,3428.7545396282844,258
W01001108,The Vale of Glamorgan 014A,9.1,1429,1734,174.65929350617958,291
W01001063,The Vale of Glamorgan 012A,12.0,690,1733,9475.123018042646,238
W01001062,The Vale of Glamorgan 013A,14.6,1419,1371,7200.630252100841,220
W01001773,Cardiff 012A,10.6,1592,2508,7574.750830564784,371
W01000363,Wrexham 006D,18.7,1411,1541,2404.0561622464897,388
W01001903,Powys 018F,8.3,1479,2170,347.3889796049051,733
W01000152,Conwy 005D,11.2,681,1486,2525.0637213254035,368
W01001620,Newport 003D,8.8,289,1641,739.7556687553531,214
W01001177,Rhondda Cynon Taf 009B,10.9,471,1219,556.4431460263843,273
W01000448,Powys 011B,8.5,1161,1384,96.18458544721662,389
W01000047,Gwynedd 011A,79.8,1234,1303,52.357283207496366,360
W01001084,The Vale of Glamorgan 002C,11.2,1786,1596,169.17711656896938,520
W01000254,Flintshire 003B,13.5,568,2215,359.7005472644896,424
W01000609,Pembrokeshire 014D,11.2,1538,2488,334.25585082086144,965
W01001026,Bridgend 012D,6.1,517,2035,3531.1469720631612,400
W01000605,Pembrokeshire 013F,9.1,631,1776,1520.0273878808625,331
W01000157,Conwy 004C,17.1,610,1484,3890.9281594126896,306
W01001897,Powys 020D,13.1,1404,1879,9.284885895719713,532
W01001004,Bridgend 009A,8.9,555,1100,1097.0379974070013,242
W01001866,Cardiff 016A,6.6,304,1601,3681.3060473672112,375
W01000078,Gwynedd 011C,73.8,800,1726,35.88141255516818,362
W01001257,Rhondda Cynon Taf 019D,13.4,1423,1215,856.1764498625888,320
W01001441,Blaenau Gwent 001B,7.8,235,1284,837.4641273154188,235
W01000957,Neath Port Talbot 017D,6.9,132,1701,3800.2680965147447,391
W01000954,Neath Port Talbot 005C,11.9,1023,1399,75.4389370605237,305
W01000956,Neath Port Talbot 004F,22.6,1646,1199,2015.4647839973104,428
W01001440,Blaenau Gwent 001A,8.5,595,1376,1146.6666666666667,304
W01000746,Swansea 025C,7.8,448,1755,6587.837837837838,240
W01000955,Neath Port Talbot 004E,26.6,1333,1248,79.80764311659078,301
W01000952,Neath Port Talbot 018D,9.0,607,1178,4513.409961685824,206
W01001576,Monmouthshire 004D,9.0,995,1052,4959.924563884961,210
W01000899,Neath Port Talbot 014B,16.2,1568,1897,3219.619823489477,394
W01000818,Swansea 009B,9.5,467,1511,2574.105621805792,339
W01001708,Cardiff 045D,9.6,91,1697,5488.357050452781,249
W01000898,Neath Port Talbot 014A,15.7,909,1548,89.34807076274856,329
W01000471,Powys 014E,16.8,1010,1789,7.486583573540095,532
W01000470,Powys 001D,19.7,1313,1966,46.957439744719665,555
W01000473,Powys 004C,51.6,1240,2226,439.89486789320785,555
W01001211,Rhondda Cynon Taf 008C,9.1,429,1629,3178.536585365854,305
W01000439,Powys 007B,13.9,1432,1984,41.73599877148069,485
W01001317,Merthyr Tydfil 005C,8.6,457,1665,290.0545267668938,356
W01000321,Flintshire 014D,12.9,1880,1652,1331.1845286059634,444
W01000450,Powys 014C,13.8,1307,1354,6.098934263037938,407
W01000451,Powys 012B,11.6,1288,1141,22.052996772260776,318
W01000831,Swansea 013D,7.3,147,1907,5849.693251533741,266
W01000830,Swansea 011A,5.4,31,1854,4710.365853658535,140
W01000833,Swansea 011C,5.6,48,1855,4837.027379400261,227
W01000648,Carmarthenshire 006D,52.6,943,1444,18.893129521299905,353
W01000649,Carmarthenshire 006E,56.0,1440,1521,35.27005593121296,460
W01000303,Flintshire 018A,11.5,1866,1661,186.41975308641972,349
W01000382,Wrexham 012B,14.3,333,1302,2813.9183055975786,156
W01000302,Flintshire 013F,10.3,1847,2069,640.2995698325751,581
W01000383,Wrexham 020A,11.1,1384,3455,92.53431536658856,337
W01000305,Flintshire 003F,15.7,983,1865,1370.4166360496733,398
W01000384,Wrexham 020B,8.9,1752,1093,1227.400336889388,354
W01000304,Flintshire 003E,12.7,152,2046,2173.820654483638,357
W01000385,Wrexham 014C,17.9,1737,1620,3815.3556288271307,433
W01000381,Wrexham 012A,11.4,509,1133,5099.0099009901005,243
W01000300,Flintshire 019B,19.5,1640,1635,91.84206535110631,470
W01000629,Carmarthenshire 024B,25.8,583,1688,8546.835443037975,302
W01000628,Carmarthenshire 024A,26.1,1070,1551,1179.916317991632,384
W01000773,Swansea 005A,12.0,762,2895,1620.396283443412,381
W01000772,Swansea 018A,11.7,1718,1493,177.1349927627364,386
W01000775,Swansea 030A,8.5,1513,1753,33.50810559736369,500
W01001516,Torfaen 006C,7.2,504,1376,2169.6625670135604,297
W01000770,Swansea 020C,6.8,1808,1521,4018.494055482167,373
W01001597,Monmouthshire 006F,10.5,1842,1499,1012.0856120451016,408
W01001517,Torfaen 006D,9.3,1658,2554,2608.251633986928,376
W01001746,Cardiff 041D,6.9,128,1571,5475.775531544092,301
W01001747,Cardiff 027A,12.9,1510,1662,3299.583085169744,302
W01000535,Ceredigion 008C,56.9,714,2064,27.84951546700561,563
W01000534,Ceredigion 011B,54.0,1472,1489,44.41554335213562,380
W01000532,Ceredigion 007B,50.8,1111,1897,28.434342450209922,623
W01001950,Cardiff 049D,11.8,1725,1680,22672.06477732793,177
W01001953,Cardiff 005G,9.4,1191,1635,3600.528517947589,214
W01000567,Pembrokeshire 002D,28.5,927,2095,570.3163281973104,497
W01000566,Pembrokeshire 002C,35.0,936,1473,877.4124374553253,431
W01001505,Torfaen 013B,8.0,1383,2215,402.1934523269115,449
W01001250,Rhondda Cynon Taf 024B,12.1,805,1495,114.76429180068628,358
W01001311,Merthyr Tydfil 002F,7.4,688,1197,7937.665782493369,168
W01000256,Flintshire 015B,10.1,1455,1587,633.5329341317365,221
W01001172,Rhondda Cynon Taf 020A,11.3,853,1468,1722.6003285613706,313
W01000442,Powys 004A,57.8,1097,2044,9.22067687166433,494
W01001003,Bridgend 015D,9.1,1459,1408,206.74566465500786,522
W01001275,Rhondda Cynon Taf 013C,11.1,198,1835,910.7151719688322,292
W01001502,Torfaen 011E,12.7,1597,1258,595.756772115931,253
W01000119,Gwynedd 004D,64.3,1564,2431,412.0897748847302,481
W01000751,Swansea 002B,26.5,1714,1408,335.08650848425714,414
W01001496,Torfaen 004B,9.0,208,1415,211.81683457329757,289
W01001828,Cardiff 024D,12.3,1656,1534,2570.3753351206437,453
W01001460,Blaenau Gwent 007E,9.9,532,1819,325.6879912624662,332
W01001712,Cardiff 040D,21.1,1062,1476,8531.791907514451,213
W01001793,Cardiff 002A,10.3,1854,1445,5883.55048859935,156
W01001715,Cardiff 035B,22.2,1473,1582,7683.341427877611,228
W01001794,Cardiff 001C,12.7,1824,1418,4819.850441876274,230
W01001795,Cardiff 002B,12.7,1883,1533,3430.2976057283513,220
W01001792,Cardiff 005B,7.8,580,1770,3870.544500328013,314
W01000879,Swansea 029A,10.0,1893,1739,2349.365036476628,527
W01001924,Carmarthenshire 026H,16.6,68,1422,4112.203585887796,229
W01000133,Conwy 002A,19.4,1694,1947,767.8353117482353,929
W01001668,Newport 010D,8.0,183,1202,1936.2113402061852,228
W01000231,Denbighshire 017A,14.9,782,1361,3885.2412218098766,277
W01000005,Isle of Anglesey 005A,39.5,1065,1785,208.5962698078811,634
W01001025,Bridgend 003D,9.2,655,1244,293.05755141463874,222
W01000602,Pembrokeshire 013C,9.0,770,1246,1806.3206726587412,361
W01000756,Swansea 017B,9.7,229,1613,619.3840718838799,258
W01001891,Cardiff 020C,17.6,1322,1735,5095.447870778267,410
