LSOA11CD,LSOA11NM,welsh_speakers_percent,wimd_2019,population_count,pop_density_persqkm,over_65_count
W01000742,Swansea 016A,4.9,23,1818,5326.692059771462,289
W01000991,Bridgend 001A,8.0,5,1154,668.5591796535542,154
W01000910,Neath Port Talbot 009B,8.7,1549,1394,1058.4662110858012,410
W01000992,Bridgend 001B,8.0,46,1489,2501.2598689736265,249
W01000913,Neath Port Talbot 010B,10.5,692,1131,4325.047801147228,238
W01000554,Pembrokeshire 009A,12.0,1450,1906,92.69075523999416,507
W01000557,Pembrokeshire 014A,12.1,1392,1466,65.53624834035935,354
W01000990,Bridgend 017B,9.3,408,1518,3371.085942704863,275
W01000555,Pembrokeshire 008A,16.5,1402,1510,33.330537394214176,445
W01000937,Neath Port Talbot 013E,8.6,278,2186,1546.2969512626441,345
W01000934,Neath Port Talbot 008A,8.2,82,1224,5513.513513513513,222
W01000936,Neath Port Talbot 012A,6.9,221,1479,1184.0525178128253,191
W01000935,Neath Port Talbot 008B,8.5,109,1636,7094.53599306158,332
W01000932,Neath Port Talbot 019A,6.4,500,1102,167.6453585663431,264
W01001191,Rhondda Cynon Taf 031A,16.8,1649,3246,456.57861422904887,398
W01001111,The Vale of Glamorgan 011E,8.5,815,1536,7062.068965517243,282
W01001192,Rhondda Cynon Taf 031B,10.9,257,1398,4994.640943193997,246
W01001110,The Vale of Glamorgan 011D,11.1,1686,1513,73.63641230550593,346
W01001193,Rhondda Cynon Taf 030A,16.7,1744,1172,3419.900787861103,313
W01001113,The Vale of Glamorgan 003A,12.6,1600,2312,52.65663184314154,557
W01001194,Rhondda Cynon Taf 030B,18.2,1812,2216,718.1980230108572,390
W01001112,The Vale of Glamorgan 011F,12.4,1873,1421,3431.538275778797,251
W01001190,Rhondda Cynon Taf 029D,13.6,1609,2945,279.7010190804532,379
W01001118,The Vale of Glamorgan 014C,10.8,1493,2555,616.4053075995175,422
W01000577,Pembrokeshire 007A,22.8,1289,1616,35.392803171335345,452
W01000630,Carmarthenshire 024C,25.1,810,1665,4662.559507140856,296
W01000572,Pembrokeshire 005D,16.1,1205,1853,1260.7157436385905,386
W01000211,Denbighshire 012D,50.0,1123,1906,17.449514507998764,491
W01000290,Flintshire 004B,10.0,223,1136,1699.3268511593121,318
W01000155,Conwy 004A,18.1,1596,1442,3150.5352851212588,583
W01001693,Newport 013E,7.2,112,2233,7264.150943396226,155
W01001612,Newport 011B,9.7,772,1690,5575.7175849554615,267
W01001615,Newport 005B,13.0,817,1585,4887.449892075239,237
W01001694,Cardiff 036A,7.6,184,2044,11633.46613545817,110
W01001614,Newport 005A,8.7,226,1513,4352.704257767549,359
W01001695,Cardiff 036B,7.8,361,4478,12890.040299366723,107
W01001602,Newport 012B,9.9,1761,1579,4031.146285422517,435
W01000198,Denbighshire 011B,26.5,170,1434,6944.309927360775,236
W01001571,Monmouthshire 001D,11.3,1261,1296,71.21779125933496,346
W01000958,Neath Port Talbot 016B,7.3,76,1654,5403.462920614179,299
W01000458,Powys 002C,11.1,1399,1727,91.49474978013711,438
W01000459,Powys 014D,13.9,1027,1209,10.244625384808977,352
W01000731,Carmarthenshire 017C,47.1,1296,2553,226.89904636632681,546
W01001523,Torfaen 004C,9.6,661,1493,413.6421565911232,227
W01000960,Neath Port Talbot 017F,7.0,348,1770,4995.766299745977,304
W01000968,Neath Port Talbot 019D,9.1,751,2050,4565.7015590200435,408
W01000718,Carmarthenshire 010D,71.8,683,1345,926.8191841234841,279
W01000137,Conwy 015C,54.3,1178,1524,28.461562883432716,402
W01001453,Blaenau Gwent 008D,7.8,160,1555,1444.3618799925694,281
W01001452,Blaenau Gwent 007C,9.3,1156,1470,580.2707930367504,235
W01001450,Blaenau Gwent 007A,6.5,687,1258,584.844258484426,294
W01001553,Monmouthshire 004B,11.8,1212,3093,547.2495974804932,587
W01001552,Monmouthshire 004A,8.5,1817,1509,329.49756534270807,487
W01001740,Cardiff 039D,9.0,30,1514,7558.662006989515,197
W01001743,Cardiff 043B,10.0,1403,1430,3367.875647668393,312
W01001506,Torfaen 010A,8.1,206,1589,1336.0800470865215,356
W01000320,Flintshire 002B,18.2,464,1926,163.43363372537036,379
W01000194,Denbighshire 011A,31.3,602,2043,1912.9213483146066,363
W01000679,Carmarthenshire 002D,42.0,1067,1184,231.86589378035407,261
W01000678,Carmarthenshire 002C,38.8,763,1367,12.327398386887324,468
W01000790,Swansea 016F,4.9,363,2313,5732.342007434944,300
W01000671,Carmarthenshire 018B,45.3,990,2073,192.88386028248686,543
W01000711,Carmarthenshire 021E,26.8,404,1939,192.26383476614015,492
W01000670,Carmarthenshire 018A,43.3,318,1592,1747.5301866081231,369
W01001657,Newport 020C,9.7,1563,1446,163.97532432187245,284
W01001490,Torfaen 001D,9.9,898,1436,7035.76678098971,275
W01000769,Swansea 020B,8.6,1797,1370,1396.2494904198938,374
W01000768,Swansea 020A,7.1,1501,1371,1305.2170601675552,336
W01000583,Pembrokeshire 004B,51.3,1317,1405,46.782340582098854,315
W01001849,Cardiff 004A,13.9,1794,1521,1556.8065506653022,368
W01001848,Cardiff 012B,14.5,1810,1482,5183.630640083946,327
W01000464,Powys 011D,8.0,1154,1185,9.069826180799524,353
W01001678,Newport 005D,9.7,421,1560,4645.622394282311,289
W01001679,Newport 007D,10.5,1386,1172,3536.511768255884,242
W01000575,Pembrokeshire 008C,11.4,1059,2651,105.95523581135092,648
W01000574,Pembrokeshire 015A,11.2,982,1803,18.81382142834783,505
W01000633,Carmarthenshire 021B,28.9,443,1399,978.7323352455576,402
W01000407,Wrexham 016C,12.4,1554,1321,92.52190478858641,313
W01000486,Powys 011G,11.1,1438,1062,257.3173095561155,289
W01000487,Powys 012E,11.8,1068,2136,15.556007087596484,682
W01000406,Wrexham 013C,19.6,341,2252,1465.859532643364,370
W01000314,Flintshire 016B,16.7,694,1139,3240.3982930298716,333
W01000395,Wrexham 016B,8.1,1357,1111,362.6807691052134,283
W01000317,Flintshire 016E,32.5,1909,1426,1644.3726937269373,289
W01000396,Wrexham 020H,9.6,1901,1215,1690.552386252957,325
W01000397,Wrexham 020I,11.4,1908,985,407.2098887924264,304
W01000316,Flintshire 016D,28.6,1888,1247,1932.4345265767859,383
W01000028,Isle of Anglesey 001D,69.9,727,2046,31.9988489172628,416
W01000029,Isle of Anglesey 003C,45.3,366,1499,3030.1192642005262,277
W01000315,Flintshire 016C,17.7,1149,1980,854.1109481494262,513
W01000394,Wrexham 016A,11.4,1441,1221,35.252643948296125,249
W01001271,Rhondda Cynon Taf 010C,12.6,410,1575,210.8941913714148,268
W01001581,Monmouthshire 005E,11.1,1463,1923,51.63317088887994,606
W01001680,Newport 007E,11.0,956,1281,9282.608695652174,152
W01000071,Gwynedd 003B,73.7,957,2302,874.6865263317882,346
W01001354,Caerphilly 014D,10.2,1275,1705,826.6666666666665,335
W01001355,Caerphilly 015A,7.9,654,1658,451.5127583671469,424
W01001356,Caerphilly 006A,11.8,1448,1212,2730.9598918431725,263
W01001357,Caerphilly 006B,10.0,1558,1699,311.26907645237526,334
W01001068,The Vale of Glamorgan 009B,10.3,925,1753,3941.983359568249,199
W01001069,The Vale of Glamorgan 012C,12.0,265,1450,6207.191780821918,209
W01001060,The Vale of Glamorgan 015B,14.5,1844,1518,1642.5016230253188,456
W01001061,The Vale of Glamorgan 015C,11.7,801,2602,1645.7938013915243,412
W01001352,Caerphilly 007A,9.6,367,1908,6249.590566655748,327
W01001353,Caerphilly 007B,8.6,420,1551,4649.2805755395675,481
W01000739,Swansea 014B,7.9,460,2221,2977.211796246649,224
W01001249,Rhondda Cynon Taf 024A,11.2,637,1374,3196.0921144452195,335
W01001248,Rhondda Cynon Taf 016D,9.6,611,2135,725.6721389483702,412
W01000737,Swansea 028B,8.4,1825,1439,464.6732110565745,521
W01000546,Ceredigion 009F,49.3,894,1114,57.705855538518925,413
W01001412,Caerphilly 017B,7.9,922,1715,1649.5142829662402,390
W01000345,Wrexham 018A,8.5,1444,1599,79.06174133608904,497
W01000239,Denbighshire 004D,12.9,2,1725,5817.875210792579,248
W01001246,Rhondda Cynon Taf 025D,13.9,1193,1350,5257.009345794393,466
W01000080,Gwynedd 014C,49.3,1355,1738,115.02392471161293,602
W01001397,Caerphilly 019E,15.4,1374,1656,3637.162310564463,271
W01001361,Caerphilly 002B,9.9,137,1197,236.20648827847504,209
W01001151,Rhondda Cynon Taf 003C,11.9,1366,1546,1999.4826694257636,500
W01000349,Wrexham 011A,13.1,1073,2101,1213.7492778740614,272
W01001650,Newport 004E,13.3,760,1458,1480.9547993905535,200
W01001653,Newport 002C,8.8,1627,1372,3391.003460207612,427
W01001823,Cardiff 029B,16.0,1699,1318,7653.890824622532,179
W01001822,Cardiff 029A,13.2,1344,1877,2930.523028883685,367
W01001824,Cardiff 029C,12.8,856,1516,10120.160213618155,214
W01001825,Cardiff 029D,11.4,884,2334,3585.2534562211986,194
W01001820,Cardiff 006A,23.4,1623,1176,514.7284107322623,237
W01000234,Denbighshire 017G,12.3,192,1638,2545.850170966739,229
W01000460,Powys 006B,36.0,1199,1711,27.35927800928073,425
W01001775,Cardiff 021B,8.7,1486,1662,6707.021791767554,260
W01000667,Carmarthenshire 023C,32.5,1043,1741,1457.0256925265714,342
W01000666,Carmarthenshire 017B,44.5,1173,1548,1349.7253465864505,316
W01000367,Wrexham 014B,10.7,1674,1287,723.2775092727887,191
W01001905,Powys 018H,11.4,1434,2090,15.754453648362103,598
W01000664,Carmarthenshire 016C,60.2,1077,2147,236.53971156918263,456
W01000156,Conwy 004B,15.8,1482,1522,3966.640604639041,649
W01000484,Powys 011E,6.8,1219,1551,10.100746973357733,478
W01001622,Newport 003F,8.6,644,1254,783.0648182840015,243
W01000405,Wrexham 015B,26.6,458,2358,3225.7181942544457,398
W01000485,Powys 011F,8.0,1380,1568,75.31400850164509,570
W01000404,Wrexham 018D,9.8,1495,2116,82.11862959685806,434
W01000483,Powys 009C,15.3,284,1788,596.5766908011078,263
W01000402,Wrexham 011D,10.6,717,2452,3078.081847853377,305
W01000873,Swansea 026C,9.4,1298,1995,6067.518248175182,152
W01000875,Swansea 026D,10.4,1072,2209,9787.328311918476,176
W01000872,Swansea 024E,15.9,1790,1399,6379.388964888281,307
W01000877,Swansea 007E,17.3,1530,1582,1306.8979760429575,364
W01000874,Swansea 024F,10.3,1593,2106,9236.842105263158,212
W01000876,Swansea 026E,9.2,1346,2116,17721.943048576217,131
W01001394,Caerphilly 023B,11.3,1833,1361,2350.1985840096704,254
W01000606,Pembrokeshire 015B,10.2,85,1690,1229.001527161661,254
W01001816,Cardiff 009B,9.0,582,2868,5442.125237191651,307
W01001086,The Vale of Glamorgan 006A,11.9,1832,1547,268.97798796814686,495
W01001667,Newport 010C,8.0,69,1276,6722.8661749209705,168
W01001666,Newport 010B,8.2,102,1423,3372.0379146919427,233
W01001664,Newport 010A,6.2,146,1450,3471.3909504429016,299
W01000692,Carmarthenshire 019C,38.4,1188,1550,699.8374571067366,280
W01000613,Pembrokeshire 001E,46.1,1031,2195,27.936942692994,655
W01000693,Carmarthenshire 008C,50.5,939,1112,2531.299795128613,350
W01000612,Pembrokeshire 003C,29.0,1207,1778,38.98866302655527,555
W01000610,Pembrokeshire 016A,12.4,1400,1709,83.14359662949774,621
W01001508,Torfaen 013C,8.5,1534,1204,1194.5629526738765,409
W01001253,Rhondda Cynon Taf 023C,7.4,577,1468,510.8752392552635,277
W01001604,Newport 012D,9.3,1657,1471,880.5219681551538,359
