area_code,area_name,welsh_speakers_percent,population_count,pop_density_persqkm,wimd_2019,over_65_count
W01000624,Carmarthenshire 005A,55.7,2295.0,36.564148971424196,1398.0,598.0
W01001477,Blaenau Gwent 009E,6.8,1399.0,646.6373931130113,757.0,299.0
W01001770,Cardiff 018B,11.4,1122.0,1135.857461024499,1527.0,221.0
W01000361,Wrexham 019E,10.1,1992.0,146.9514219320571,944.0,478.0
W01000150,Conwy 005B,12.6,1475.0,617.9822356292945,781.0,404.0
W01001621,Newport 003E,7.7,1356.0,4375.605033881897,169.0,273.0
W01001391,Caerphilly 006F,9.7,1636.0,3589.293549802545,947.0,334.0
W01001175,Rhondda Cynon Taf 009A,13.0,1380.0,2363.0136986301372,680.0,335.0
W01000686,Carmarthenshire 001B,58.2,1298.0,25.193903774039022,1108.0,352.0
W01000753,Swansea 002D,20.1,1503.0,2436.770428015564,697.0,255.0
W01001819,Cardiff 014D,16.0,2363.0,261.99081978845595,1823.0,620.0
W01001814,Cardiff 017E,9.0,1377.0,5186.440677966101,984.0,286.0
W01001083,The Vale of Glamorgan 002B,13.4,1538.0,126.4646630761008,1726.0,511.0
W01000742,Swansea 016A,4.9,1818.0,5326.692059771462,23.0,289.0
W01000991,Bridgend 001A,8.0,1154.0,668.5591796535542,5.0,154.0
W01000910,Neath Port Talbot 009B,8.7,1394.0,1058.4662110858012,1549.0,410.0
W01000992,Bridgend 001B,8.0,1489.0,2501.2598689736265,46.0,249.0
W01000913,Neath Port Talbot 010B,10.5,1131.0,4325.047801147228,692.0,238.0
W01000554,Pembrokeshire 009A,12.0,1906.0,92.69075523999415,1450.0,507.0
W01000557,Pembrokeshire 014A,12.1,1466.0,65.53624834035934,1392.0,354.0
W01000990,Bridgend 017B,9.3,1518.0,3371.085942704863,408.0,275.0
W01000555,Pembrokeshire 008A,16.5,1510.0,33.33053739421417,1402.0,445.0
W01000937,Neath Port Talbot 013E,8.6,2186.0,1546.2969512626441,278.0,345.0
W01000934,Neath Port Talbot 008A,8.2,1224.0,5513.513513513513,82.0,222.0
W01000936,Neath Port Talbot 012A,6.9,1479.0,1184.0525178128253,221.0,191.0
W01000935,Neath Port Talbot 008B,8.5,1636.0,7094.535993061579,109.0,332.0
W01000932,Neath Port Talbot 019A,6.4,1102.0,167.64535856634313,500.0,264.0
W01001191,Rhondda Cynon Taf 031A,16.8,3246.0,456.5786142290488,1649.0,398.0
W01001111,The Vale of Glamorgan 011E,8.5,1536.0,7062.068965517242,815.0,282.0
W01001192,Rhondda Cynon Taf 031B,10.9,1398.0,4994.640943193998,257.0,246.0
W01001110,The Vale of Glamorgan 011D,11.1,1513.0,73.63641230550594,1686.0,346.0
W01001193,Rhondda Cynon Taf 030A,16.7,1172.0,3419.900787861103,1744.0,313.0
W01001113,The Vale of Glamorgan 003A,12.6,2312.0,52.65663184314154,1600.0,557.0
W01001194,Rhondda Cynon Taf 030B,18.2,2216.0,718.1980230108572,1812.0,390.0
W01001112,The Vale of Glamorgan 011F,12.4,1421.0,3431.5382757787975,1873.0,251.0
W01001190,Rhondda Cynon Taf 029D,13.6,2945.0,279.7010190804532,1609.0,379.0
W01001118,The Vale of Glamorgan 014C,10.8,2555.0,616.4053075995175,1493.0,422.0
W01000577,Pembrokeshire 007A,22.8,1616.0,35.39280317133534,1289.0,452.0
W01000630,Carmarthenshire 024C,25.1,1665.0,4662.559507140856,810.0,296.0
W01000572,Pembrokeshire 005D,16.1,1853.0,1260.7157436385903,1205.0,386.0
W01000211,Denbighshire 012D,50.0,1906.0,17.449514507998764,1123.0,491.0
W01000290,Flintshire 004B,10.0,1136.0,1699.326851159312,223.0,318.0
W01000155,Conwy 004A,18.1,1442.0,3150.5352851212583,1596.0,583.0
W01001693,Newport 013E,7.2,2233.0,7264.1509433962265,112.0,155.0
W01001612,Newport 011B,9.7,1690.0,5575.717584955461,772.0,267.0
W01001615,Newport 005B,13.0,1585.0,4887.449892075239,817.0,237.0
W01001694,Cardiff 036A,7.6,2044.0,11633.466135458168,184.0,110.0
W01001614,Newport 005A,8.7,1513.0,4352.704257767549,226.0,359.0
W01001695,Cardiff 036B,7.8,4478.0,12890.040299366723,361.0,107.0
W01001602,Newport 012B,9.9,1579.0,4031.1462854225174,1761.0,435.0
W01000198,Denbighshire 011B,26.5,1434.0,6944.309927360775,170.0,236.0
W01001571,Monmouthshire 001D,11.3,1296.0,71.21779125933497,1261.0,346.0
W01000958,Neath Port Talbot 016B,7.3,1654.0,5403.462920614179,76.0,299.0
W01000458,Powys 002C,11.1,1727.0,91.49474978013711,1399.0,438.0
W01000459,Powys 014D,13.9,1209.0,10.244625384808975,1027.0,352.0
W01000731,Carmarthenshire 017C,47.1,2553.0,226.89904636632684,1296.0,546.0
W01001523,Torfaen 004C,9.6,1493.0,413.6421565911232,661.0,227.0
W01000960,Neath Port Talbot 017F,7.0,1770.0,4995.766299745978,348.0,304.0
W01000968,Neath Port Talbot 019D,9.1,2050.0,4565.701559020044,751.0,408.0
W01000718,Carmarthenshire 010D,71.8,1345.0,926.819184123484,683.0,279.0
W01000137,Conwy 015C,54.3,1524.0,28.461562883432716,1178.0,402.0
W01001453,Blaenau Gwent 008D,7.8,1555.0,1444.3618799925691,160.0,281.0
W01001452,Blaenau Gwent 007C,9.3,1470.0,580.2707930367504,1156.0,235.0
W01001450,Blaenau Gwent 007A,6.5,1258.0,584.844258484426,687.0,294.0
W01001553,Monmouthshire 004B,11.8,3093.0,547.2495974804932,1212.0,587.0
W01001552,Monmouthshire 004A,8.5,1509.0,329.49756534270807,1817.0,487.0
W01001740,Cardiff 039D,9.0,1514.0,7558.662006989515,30.0,197.0
W01001743,Cardiff 043B,10.0,1430.0,3367.8756476683934,1403.0,312.0
W01001506,Torfaen 010A,8.1,1589.0,1336.0800470865215,206.0,356.0
W01000320,Flintshire 002B,18.2,1926.0,163.43363372537038,464.0,379.0
W01000194,Denbighshire 011A,31.3,2043.0,1912.9213483146066,602.0,363.0
W01000679,Carmarthenshire 002D,42.0,1184.0,231.86589378035407,1067.0,261.0
W01000678,Carmarthenshire 002C,38.8,1367.0,12.327398386887326,763.0,468.0
W01000790,Swansea 016F,4.9,2313.0,5732.342007434944,363.0,300.0
W01000671,Carmarthenshire 018B,45.3,2073.0,192.88386028248692,990.0,543.0
W01000711,Carmarthenshire 021E,26.8,1939.0,192.26383476614015,404.0,492.0
W01000670,Carmarthenshire 018A,43.3,1592.0,1747.5301866081231,318.0,369.0
W01001657,Newport 020C,9.7,1446.0,163.97532432187245,1563.0,284.0
W01001490,Torfaen 001D,9.9,1436.0,7035.766780989711,898.0,275.0
W01000769,Swansea 020B,8.6,1370.0,1396.2494904198938,1797.0,374.0
W01000768,Swansea 020A,7.1,1371.0,1305.2170601675552,1501.0,336.0
W01000583,Pembrokeshire 004B,51.3,1405.0,46.78234058209885,1317.0,315.0
W01001849,Cardiff 004A,13.9,1521.0,1556.806550665302,1794.0,368.0
W01001848,Cardiff 012B,14.5,1482.0,5183.630640083946,1810.0,327.0
W01000464,Powys 011D,8.0,1185.0,9.069826180799524,1154.0,353.0
W01001678,Newport 005D,9.7,1560.0,4645.622394282311,421.0,289.0
W01001679,Newport 007D,10.5,1172.0,3536.511768255884,1386.0,242.0
W01000575,Pembrokeshire 008C,11.4,2651.0,105.95523581135092,1059.0,648.0
W01000574,Pembrokeshire 015A,11.2,1803.0,18.81382142834783,982.0,505.0
W01000633,Carmarthenshire 021B,28.9,1399.0,978.7323352455576,443.0,402.0
W01000407,Wrexham 016C,12.4,1321.0,92.5219047885864,1554.0,313.0
W01000486,Powys 011G,11.1,1062.0,257.3173095561155,1438.0,289.0
W01000487,Powys 012E,11.8,2136.0,15.556007087596486,1068.0,682.0
W01000406,Wrexham 013C,19.6,2252.0,1465.859532643364,341.0,370.0
W01000314,Flintshire 016B,16.7,1139.0,3240.398293029872,694.0,333.0
W01000395,Wrexham 016B,8.1,1111.0,362.68076910521336,1357.0,283.0
W01000317,Flintshire 016E,32.5,1426.0,1644.3726937269373,1909.0,289.0
W01000396,Wrexham 020H,9.6,1215.0,1690.5523862529567,1901.0,325.0
W01000397,Wrexham 020I,11.4,985.0,407.20988879242634,1908.0,304.0
W01000316,Flintshire 016D,28.6,1247.0,1932.434526576786,1888.0,383.0
W01000028,Isle of Anglesey 001D,69.9,2046.0,31.9988489172628,727.0,416.0
W01000029,Isle of Anglesey 003C,45.3,1499.0,3030.119264200526,366.0,277.0
W01000315,Flintshire 016C,17.7,1980.0,854.1109481494262,1149.0,513.0
W01000394,Wrexham 016A,11.4,1221.0,35.252643948296125,1441.0,249.0
W01001271,Rhondda Cynon Taf 010C,12.6,1575.0,210.8941913714148,410.0,268.0
W01001581,Monmouthshire 005E,11.1,1923.0,51.633170888879945,1463.0,606.0
W01001680,Newport 007E,11.0,1281.0,9282.608695652174,956.0,152.0
W01000071,Gwynedd 003B,73.7,2302.0,874.6865263317881,957.0,346.0
W01001354,Caerphilly 014D,10.2,1705.0,826.6666666666666,1275.0,335.0
W01001355,Caerphilly 015A,7.9,1658.0,451.5127583671469,654.0,424.0
W01001356,Caerphilly 006A,11.8,1212.0,2730.9598918431725,1448.0,263.0
W01001357,Caerphilly 006B,10.0,1699.0,311.26907645237526,1558.0,334.0
W01001068,The Vale of Glamorgan 009B,10.3,1753.0,3941.9833595682485,925.0,199.0
W01001069,The Vale of Glamorgan 012C,12.0,1450.0,6207.191780821918,265.0,209.0
W01001060,The Vale of Glamorgan 015B,14.5,1518.0,1642.501623025319,1844.0,456.0
W01001061,The Vale of Glamorgan 015C,11.7,2602.0,1645.7938013915243,801.0,412.0
W01001352,Caerphilly 007A,9.6,1908.0,6249.590566655748,367.0,327.0
W01001353,Caerphilly 007B,8.6,1551.0,4649.280575539568,420.0,481.0
W01000739,Swansea 014B,7.9,2221.0,2977.2117962466486,460.0,224.0
W01001249,Rhondda Cynon Taf 024A,11.2,1374.0,3196.09211444522,637.0,335.0
W01001248,Rhondda Cynon Taf 016D,9.6,2135.0,725.6721389483703,611.0,412.0
W01000737,Swansea 028B,8.4,1439.0,464.67321105657453,1825.0,521.0
W01000546,Ceredigion 009F,49.3,1114.0,57.70585553851892,894.0,413.0
W01001412,Caerphilly 017B,7.9,1715.0,1649.5142829662402,922.0,390.0
W01000345,Wrexham 018A,8.5,1599.0,79.06174133608904,1444.0,497.0
W01000239,Denbighshire 004D,12.9,1725.0,5817.87521079258,2.0,248.0
W01001246,Rhondda Cynon Taf 025D,13.9,1350.0,5257.009345794393,1193.0,466.0
W01000080,Gwynedd 014C,49.3,1738.0,115.02392471161292,1355.0,602.0
W01001397,Caerphilly 019E,15.4,1656.0,3637.1623105644626,1374.0,271.0
W01001361,Caerphilly 002B,9.9,1197.0,236.20648827847504,137.0,209.0
W01001151,Rhondda Cynon Taf 003C,11.9,1546.0,1999.4826694257633,1366.0,500.0
W01000349,Wrexham 011A,13.1,2101.0,1213.7492778740614,1073.0,272.0
W01001650,Newport 004E,13.3,1458.0,1480.9547993905535,760.0,200.0
W01001653,Newport 002C,8.8,1372.0,3391.0034602076125,1627.0,427.0
W01001823,Cardiff 029B,16.0,1318.0,7653.890824622532,1699.0,179.0
W01001822,Cardiff 029A,13.2,1877.0,2930.5230288836847,1344.0,367.0
W01001824,Cardiff 029C,12.8,1516.0,10120.160213618157,856.0,214.0
W01001825,Cardiff 029D,11.4,2334.0,3585.2534562211986,884.0,194.0
W01001820,Cardiff 006A,23.4,1176.0,514.7284107322624,1623.0,237.0
W01000234,Denbighshire 017G,12.3,1638.0,2545.850170966739,192.0,229.0
W01000460,Powys 006B,36.0,1711.0,27.35927800928073,1199.0,425.0
W01001775,Cardiff 021B,8.7,1662.0,6707.021791767554,1486.0,260.0
W01000667,Carmarthenshire 023C,32.5,1741.0,1457.0256925265714,1043.0,342.0
W01000666,Carmarthenshire 017B,44.5,1548.0,1349.7253465864503,1173.0,316.0
W01000367,Wrexham 014B,10.7,1287.0,723.2775092727886,1674.0,191.0
W01001905,Powys 018H,11.4,2090.0,15.754453648362102,1434.0,598.0
W01000664,Carmarthenshire 016C,60.2,2147.0,236.53971156918266,1077.0,456.0
W01000156,Conwy 004B,15.8,1522.0,3966.640604639041,1482.0,649.0
W01000484,Powys 011E,6.8,1551.0,10.100746973357733,1219.0,478.0
W01001622,Newport 003F,8.6,1254.0,783.0648182840015,644.0,243.0
W01000405,Wrexham 015B,26.6,2358.0,3225.718194254446,458.0,398.0
W01000485,Powys 011F,8.0,1568.0,75.3140085016451,1380.0,570.0
W01000404,Wrexham 018D,9.8,2116.0,82.11862959685807,1495.0,434.0
W01000483,Powys 009C,15.3,1788.0,596.5766908011078,284.0,263.0
W01000402,Wrexham 011D,10.6,2452.0,3078.081847853377,717.0,305.0
W01000873,Swansea 026C,9.4,1995.0,6067.518248175182,1298.0,152.0
W01000875,Swansea 026D,10.4,2209.0,9787.328311918476,1072.0,176.0
W01000872,Swansea 024E,15.9,1399.0,6379.388964888281,1790.0,307.0
W01000877,Swansea 007E,17.3,1582.0,1306.8979760429575,1530.0,364.0
W01000874,Swansea 024F,10.3,2106.0,9236.842105263158,1593.0,212.0
W01000876,Swansea 026E,9.2,2116.0,17721.943048576217,1346.0,131.0
W01001394,Caerphilly 023B,11.3,1361.0,2350.1985840096704,1833.0,254.0
W01000606,Pembrokeshire 015B,10.2,1690.0,1229.001527161661,85.0,254.0
W01001816,Cardiff 009B,9.0,2868.0,5442.125237191651,582.0,307.0
W01001086,The Vale of Glamorgan 006A,11.9,1547.0,268.97798796814686,1832.0,495.0
W01001667,Newport 010C,8.0,1276.0,6722.86617492097,69.0,168.0
W01001666,Newport 010B,8.2,1423.0,3372.0379146919427,102.0,233.0
W01001664,Newport 010A,6.2,1450.0,3471.3909504429016,146.0,299.0
W01000692,Carmarthenshire 019C,38.4,1550.0,699.8374571067366,1188.0,280.0
W01000613,Pembrokeshire 001E,46.1,2195.0,27.936942692994,1031.0,655.0
W01000693,Carmarthenshire 008C,50.5,1112.0,2531.2997951286134,939.0,350.0
W01000612,Pembrokeshire 003C,29.0,1778.0,38.98866302655527,1207.0,555.0
W01000610,Pembrokeshire 016A,12.4,1709.0,83.14359662949774,1400.0,621.0
W01001508,Torfaen 013C,8.5,1204.0,1194.5629526738765,1534.0,409.0
W01001253,Rhondda Cynon Taf 023C,7.4,1468.0,510.8752392552635,577.0,277.0
W01001604,Newport 012D,9.3,1471.0,880.5219681551538,1657.0,359.0
W01000191,Denbighshire 009A,17.9,2194.0,131.6168354369631,1002.0,433.0
W01000973,Neath Port Talbot 020F,47.3,1397.0,2090.065828845003,372.0,290.0
W01001911,The Vale of Glamorgan 012H,10.2,1203.0,10229.591836734695,452.0,188.0
W01001910,The Vale of Glamorgan 012G,9.9,1912.0,5857.843137254901,350.0,143.0
W01001727,Cardiff 014A,22.9,1085.0,172.9331696976459,1756.0,296.0
W01001726,Cardiff 028E,11.8,1830.0,4225.352112676056,958.0,114.0
W01001937,Ceredigion 001F,40.6,2027.0,79.53354966040312,1356.0,533.0
W01001934,Ceredigion 002F,23.1,4021.0,842.5530131589975,1540.0,382.0
W01001936,Ceredigion 003F,24.4,1834.0,871.6315764459864,1689.0,239.0
W01001724,Cardiff 032C,11.0,2371.0,22473.933649289098,806.0,39.0
W01001935,Ceredigion 003E,39.2,1097.0,1060.00579766161,1449.0,173.0
W01001416,Caerphilly 008C,10.0,1439.0,1375.717017208413,1008.0,375.0
W01001932,Gwynedd 014E,74.7,2942.0,25.037125921765366,952.0,729.0
W01001958,Swansea 025H,8.3,1546.0,4951.953875720692,1034.0,203.0
W01000941,Neath Port Talbot 012B,9.3,1575.0,3090.65934065934,328.0,223.0
W01000940,Neath Port Talbot 008E,8.0,1337.0,1617.27349703641,261.0,230.0
W01000942,Neath Port Talbot 012C,7.3,1924.0,3312.67217630854,199.0,305.0
W01000943,Neath Port Talbot 012D,11.3,1562.0,3859.6491228070176,1711.0,356.0
W01000597,Pembrokeshire 002E,42.8,1181.0,66.80771145404354,1351.0,432.0
