LSOA11CD,LSOA11NM,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
W01001146,Rhondda Cynon Taf 012D,15,22,21,17,15,25,23,13,9,22,14,10,10,9,4,14,6,6,5,6,7,3,5,5,3,10
W01001147,Rhondda Cynon Taf 004A,23,35,17,22,31,26,26,16,22,20,11,11,10,10,12,9,10,17,11,13,16,13,8,5,3,21
W01001244,Rhondda Cynon Taf 025B,23,32,25,30,35,31,37,25,30,26,20,17,16,13,20,19,20,11,18,12,12,5,3,2,5,21
W01001684,Newport 006E,19,6,12,11,11,8,15,11,11,12,6,3,8,3,4,4,1,8,1,2,5,1,2,6,2,2
W01000111,Gwynedd 007C,17,21,13,16,23,11,18,13,11,14,20,16,13,16,18,11,18,8,12,13,15,13,9,8,9,42
W01001462,Blaenau Gwent 006A,17,19,16,16,25,18,24,14,14,18,20,13,11,10,8,13,7,11,7,7,5,5,6,2,2,14
W01001449,Blaenau Gwent 002D,12,18,17,20,27,19,24,14,18,11,14,13,7,12,3,13,5,5,8,5,13,7,11,5,0,17
W01000998,Bridgend 011A,28,32,25,33,24,25,26,21,17,20,11,11,15,11,8,14,11,13,9,7,12,12,4,5,5,6
W01000919,Neath Port Talbot 020A,27,16,19,20,18,7,11,15,13,18,6,2,6,11,14,0,8,2,4,4,1,4,4,2,3,12
W01000918,Neath Port Talbot 002A,28,25,26,29,17,25,50,23,21,22,15,12,13,18,14,9,10,8,7,8,15,7,9,6,4,5
W01000550,Ceredigion 011G,18,26,18,18,8,24,24,11,17,12,15,16,13,13,9,13,19,9,21,15,9,8,5,6,7,15
W01000551,Ceredigion 010E,24,28,15,30,30,22,30,24,19,22,18,6,13,11,10,9,11,9,6,6,4,2,5,9,2,8
W01000727,Carmarthenshire 019E,11,12,12,16,26,27,18,23,20,23,19,18,21,22,11,16,7,14,10,6,4,3,2,4,2,3
W01000726,Carmarthenshire 019D,28,31,25,28,29,27,30,18,24,20,18,15,9,14,12,19,14,10,12,11,8,6,6,3,4,13
W01001618,Newport 003B,9,6,6,14,11,8,9,6,7,10,14,15,15,19,14,9,5,11,4,6,5,6,3,2,0,5
W01001699,Cardiff 049A,12,13,11,12,8,5,8,12,15,12,8,5,6,11,14,9,3,11,4,3,5,5,7,3,1,12
W01000724,Carmarthenshire 011C,30,28,20,27,26,24,32,21,17,24,23,22,15,18,17,11,16,11,10,12,10,17,13,4,3,33
W01001882,Cardiff 011C,19,10,16,9,10,15,14,7,8,7,5,9,8,5,0,10,4,10,5,3,3,3,3,4,2,5
W01001803,Cardiff 015A,20,21,18,18,15,10,13,11,10,14,7,9,15,6,8,9,8,8,10,9,5,5,2,4,5,21
W01001883,Cardiff 016C,11,9,21,9,6,12,7,6,6,14,13,17,13,18,13,7,11,5,9,11,9,15,7,6,7,22
W01001802,Cardiff 007A,19,20,22,15,22,13,21,20,12,10,8,9,8,12,10,9,7,12,10,10,1,7,5,12,5,16
W01001805,Cardiff 015C,14,11,11,7,6,7,10,5,6,11,4,8,1,5,7,6,8,4,3,6,6,2,6,4,6,9
W01001884,Cardiff 013D,3,7,5,1,6,17,6,6,5,2,5,3,1,1,1,1,1,2,0,0,1,1,0,0,0,2
W01001804,Cardiff 015B,7,14,5,12,8,15,15,10,12,6,8,4,3,7,12,6,6,5,11,6,4,11,6,6,7,21
W01001706,Cardiff 041B,14,10,14,14,19,17,22,17,12,15,13,8,7,7,11,10,3,12,8,7,2,1,0,0,1,8
W01001786,Cardiff 023B,17,10,13,11,12,19,10,12,14,4,11,8,9,12,2,10,11,7,3,8,4,5,4,2,1,7
