LA Name,LA Code,QS113: One person household: Total %,KS301: Day-to-day activities limited a lot %,LC3304: Provides unpaid care age 65+: Total %
Caerphilly 017B,W01001412,39.8,12.4,2.5
Caerphilly 017A,W01001411,35.2,14.7,3.8
Caerphilly 016D,W01001410,31.2,13,3.4
Caerphilly 016C,W01001409,23.4,9.7,4.6
Caerphilly 016B,W01001408,25.6,11.4,2.2
Caerphilly 016A,W01001407,25.4,7.5,2
Caerphilly 001D,W01001406,31.5,18,3.3
Caerphilly 011E,W01001405,26.7,12.7,2.7
Caerphilly 011D,W01001404,20,10.4,4.9
Caerphilly 011C,W01001403,29.4,12.4,2.2
Caerphilly 011B,W01001402,23,15.1,2.1
Caerphilly 011A,W01001401,29.5,16.1,3.5
Caerphilly 019F,W01001400,24,14.9,1.9
Caerphilly 023E,W01001399,24.6,13.4,4.6
Caerphilly 024A,W01001398,20.6,7.1,1.6
Caerphilly 019E,W01001397,23,9,2
Caerphilly 023D,W01001396,27,15.7,1.7
Caerphilly 023C,W01001395,27.8,18.4,4.5
Caerphilly 023B,W01001394,14.8,5,1.8
Caerphilly 019D,W01001393,22.9,18.1,4.6
Caerphilly 009D,W01001392,23.7,13.1,3.7
Caerphilly 006F,W01001391,25.4,14.3,2.4
Caerphilly 006E,W01001390,16.5,9.3,1.6
Caerphilly 007E,W01001389,25.4,16.2,2.8
Caerphilly 007D,W01001388,20.6,12.9,1.7
Caerphilly 007C,W01001387,32.1,18.5,3.3
Caerphilly 002E,W01001386,30.7,17.3,2.1
Caerphilly 002D,W01001385,34.8,20.8,2.5
Caerphilly 002C,W01001384,28.4,15.8,3.5
Caerphilly 010D,W01001383,33,14.8,2.8
Caerphilly 010C,W01001382,28.8,18.1,4.1
Caerphilly 010B,W01001381,26.1,16.9,2.7
Caerphilly 010A,W01001380,26.3,11,2.6
Caerphilly 013C,W01001379,23.4,13.4,3
Caerphilly 013B,W01001378,33.5,18.5,2.8
Caerphilly 013A,W01001377,24.7,12.8,3.8
Caerphilly 001C,W01001376,32.2,19.6,2.4
Caerphilly 001B,W01001375,37.5,17.3,2.5
Caerphilly 001A,W01001374,25.4,17,2.4
Caerphilly 022C,W01001373,24.9,11.9,3
Caerphilly 022B,W01001372,22.6,11.1,2.3
Caerphilly 022A,W01001371,31.6,14.3,1.8
Caerphilly 023A,W01001370,32.5,16.5,4.9
Caerphilly 012D,W01001369,26.4,15.5,3.1
Caerphilly 019C,W01001368,28.4,12.4,2.1
Caerphilly 019B,W01001367,26.8,12.6,1.6
Caerphilly 019A,W01001366,23.1,11,2.2
Caerphilly 012C,W01001365,25.9,13.5,2.7
Caerphilly 012B,W01001364,21.6,18.4,1.3
Caerphilly 012A,W01001363,18.6,14.3,2
Caerphilly 003C,W01001362,33,19.3,3.5
Caerphilly 002B,W01001361,26.8,19,2.1
Caerphilly 002A,W01001360,26.1,14.7,3.2
Caerphilly 006D,W01001359,30.3,12.1,1.5
Caerphilly 006C,W01001358,23.4,16.4,3.4
Caerphilly 006B,W01001357,24.5,10,2.4
Caerphilly 006A,W01001356,20.2,11.8,4.4
Caerphilly 015A,W01001355,42.3,19.6,3.9
Caerphilly 014D,W01001354,25.6,11.5,2.7
Caerphilly 007B,W01001353,35,19.2,3.2
Caerphilly 007A,W01001352,24.9,15.5,2.3
Caerphilly 005D,W01001351,26.4,11.6,3.9
Caerphilly 009C,W01001350,28.1,13.1,2.6
Caerphilly 009B,W01001349,15.6,8.3,1.2
Caerphilly 009A,W01001348,26.2,16.7,2.3
Caerphilly 005C,W01001347,26.4,14.9,3.7
Caerphilly 020D,W01001346,28.9,13.5,3.2
Caerphilly 021C,W01001345,21.5,10.3,1.6
Caerphilly 020C,W01001344,25.4,15.4,3
Caerphilly 021B,W01001343,25.6,9.7,2.6
Caerphilly 021A,W01001342,27.4,10,3
Caerphilly 020B,W01001341,33.6,18.7,3.6
Caerphilly 020A,W01001340,19.5,10,2.3
Caerphilly 004D,W01001339,28.5,23.2,3
Caerphilly 004C,W01001338,34,14.9,3.6
Caerphilly 004B,W01001337,27.4,13.5,3.5
Caerphilly 004A,W01001336,26.4,19.3,3.6
Caerphilly 005B,W01001335,22.8,11.5,3
Caerphilly 005A,W01001334,26.7,15,2.4
Caerphilly 018D,W01001333,22.9,12.5,1.4
Caerphilly 018C,W01001332,29.3,14.5,3.1
Caerphilly 018B,W01001331,29,10.3,1.3
Caerphilly 018A,W01001330,30.2,15.5,3.2
Caerphilly 014C,W01001329,28.7,13.6,3.7
Caerphilly 014B,W01001328,24.8,14.3,2.5
Caerphilly 014A,W01001327,27.6,11,2.6
Caerphilly 003B,W01001326,31.5,18.9,1.8
Caerphilly 003A,W01001325,23.9,20.5,2.6
Merthyr Tydfil 003E,W01001324,32.6,17.2,3.9
Merthyr Tydfil 007E,W01001322,27.9,15.5,2.8
Merthyr Tydfil 007D,W01001321,25.2,15.2,2.1
Merthyr Tydfil 007C,W01001320,19.6,14.2,3
Merthyr Tydfil 007B,W01001319,18.1,11.2,2.4
Merthyr Tydfil 005D,W01001318,28.2,14.3,3.9
Merthyr Tydfil 005C,W01001317,27.8,18.3,3.8
Merthyr Tydfil 005B,W01001316,26.9,9.3,1.7
Merthyr Tydfil 004D,W01001315,42,19,3.4
Merthyr Tydfil 005A,W01001314,26.5,13.8,2.1
Merthyr Tydfil 006F,W01001313,29.8,14.7,2.1
Merthyr Tydfil 006E,W01001312,34.5,22.4,3.6
Merthyr Tydfil 002F,W01001311,29.8,13.8,1.7
Merthyr Tydfil 002E,W01001310,25.2,15.4,2.9
Merthyr Tydfil 008E,W01001309,23.2,19.7,2.7
Merthyr Tydfil 008D,W01001308,17.1,17.5,1.3
Merthyr Tydfil 004C,W01001307,45.6,22.1,3.1
Merthyr Tydfil 003D,W01001306,25.8,10.8,2.5
Merthyr Tydfil 003C,W01001305,20.9,12.2,3.9
Merthyr Tydfil 006D,W01001304,25.6,15.2,3
Merthyr Tydfil 006C,W01001303,31.2,18.4,1.9
Merthyr Tydfil 006B,W01001302,29,15.8,2.2
Merthyr Tydfil 008C,W01001301,22.5,18.3,2.3
Merthyr Tydfil 008B,W01001300,21.6,17.9,1.8
Merthyr Tydfil 008A,W01001299,29.3,19.9,1.8
Merthyr Tydfil 002D,W01001298,30.6,19.1,2.5
Merthyr Tydfil 002C,W01001297,25.9,13.8,1.8
Merthyr Tydfil 002B,W01001296,18.3,13.1,2.4
Merthyr Tydfil 002A,W01001295,29.9,18.7,2.9
Merthyr Tydfil 003B,W01001294,15.6,10.6,2.8
Merthyr Tydfil 004B,W01001293,30.7,18.7,2.9
Merthyr Tydfil 004A,W01001292,23.8,18.7,2.2
Merthyr Tydfil 003A,W01001291,19.1,11.2,1.5
Merthyr Tydfil 007A,W01001290,24.7,15.8,2
Merthyr Tydfil 006A,W01001289,32.6,17.1,2.5
Rhondda Cynon Taf 014G,W01001288,35.6,16.5,2.3
Rhondda Cynon Taf 014F,W01001287,29.4,13.4,2.7
Rhondda Cynon Taf 014E,W01001286,26.4,15.9,3.6
Rhondda Cynon Taf 014D,W01001285,34,23.8,3.9
Rhondda Cynon Taf 015E,W01001284,18,6.5,2.2
Rhondda Cynon Taf 015D,W01001283,27.7,13.1,3.1
Rhondda Cynon Taf 015C,W01001282,31.6,14.8,3.1
Rhondda Cynon Taf 017F,W01001281,30.1,15.5,3.6
Rhondda Cynon Taf 017E,W01001280,38.6,19.3,3.8
Rhondda Cynon Taf 028F,W01001279,32.3,18.5,2.8
Rhondda Cynon Taf 028E,W01001278,29.5,13.1,3.7
Rhondda Cynon Taf 028D,W01001277,15.1,8.7,2.6
Rhondda Cynon Taf 013D,W01001276,41.9,17.6,3.5
Rhondda Cynon Taf 013C,W01001275,32.1,15.6,3.1
Rhondda Cynon Taf 013B,W01001274,36,17.6,2.2
Rhondda Cynon Taf 010E,W01001273,33.1,16.8,3.9
Rhondda Cynon Taf 010D,W01001272,26.3,13.7,2.8
Rhondda Cynon Taf 010C,W01001271,34.3,17.4,1.9
Rhondda Cynon Taf 010B,W01001270,33.9,18.5,4.6
Rhondda Cynon Taf 010A,W01001269,35.3,17.6,4.5
Rhondda Cynon Taf 007D,W01001268,34.1,16.3,4.1
Rhondda Cynon Taf 007C,W01001267,32.5,20.2,4.6
Rhondda Cynon Taf 007B,W01001266,41.5,21.6,3
Rhondda Cynon Taf 007A,W01001265,34.2,16,3.5
Rhondda Cynon Taf 022F,W01001264,26.6,4.7,0.7
Rhondda Cynon Taf 022E,W01001263,22.3,6.1,0.8
Rhondda Cynon Taf 022D,W01001262,28.6,7.6,1.2
Rhondda Cynon Taf 018F,W01001261,29,16.3,3.1
Rhondda Cynon Taf 014C,W01001260,30.7,19.3,2.5
Rhondda Cynon Taf 018E,W01001259,27.2,18.7,2.9
Rhondda Cynon Taf 019E,W01001258,43.7,12.2,3.1
Rhondda Cynon Taf 019D,W01001257,24.8,12.8,3.4
Rhondda Cynon Taf 019C,W01001256,29.3,13.5,2.6
Rhondda Cynon Taf 023E,W01001255,28.7,17,2.9
Rhondda Cynon Taf 023C,W01001253,29.4,16.9,1.9
Rhondda Cynon Taf 024D,W01001252,22.1,10.4,2.4
Rhondda Cynon Taf 024C,W01001251,30.1,19.3,1.5
Rhondda Cynon Taf 024B,W01001250,21.5,17.6,3.7
Rhondda Cynon Taf 024A,W01001249,35.3,20,2.8
Rhondda Cynon Taf 016D,W01001248,28.9,14.3,3.3
Rhondda Cynon Taf 016C,W01001247,34,15.3,3.5
Rhondda Cynon Taf 025D,W01001246,28.3,14.1,4.9
Rhondda Cynon Taf 025C,W01001245,17.8,10.1,4.1
Rhondda Cynon Taf 025B,W01001244,26.3,14.8,6.2
Rhondda Cynon Taf 030E,W01001243,41.4,16.4,3.2
Rhondda Cynon Taf 030D,W01001242,27.8,10.3,4.6
Rhondda Cynon Taf 026D,W01001241,31.7,9.7,2.3
Rhondda Cynon Taf 026C,W01001240,31.7,13.5,2.9
Rhondda Cynon Taf 026B,W01001239,35.5,19.7,2.7
Rhondda Cynon Taf 022C,W01001238,28.3,14.6,1.2
Rhondda Cynon Taf 022B,W01001237,34,18.5,2.2
Rhondda Cynon Taf 021G,W01001236,27.9,12.5,3.4
Rhondda Cynon Taf 021F,W01001235,35.7,17.9,2.5
Rhondda Cynon Taf 021E,W01001234,27.8,12.6,3.2
Rhondda Cynon Taf 001F,W01001233,27.9,16.6,3.6
Rhondda Cynon Taf 020D,W01001232,33.8,16.7,2.4
Rhondda Cynon Taf 017D,W01001231,35.2,14.7,3.1
Rhondda Cynon Taf 017C,W01001230,24.8,17.1,3.3
Rhondda Cynon Taf 017B,W01001229,34.9,12.3,2.6
Rhondda Cynon Taf 021D,W01001228,31.4,12.7,4.6
Rhondda Cynon Taf 021C,W01001227,22.3,7.7,3.4
Rhondda Cynon Taf 031F,W01001226,29.4,12,2.6
Rhondda Cynon Taf 031E,W01001225,21.3,7.5,4.1
Rhondda Cynon Taf 031D,W01001224,17.1,3.4,1.4
Rhondda Cynon Taf 031C,W01001223,27.4,8.5,3.6
Rhondda Cynon Taf 001E,W01001222,32.2,19,1.9
Rhondda Cynon Taf 001D,W01001221,26.6,20.4,3.5
Rhondda Cynon Taf 018D,W01001220,27.8,13.7,2.4
Rhondda Cynon Taf 018C,W01001219,42.6,22.6,2
Rhondda Cynon Taf 018B,W01001218,28.6,15.1,2.5
Rhondda Cynon Taf 018A,W01001217,28.6,15.4,2.3
Rhondda Cynon Taf 011D,W01001216,30.6,16,2.1
Rhondda Cynon Taf 011C,W01001215,46.8,18.1,3.5
Rhondda Cynon Taf 011B,W01001214,22.8,12.4,3.5
Rhondda Cynon Taf 011A,W01001213,33.8,15.9,4
Rhondda Cynon Taf 008D,W01001212,31.3,15.4,2.2
Rhondda Cynon Taf 008C,W01001211,28.3,16.3,2.4
Rhondda Cynon Taf 008B,W01001210,29.4,18.7,2.8
Rhondda Cynon Taf 008A,W01001209,29.1,19.2,2.6
Rhondda Cynon Taf 006E,W01001208,38,18.9,2.9
Rhondda Cynon Taf 006D,W01001207,30.8,16.5,2.3
Rhondda Cynon Taf 006C,W01001206,35.4,19.8,3.3
Rhondda Cynon Taf 006B,W01001205,33.7,17.6,3.9
Rhondda Cynon Taf 006A,W01001204,30.3,12.3,3.4
Rhondda Cynon Taf 009D,W01001203,29.6,20.9,2.8
Rhondda Cynon Taf 009C,W01001202,37.8,22.7,2.9
Rhondda Cynon Taf 014B,W01001201,37.2,23.2,3
Rhondda Cynon Taf 014A,W01001200,27.9,17.8,3.2
Rhondda Cynon Taf 027E,W01001199,20,7.7,2.9
Rhondda Cynon Taf 027D,W01001198,23.6,8,2.5
Rhondda Cynon Taf 027C,W01001197,16.8,8.2,3.7
Rhondda Cynon Taf 027B,W01001196,20.5,7.2,2.2
Rhondda Cynon Taf 030C,W01001195,33.6,11.6,2.2
Rhondda Cynon Taf 030B,W01001194,21,6.7,2.4
Rhondda Cynon Taf 030A,W01001193,22.7,7.2,2.6
Rhondda Cynon Taf 031B,W01001192,28.4,17,2.3
Rhondda Cynon Taf 031A,W01001191,22.7,8,1.8
Rhondda Cynon Taf 029D,W01001190,23.7,8.3,1.7
Rhondda Cynon Taf 029C,W01001189,27.1,10.2,1.8
Rhondda Cynon Taf 001C,W01001188,37.8,20.8,3.5
Rhondda Cynon Taf 001B,W01001187,26,17.7,2.9
Rhondda Cynon Taf 001A,W01001186,18.2,12.4,1.8
Rhondda Cynon Taf 022A,W01001185,37.1,15,2.9
Rhondda Cynon Taf 026A,W01001184,30.7,14.2,3.2
Rhondda Cynon Taf 021B,W01001183,45.8,14.1,1.6
Rhondda Cynon Taf 021A,W01001182,26.3,10.4,2
Rhondda Cynon Taf 015B,W01001181,30.4,14.3,2.1
Rhondda Cynon Taf 015A,W01001180,33.6,16,1.4
Rhondda Cynon Taf 023B,W01001179,27.9,20.6,2.5
Rhondda Cynon Taf 023A,W01001178,31.3,16,1.9
Rhondda Cynon Taf 009B,W01001177,35.4,16.2,3.4
Rhondda Cynon Taf 013A,W01001176,28.1,16,2.8
Rhondda Cynon Taf 009A,W01001175,32.9,18.1,2.9
Rhondda Cynon Taf 020C,W01001174,32.5,19.8,2.8
Rhondda Cynon Taf 020B,W01001173,34,21.2,2.7
Rhondda Cynon Taf 020A,W01001172,31.8,12.3,2.1
Rhondda Cynon Taf 017A,W01001171,33.9,15.9,2.8
Rhondda Cynon Taf 004D,W01001170,26.4,13.9,4.9
Rhondda Cynon Taf 004C,W01001169,35.1,17.6,1.9
Rhondda Cynon Taf 004B,W01001168,30.9,16.5,4.7
Rhondda Cynon Taf 016B,W01001167,28.3,17.5,2.9
Rhondda Cynon Taf 016A,W01001166,31.8,18.1,3.3
Rhondda Cynon Taf 019B,W01001165,26.5,12,1.7
Rhondda Cynon Taf 019A,W01001164,28.4,11.7,3.7
Rhondda Cynon Taf 025A,W01001162,34.9,13.9,2.3
Rhondda Cynon Taf 029B,W01001161,26.2,10.6,1.9
Rhondda Cynon Taf 029A,W01001160,21.1,10.4,2.1
Rhondda Cynon Taf 028C,W01001159,24.4,5.9,1.4
Rhondda Cynon Taf 028B,W01001158,27.2,12.4,2.8
Rhondda Cynon Taf 028A,W01001157,25.5,10.1,2.4
Rhondda Cynon Taf 003E,W01001156,13.7,5.9,1.7
Rhondda Cynon Taf 002D,W01001155,35.2,19.5,2.9
Rhondda Cynon Taf 003D,W01001154,39.5,15.4,3.3
Rhondda Cynon Taf 002C,W01001153,30.7,17.2,3.3
Rhondda Cynon Taf 002B,W01001152,25.3,12.6,3.9
Rhondda Cynon Taf 003C,W01001151,26.4,14.8,6
Rhondda Cynon Taf 003B,W01001150,40.3,18.6,2.6
Rhondda Cynon Taf 003A,W01001149,31.3,14.4,3.2
Rhondda Cynon Taf 002A,W01001148,34.8,12.9,2.9
Rhondda Cynon Taf 004A,W01001147,33.5,17.4,2.8
Rhondda Cynon Taf 012D,W01001146,33.9,12.8,3.4
Rhondda Cynon Taf 012C,W01001145,30.8,14.4,2.8
Rhondda Cynon Taf 012B,W01001144,28.6,16.7,2.7
Rhondda Cynon Taf 012A,W01001143,23.1,13.3,3.3
Rhondda Cynon Taf 005F,W01001142,36.1,20.5,2.8
Rhondda Cynon Taf 005E,W01001141,32.2,18.1,3.5
Rhondda Cynon Taf 005D,W01001140,32.7,15.7,3.1
Rhondda Cynon Taf 005C,W01001139,28.6,14.3,2.8
Rhondda Cynon Taf 005B,W01001138,38.7,18,2.5
Rhondda Cynon Taf 005A,W01001137,32.8,15.7,2.6
The Vale of Glamorgan 003D,W01001136,25.2,11,4.7
The Vale of Glamorgan 003C,W01001135,20.5,8,4.4
The Vale of Glamorgan 008F,W01001134,34.9,7.9,2.7
The Vale of Glamorgan 008E,W01001133,30,11.5,5.8
The Vale of Glamorgan 008D,W01001132,29.4,6.6,2.1
The Vale of Glamorgan 008C,W01001131,34.2,12.6,2.5
The Vale of Glamorgan 005F,W01001130,30.1,6.2,1.7
The Vale of Glamorgan 004F,W01001129,23.2,10.1,2.5
The Vale of Glamorgan 001C,W01001128,23.2,8.6,4.4
The Vale of Glamorgan 001B,W01001127,25,9,5.3
The Vale of Glamorgan 005E,W01001126,43.4,7.2,2.3
The Vale of Glamorgan 005D,W01001125,35.8,10.4,2.9
The Vale of Glamorgan 005C,W01001124,40.7,9.2,2.4
The Vale of Glamorgan 005B,W01001123,46,10.8,3.8
The Vale of Glamorgan 014F,W01001122,19.2,4.4,0.6
The Vale of Glamorgan 014E,W01001121,29.3,13.7,4.4
The Vale of Glamorgan 014D,W01001120,24.6,7.6,3
The Vale of Glamorgan 003B,W01001119,20.8,5,3.1
The Vale of Glamorgan 014C,W01001118,26.2,9.1,2.3
The Vale of Glamorgan 014B,W01001117,21.2,11.2,4.7
The Vale of Glamorgan 005A,W01001116,34.3,14.4,3.3
The Vale of Glamorgan 008B,W01001115,26.9,8,2.8
The Vale of Glamorgan 008A,W01001114,25.9,7.7,4.7
The Vale of Glamorgan 003A,W01001113,22.2,5.9,3.6
The Vale of Glamorgan 011F,W01001112,23.7,4.4,1.9
The Vale of Glamorgan 011E,W01001111,23.9,12.3,3.3
The Vale of Glamorgan 011D,W01001110,28,5.9,2
The Vale of Glamorgan 011C,W01001109,28.3,12.8,4.5
The Vale of Glamorgan 014A,W01001108,27.7,6.5,2
The Vale of Glamorgan 011B,W01001107,30.2,12.6,5.2
The Vale of Glamorgan 011A,W01001106,21.5,7.4,3.2
The Vale of Glamorgan 001A,W01001105,18.4,6.8,3.1
The Vale of Glamorgan 004E,W01001104,28.4,9.8,3.9
The Vale of Glamorgan 010D,W01001103,24,6.2,3.1
The Vale of Glamorgan 013F,W01001102,34.3,8.9,1.6
The Vale of Glamorgan 013E,W01001101,37.3,9.1,1.8
The Vale of Glamorgan 010C,W01001100,27.2,7.9,3.5
The Vale of Glamorgan 013D,W01001099,37.7,13,2.8
The Vale of Glamorgan 010B,W01001098,24,9.2,4.9
The Vale of Glamorgan 007F,W01001097,21.3,13.7,2.1
The Vale of Glamorgan 007E,W01001096,34.3,14.5,3.9
The Vale of Glamorgan 007D,W01001095,36.4,13.5,2.1
The Vale of Glamorgan 007C,W01001094,21.8,10.6,2
The Vale of Glamorgan 013C,W01001093,36.5,17.3,3.1
The Vale of Glamorgan 007B,W01001092,25.7,13.1,3.1
The Vale of Glamorgan 010A,W01001091,25.8,10.5,4.7
The Vale of Glamorgan 006E,W01001090,23.1,6.5,4.1
The Vale of Glamorgan 006D,W01001089,25.7,9.7,4.3
The Vale of Glamorgan 006C,W01001088,32.1,14.2,5.4
The Vale of Glamorgan 006B,W01001087,26.9,8.7,5.4
The Vale of Glamorgan 006A,W01001086,26.1,6,5
The Vale of Glamorgan 002D,W01001085,19.1,4.7,2.3
The Vale of Glamorgan 002C,W01001084,32.3,10.1,3.5
The Vale of Glamorgan 002B,W01001083,20.3,6.8,5
The Vale of Glamorgan 002A,W01001082,37.8,10.7,6.5
The Vale of Glamorgan 007A,W01001081,33.9,15.1,2.6
The Vale of Glamorgan 012F,W01001080,26.4,11.7,2.3
The Vale of Glamorgan 012E,W01001079,31.9,10,2.4
The Vale of Glamorgan 004D,W01001078,24.9,9.3,3.2
The Vale of Glamorgan 004C,W01001077,32.8,11.5,2.9
The Vale of Glamorgan 004B,W01001076,29.4,7.9,1.8
The Vale of Glamorgan 004A,W01001075,28.2,9.2,2.8
The Vale of Glamorgan 015E,W01001073,44.8,13.9,1.4
The Vale of Glamorgan 009E,W01001072,15.7,5.9,1.4
The Vale of Glamorgan 009D,W01001071,28.5,13,2.2
The Vale of Glamorgan 009C,W01001070,41.2,11.6,1
The Vale of Glamorgan 012C,W01001069,39.2,12.9,1.4
The Vale of Glamorgan 009B,W01001068,27.4,8,1.4
The Vale of Glamorgan 009A,W01001067,41,19.8,2.6
The Vale of Glamorgan 015D,W01001066,32.1,11.3,1.4
The Vale of Glamorgan 012B,W01001065,28,10.3,2
The Vale of Glamorgan 013B,W01001064,41.6,23,1.5
The Vale of Glamorgan 012A,W01001063,27,9.9,2
The Vale of Glamorgan 013A,W01001062,30.9,9.3,2.5
The Vale of Glamorgan 015C,W01001061,32.9,11.1,1.9
The Vale of Glamorgan 015B,W01001060,30.5,7.9,5.9
The Vale of Glamorgan 015A,W01001059,34.5,11.1,3.9
Bridgend 006C,W01001058,22.9,10.7,2.2
Bridgend 006B,W01001057,33.8,16.1,1.6
Bridgend 007D,W01001056,26,16.3,3
Bridgend 007C,W01001055,30.4,21.1,2.9
Bridgend 018F,W01001054,30.3,14.4,5.6
Bridgend 018E,W01001053,30.5,12,5.4
Bridgend 008F,W01001052,36.6,16,1.9
Bridgend 008E,W01001051,24.6,12,2.8
Bridgend 008D,W01001050,29.6,14.7,3.1
Bridgend 008C,W01001049,26.6,18.1,3.2
Bridgend 008B,W01001048,28.7,10.7,2.3
Bridgend 018D,W01001047,34.9,13.9,4.2
Bridgend 018C,W01001046,43.6,17.1,4.1
Bridgend 019D,W01001045,31.3,14,2.8
Bridgend 019C,W01001044,35.8,17.9,3.3
Bridgend 004E,W01001043,28.9,15.8,2.5
Bridgend 004D,W01001042,29,12.3,1.8
Bridgend 013C,W01001041,16.4,11,3.3
Bridgend 009F,W01001040,22.9,10.3,3
Bridgend 009E,W01001039,25.7,11.3,3.1
Bridgend 011C,W01001038,30.9,14.4,3.3
Bridgend 013B,W01001037,27.3,13.6,4.5
Bridgend 017D,W01001036,26.9,9.3,3.7
Bridgend 014E,W01001035,36.8,12.1,1.4
Bridgend 003F,W01001034,39,17.5,3
Bridgend 003E,W01001033,29.1,12.3,3.3
Bridgend 018B,W01001032,32.8,13.9,5.5
Bridgend 018A,W01001031,24.8,14,4.1
Bridgend 019B,W01001030,26.9,11.8,4.9
Bridgend 019A,W01001029,31,15.8,5.1
Bridgend 014D,W01001028,29,9.6,3.6
Bridgend 017C,W01001027,32.2,13.9,5
Bridgend 012D,W01001026,32.5,17.7,3.4
Bridgend 003D,W01001025,30.1,13.8,3
Bridgend 003C,W01001024,31.8,16.9,3
Bridgend 014C,W01001023,40,15.4,2.9
Bridgend 014B,W01001022,35.6,14.6,2.3
Bridgend 014A,W01001021,41.2,13.2,2.4
Bridgend 002E,W01001020,29.3,17.7,2.1
Bridgend 005D,W01001019,27.5,18.2,3.3
Bridgend 002D,W01001018,33,19.1,3
Bridgend 002C,W01001017,25.6,12.1,2.9
Bridgend 005C,W01001016,27.4,20.7,5.2
Bridgend 002B,W01001015,24.7,16.7,3.5
Bridgend 002A,W01001014,38.9,19.9,3.3
Bridgend 005B,W01001013,28.8,18.4,3.7
Bridgend 005A,W01001012,17.6,9,2.7
Bridgend 012C,W01001011,27.2,11.4,2.2
Bridgend 012B,W01001010,29.2,10.6,2.2
Bridgend 004C,W01001009,21.5,16.3,2.3
Bridgend 011B,W01001008,21.6,9.6,4.7
Bridgend 009D,W01001007,21,10.9,2.1
Bridgend 009C,W01001006,18.1,9.8,3.7
Bridgend 009B,W01001005,28.9,12.6,4
Bridgend 009A,W01001004,33.2,19.2,3.8
Bridgend 015D,W01001003,25.4,19.1,5.2
Bridgend 010D,W01001002,30.5,12.6,1.4
Bridgend 010C,W01001001,26.5,14.3,3.5
Bridgend 010B,W01001000,27,13.7,2.6
Bridgend 010A,W01000999,29.3,15.8,3.8
Bridgend 011A,W01000998,21.4,9,1.4
Bridgend 012A,W01000997,27.2,15,5.3
Bridgend 008A,W01000996,28.4,15.7,3.4
Bridgend 001E,W01000995,32.3,15.1,4.2
Bridgend 001D,W01000994,25.9,16.3,2.4
Bridgend 001C,W01000993,26.6,19.1,2.6
Bridgend 001B,W01000992,30.3,20.2,3.3
Bridgend 001A,W01000991,28.4,22.8,3.5
Bridgend 017B,W01000990,33.5,15.9,2.2
Bridgend 013A,W01000989,22,8.4,4.7
Bridgend 007B,W01000987,27.3,12.9,2.1
Bridgend 007A,W01000986,28.4,9.8,2
Bridgend 015C,W01000985,17,4.6,1.1
Bridgend 016D,W01000984,28.4,6.3,1.5
Bridgend 015B,W01000983,23.5,6.6,1.9
Bridgend 016C,W01000982,24.6,10.7,3.5
Bridgend 016B,W01000981,29.7,13.7,1
Bridgend 016A,W01000980,22.2,11,2.5
Bridgend 015A,W01000979,23.9,6.9,1.1
Bridgend 004B,W01000978,31.3,15.9,3.4
Bridgend 003B,W01000977,25,17.1,3
Bridgend 003A,W01000976,23.6,16,2.3
Bridgend 004A,W01000975,23.4,19,2.3
Bridgend 006A,W01000974,28.8,11.3,2.4
Neath Port Talbot 020F,W01000973,38.8,21.7,2.6
Neath Port Talbot 004G,W01000971,27.5,13.3,3.5
Neath Port Talbot 005D,W01000970,31.6,20,2.8
Neath Port Talbot 009D,W01000969,23.1,10.4,3.2
Neath Port Talbot 019D,W01000968,22.5,14.7,4
Neath Port Talbot 019C,W01000967,37.2,15.4,2.9
Neath Port Talbot 018E,W01000966,30.8,16.9,3.8
Neath Port Talbot 002C,W01000965,26.3,17.4,2.9
Neath Port Talbot 016F,W01000964,31.4,22.8,4.6
Neath Port Talbot 016E,W01000963,34.7,23.8,3.2
Neath Port Talbot 016D,W01000962,22.9,20.2,2.2
Neath Port Talbot 016C,W01000961,32.6,21.2,4.6
Neath Port Talbot 017F,W01000960,35.4,17.9,3
Neath Port Talbot 017E,W01000959,28.3,13.5,3.3
Neath Port Talbot 016B,W01000958,27.1,23.5,2
Neath Port Talbot 017D,W01000957,44,24,3.3
Neath Port Talbot 004F,W01000956,26.1,15.8,5.8
Neath Port Talbot 004E,W01000955,26.6,12.7,5.1
Neath Port Talbot 005C,W01000954,31.3,15.5,4.5
Neath Port Talbot 005B,W01000953,28.5,15.9,3
Neath Port Talbot 018D,W01000952,30,13.5,2.6
Neath Port Talbot 018C,W01000951,33.7,15.9,2.3
Neath Port Talbot 018B,W01000950,31.5,11.8,2.3
Neath Port Talbot 018A,W01000949,26,13.4,4.2
Neath Port Talbot 004D,W01000948,39.3,16.1,3.1
Neath Port Talbot 004C,W01000947,29.4,14.7,1.9
Neath Port Talbot 004B,W01000946,25.5,14.8,3.2
Neath Port Talbot 014E,W01000945,27.8,18.6,4.2
Neath Port Talbot 002B,W01000944,30.2,19.5,4.9
Neath Port Talbot 012D,W01000943,20.4,10,3.7
Neath Port Talbot 012C,W01000942,30.1,16.4,2.3
Neath Port Talbot 012B,W01000941,32.4,14.7,2.3
Neath Port Talbot 008E,W01000940,33.7,17.8,3.2
Neath Port Talbot 008D,W01000939,54.1,26.5,2.8
Neath Port Talbot 008C,W01000938,35.8,19.9,5.2
Neath Port Talbot 013E,W01000937,39.2,15.7,2.5
Neath Port Talbot 012A,W01000936,27.2,13.4,1.6
Neath Port Talbot 008B,W01000935,48.8,22.5,2.9
