LA Name,LA Code,QS113: One person household: Total %,KS301: Day-to-day activities limited a lot %,LC3304: Provides unpaid care age 65+: Total %
Cardiff 030B,W01001836,30.5,3.5,0.6
Cardiff 033F,W01001835,63.9,16.1,1
Cardiff 033E,W01001834,34.7,8.6,1.2
Cardiff 033D,W01001833,39.1,8.8,1.1
Cardiff 033C,W01001832,37.5,3,0.2
Cardiff 030A,W01001831,28.9,4.9,0.4
Cardiff 033B,W01001830,51.9,6.8,0.4
Cardiff 033A,W01001829,30.3,4.9,0.7
Cardiff 024D,W01001828,24,10,4.4
Cardiff 024C,W01001827,21.6,7.3,4.7
Cardiff 024B,W01001826,23.7,8.2,4.3
Cardiff 029D,W01001825,35.4,7.7,1.7
Cardiff 029C,W01001824,42.3,6.8,1.2
Cardiff 029B,W01001823,26.7,4.9,1.6
Cardiff 029A,W01001822,33.3,9,3.2
Cardiff 024A,W01001821,42.7,9.2,1.5
Cardiff 006A,W01001820,28.9,6.1,2.3
Cardiff 014D,W01001819,20.2,7.1,3.3
Cardiff 009D,W01001818,29.8,5.8,0.9
Cardiff 009C,W01001817,24.6,10.2,2.1
Cardiff 009B,W01001816,30,9.4,0.7
Cardiff 008D,W01001815,18.4,7.3,1.6
Cardiff 017E,W01001814,38.7,9.1,3.2
Cardiff 017D,W01001813,42.8,12.8,1.6
Cardiff 017C,W01001812,20.2,10.3,2.8
Cardiff 009A,W01001811,22.2,10.6,1.2
Cardiff 017B,W01001810,26,10.9,2
Cardiff 017A,W01001809,29.6,9.5,2.4
Cardiff 007C,W01001808,27.4,12.8,1.4
Cardiff 007B,W01001807,26.2,14.1,2.2
Cardiff 015D,W01001806,40.3,12.9,4.4
Cardiff 015C,W01001805,36.1,11.9,1.5
Cardiff 015B,W01001804,30.2,13.3,2.7
Cardiff 015A,W01001803,39.3,19.1,2.9
Cardiff 007A,W01001802,31.1,15.5,3.4
Cardiff 005D,W01001800,35.3,15.7,2
Cardiff 001D,W01001799,31.7,12.3,3.8
Cardiff 002D,W01001798,30.1,8,3.1
Cardiff 005C,W01001797,27.3,8.6,2.6
Cardiff 002C,W01001796,28.5,7.1,1.7
Cardiff 002B,W01001795,27.8,3.9,1.8
Cardiff 001C,W01001794,29.7,5.5,1.3
Cardiff 002A,W01001793,22,4.7,1
Cardiff 005B,W01001792,36,13.9,1.5
Cardiff 005A,W01001791,35,10.6,3.9
Cardiff 023F,W01001790,30.4,12.8,1.6
Cardiff 023E,W01001789,37,9.6,1.8
Cardiff 023D,W01001788,38.8,16,2.7
Cardiff 023C,W01001787,22.8,12.9,2.5
Cardiff 023B,W01001786,25,10.7,2.2
Cardiff 023A,W01001785,30.3,16.1,2.7
Cardiff 026F,W01001784,32.8,8.5,2.4
Cardiff 026E,W01001783,25.4,5.5,1.8
Cardiff 026D,W01001782,26.7,6.4,3.8
Cardiff 026C,W01001781,44.9,8,2.5
Cardiff 026B,W01001780,31.2,5.7,2
Cardiff 026A,W01001779,34,7.5,4.1
Cardiff 001B,W01001778,14,4.2,3.7
Cardiff 001A,W01001777,23.8,6.4,3.9
Cardiff 021C,W01001776,22.5,6.4,2.2
Cardiff 021B,W01001775,32.6,8.4,2.4
Cardiff 018D,W01001774,20.9,6.4,3
Cardiff 012A,W01001773,26.5,6.7,1.9
Cardiff 021A,W01001772,26,10.8,4.7
Cardiff 018C,W01001771,24.9,6.7,3.2
Cardiff 018B,W01001770,40.5,10.5,4.1
Cardiff 018A,W01001769,21.1,6.4,2.9
Cardiff 044E,W01001768,28.9,8.2,1
Cardiff 044D,W01001767,32.4,8.7,0.9
Cardiff 044C,W01001766,35.8,10,1
Cardiff 044B,W01001765,33,11.2,1.5
Cardiff 044A,W01001764,29.7,8.8,0.9
Cardiff 046D,W01001762,41.2,12.6,1.4
Cardiff 046C,W01001761,39.2,12.2,2
Cardiff 046B,W01001760,30.7,11.4,2.6
Cardiff 046A,W01001759,31.5,8.6,1.5
Cardiff 025D,W01001758,24.5,4.1,1.5
Cardiff 025C,W01001757,29.4,5,0.9
Cardiff 025B,W01001756,29.5,4.3,1
Cardiff 025A,W01001755,23.1,3.6,0.8
Cardiff 031D,W01001754,42.2,13.7,3.1
Cardiff 031C,W01001753,26.9,12.4,1.8
Cardiff 031B,W01001752,24.8,10.5,3.3
Cardiff 027D,W01001751,43,13.8,1.7
Cardiff 031A,W01001750,51.4,19.3,2.9
Cardiff 027C,W01001749,38.6,12.8,2.3
Cardiff 027B,W01001748,32.6,13.3,2.2
Cardiff 027A,W01001747,41.4,9.5,2.8
Cardiff 041D,W01001746,32.7,15.4,1.8
Cardiff 043D,W01001745,27,8.6,3
Cardiff 043C,W01001744,38.9,15.2,2
Cardiff 043B,W01001743,26.1,9.8,4.3
Cardiff 043A,W01001742,30,13.5,1.5
Cardiff 039E,W01001741,22.2,13.3,0.9
Cardiff 039D,W01001740,36.5,16,1.8
Cardiff 039C,W01001739,22.8,14.3,1.7
Cardiff 039B,W01001738,21.7,11.8,1.8
Cardiff 039A,W01001737,34.5,15.9,1.2
Cardiff 008C,W01001736,28.1,8.5,4.2
Cardiff 019D,W01001735,25.5,9.9,3.4
Cardiff 019C,W01001734,23.5,6.9,5
Cardiff 019B,W01001733,35,5.1,2.2
Cardiff 019A,W01001732,28,6.6,2.9
Cardiff 008B,W01001731,19.1,6.8,3.5
Cardiff 008A,W01001730,29.8,7,5
Cardiff 014C,W01001729,17.5,8.1,1.6
Cardiff 014B,W01001728,18.9,3.9,3
Cardiff 014A,W01001727,24.2,9,2.3
Cardiff 028E,W01001726,22.3,5.6,0.5
Cardiff 032D,W01001725,25.5,2.1,0.5
Cardiff 032C,W01001724,16.2,2,0.4
Cardiff 028D,W01001722,26.1,3.4,0.2
Cardiff 032A,W01001721,40.2,5.6,0.6
Cardiff 028C,W01001720,22.5,2.9,0.4
Cardiff 028B,W01001719,21.7,4.3,1.4
Cardiff 028A,W01001718,26.3,3.8,0.4
Cardiff 035D,W01001717,39.6,9.8,1.8
Cardiff 035C,W01001716,29.3,7.5,1.7
Cardiff 035B,W01001715,43.1,6.6,2.2
Cardiff 035A,W01001714,28.4,6.8,2.3
Cardiff 040E,W01001713,34.1,7.9,1.6
Cardiff 040D,W01001712,40.2,10.5,1.1
Cardiff 040C,W01001711,34.4,14.4,3
Cardiff 040B,W01001710,35,8.7,1.6
Cardiff 040A,W01001709,26.4,9.4,1.7
Cardiff 045D,W01001708,45.7,16.3,2
Cardiff 041C,W01001707,28.3,14,2
Cardiff 041B,W01001706,33.9,12.1,3.5
Cardiff 045C,W01001705,29.1,12.4,2
Cardiff 041A,W01001704,33.1,16.8,1.9
Cardiff 045B,W01001703,26.6,16.5,1.7
Cardiff 045A,W01001702,27.8,10.2,1.3
Cardiff 049A,W01001699,50,11.9,0.6
Cardiff 036E,W01001698,45.5,8.8,0.7
Cardiff 036D,W01001697,41.3,11.3,1.2
Cardiff 036C,W01001696,38.2,13.2,1
Cardiff 036B,W01001695,51.2,7.6,0.3
Cardiff 036A,W01001694,42.7,10.2,1
Newport 013E,W01001693,40.2,8.9,1.1
Newport 011E,W01001692,36.2,8.3,1.3
Newport 011D,W01001691,37.1,13.3,2
Newport 013D,W01001690,33.9,8.2,1.1
Newport 019D,W01001689,39.1,19.9,2.6
Newport 019C,W01001688,25.6,6.4,1
Newport 014D,W01001687,51.5,9.4,1.3
Newport 014C,W01001686,33.9,11.6,1.8
Newport 014B,W01001685,42.7,9.4,1.5
Newport 006E,W01001684,32.2,7.5,1.6
Newport 006D,W01001683,28.9,8.3,2.4
Newport 006C,W01001682,36.4,13.2,2.7
Newport 006B,W01001681,43.5,12.9,1.6
Newport 007E,W01001680,24.7,8.5,2.1
Newport 007D,W01001679,23.4,9.8,3.9
Newport 005D,W01001678,33,9.7,2.6
Newport 007C,W01001677,29.7,9,3.5
Newport 007B,W01001676,32.9,9.4,1.2
Newport 007A,W01001675,29.4,9.2,2.9
Newport 009E,W01001674,24.6,12.4,3.3
Newport 009D,W01001673,26.6,9.2,4.3
Newport 009C,W01001672,30.8,10.9,3
Newport 016D,W01001671,39.4,13.7,2
Newport 009B,W01001670,16.9,4.9,2.2
Newport 009A,W01001669,16.7,5.6,2.8
Newport 010D,W01001668,29.7,13.3,3.1
Newport 010C,W01001667,25,14.1,2
Newport 010B,W01001666,34.7,16.5,3.3
Newport 008D,W01001665,34.6,15.7,4.4
Newport 010A,W01001664,38.3,17.1,3.4
Newport 008C,W01001663,36.4,17,3.8
Newport 018D,W01001662,50.2,17.8,1.3
Newport 018C,W01001661,32.8,7.4,0.5
Newport 018B,W01001660,34.7,11.8,1.2
Newport 018A,W01001659,46.8,15.2,1.3
Newport 020D,W01001658,19.9,9.2,2.2
Newport 020C,W01001657,14.4,4,2.4
Newport 002E,W01001655,22,9.8,2.8
Newport 002D,W01001654,24,8.6,3.5
Newport 002C,W01001653,22.5,10.3,4.8
Newport 002B,W01001652,39.4,15.6,2.5
Newport 002A,W01001651,24.3,7.8,3.7
Newport 004E,W01001650,27,10.1,1.7
Newport 004D,W01001649,23.7,11.5,2.8
Newport 015G,W01001648,27.8,10.7,2.9
Newport 015F,W01001647,26.4,11.3,4.2
Newport 015E,W01001646,29.1,10.6,2.2
Newport 015D,W01001645,18.3,8.4,1
Newport 013C,W01001644,29.1,6.5,1.3
Newport 013B,W01001643,26.7,8.7,0.6
Newport 013A,W01001642,37.4,9.4,1.4
Newport 004C,W01001641,20.5,8.8,4.8
Newport 004B,W01001640,24.8,10.5,3.5
Newport 004A,W01001639,17.8,5.9,2.1
Newport 016C,W01001638,20.9,7.3,4.7
Newport 016B,W01001637,27.3,9.5,3.2
Newport 020A,W01001636,18.1,3.3,0.9
Newport 016A,W01001635,34.1,7.3,3
Newport 019B,W01001634,27.3,11.8,2.4
Newport 019A,W01001633,29.1,12.3,1.6
Newport 017D,W01001632,32.6,13.1,1.4
Newport 017C,W01001631,29,10.5,1.9
Newport 017B,W01001630,49,21.3,4.8
Newport 017A,W01001629,32.6,14.6,4.5
Newport 001F,W01001628,39.7,15.4,3.1
Newport 001E,W01001627,22.2,6.5,2.5
Newport 001D,W01001626,23.1,10.8,4.6
Newport 001C,W01001625,27.9,8.4,3.2
Newport 001B,W01001624,23,6.8,2
Newport 001A,W01001623,34.7,10.6,2.8
Newport 003F,W01001622,30.7,14.9,2.7
Newport 003E,W01001621,35.2,15.9,2.8
Newport 003D,W01001620,28.8,15,2.6
Newport 003C,W01001619,34.2,12.2,2.6
Newport 003B,W01001618,31.8,14.1,3.2
Newport 003A,W01001617,35.2,14.8,2.6
Newport 005C,W01001616,30.2,12.3,3
Newport 005B,W01001615,24.5,9.9,2.4
Newport 005A,W01001614,49.7,18.9,3.8
Newport 011C,W01001613,26.5,7.8,2.1
Newport 011B,W01001612,32.9,12.1,2.2
Newport 011A,W01001611,29.2,8.9,1.9
Newport 015C,W01001610,23.1,11.9,1.5
Newport 015B,W01001609,25,13,0.5
Newport 008B,W01001608,26,10,3.3
Newport 015A,W01001607,20.3,11.8,1
Newport 008A,W01001606,26.1,9.2,3.9
Newport 014A,W01001605,45.8,14.3,2.2
Newport 012D,W01001604,25.5,7.5,3.8
Newport 012C,W01001603,38.3,10.5,1.7
Newport 012B,W01001602,29.1,11,4.3
Newport 006A,W01001601,33.7,11.7,1.4
Newport 012A,W01001600,27.7,8.3,4.7
Monmouthshire 004F,W01001599,32.7,11.7,4.2
Monmouthshire 010F,W01001598,25.1,12.7,2.9
Monmouthshire 006F,W01001597,32,6.6,3.7
Monmouthshire 006E,W01001596,44.4,11.1,4.4
Monmouthshire 007F,W01001595,19.5,7,4.5
Monmouthshire 007E,W01001594,18.6,10.4,2.9
Monmouthshire 008E,W01001593,26.9,8.8,2.5
Monmouthshire 008D,W01001592,28.1,9,1.7
Monmouthshire 011E,W01001591,17.5,4.9,1.6
Monmouthshire 009D,W01001590,19.5,6.2,3.7
Monmouthshire 010E,W01001589,31.9,10.6,2.8
Monmouthshire 010D,W01001588,25.2,11.7,5
Monmouthshire 008C,W01001587,48.4,10.7,2.1
Monmouthshire 007D,W01001586,19.1,6,2.1
Monmouthshire 007C,W01001585,20.6,7.9,3
Monmouthshire 008B,W01001584,24.8,9.3,2.6
Monmouthshire 007B,W01001583,21.1,7.8,3
Monmouthshire 011D,W01001582,22.3,8.3,2.2
Monmouthshire 005E,W01001581,29.8,7.8,3.5
Monmouthshire 002E,W01001580,34.4,13.4,4
Monmouthshire 001E,W01001579,42.4,12.5,4.2
Monmouthshire 009C,W01001578,24.3,9.8,3.4
Monmouthshire 004E,W01001577,46.7,21.8,2.7
Monmouthshire 004D,W01001576,33.3,9.1,2.7
Monmouthshire 005D,W01001575,20.2,6.1,3.4
Monmouthshire 011C,W01001574,22.2,6.6,2.6
Monmouthshire 011B,W01001573,15.5,5.5,2.9
Monmouthshire 011A,W01001572,21.2,8.5,3
Monmouthshire 001D,W01001571,22.6,8.1,3.5
Monmouthshire 003E,W01001569,25.9,12.2,5.1
Monmouthshire 005C,W01001568,19.5,7.9,4
Monmouthshire 005B,W01001567,27,12.4,4.8
Monmouthshire 005A,W01001566,19.8,9.6,2.6
Monmouthshire 006D,W01001565,22.1,8.5,4.2
Monmouthshire 003D,W01001564,29.5,10,5
Monmouthshire 003C,W01001563,36.4,12.4,3.1
Monmouthshire 003B,W01001562,29.8,11.1,2.1
Monmouthshire 003A,W01001561,26.4,14.3,5.9
Monmouthshire 006C,W01001560,17.5,7,2.7
Monmouthshire 008A,W01001559,25.9,9.7,2.7
Monmouthshire 002C,W01001558,36.9,15.5,3.1
Monmouthshire 001C,W01001557,43.9,12.4,2.2
Monmouthshire 006B,W01001556,28.7,9.9,3.7
Monmouthshire 006A,W01001555,20.9,6.5,4.8
Monmouthshire 004C,W01001554,44.4,8.3,2.7
Monmouthshire 004B,W01001553,24.8,8.4,2.3
Monmouthshire 004A,W01001552,20.2,5.8,4.1
Monmouthshire 010C,W01001551,24,11,2.7
Monmouthshire 007A,W01001549,21.1,6.2,3.6
Monmouthshire 001B,W01001548,22.6,7.8,2.1
Monmouthshire 002A,W01001546,34,11,1.6
Monmouthshire 001A,W01001545,32,13.7,4.6
Monmouthshire 009B,W01001543,18.6,6.1,2.6
Monmouthshire 009A,W01001542,23.2,9.3,3.5
Torfaen 004F,W01001541,23.5,14.9,3.5
Torfaen 004E,W01001540,26.9,10.4,3.1
Torfaen 009E,W01001539,25.1,12,2.5
Torfaen 009D,W01001538,32.9,14,3.2
Torfaen 007E,W01001537,22.9,9.8,2.8
Torfaen 009C,W01001536,27.4,12,1.1
Torfaen 012D,W01001535,24.7,10.2,2.5
Torfaen 012C,W01001534,28.2,13.3,3.8
Torfaen 012B,W01001533,16,7.4,1.5
Torfaen 010E,W01001532,33,16.6,2.1
Torfaen 003D,W01001531,28.5,14,3
Torfaen 003C,W01001530,22.8,15.2,1.7
Torfaen 003B,W01001529,35.7,17.2,2.3
Torfaen 010D,W01001528,29.8,13.5,3.6
Torfaen 010C,W01001527,46.9,18.4,3.3
Torfaen 010B,W01001526,29.8,13.2,2.8
Torfaen 003A,W01001525,21.1,18.8,3.2
Torfaen 004D,W01001524,34.7,14.5,2
Torfaen 004C,W01001523,29.3,14,2.9
Torfaen 007D,W01001522,37.4,15.2,2.6
Torfaen 007C,W01001521,25.9,12.1,2.5
Torfaen 007B,W01001520,24.3,10,2.6
Torfaen 007A,W01001519,38.4,15.5,2.1
Torfaen 006E,W01001518,23.9,12.9,4.3
Torfaen 006D,W01001517,29.8,9.2,1.9
Torfaen 006C,W01001516,29.7,14.2,3
Torfaen 006B,W01001515,29,10.6,2.2
Torfaen 006A,W01001514,26.1,12.9,3.2
Torfaen 005D,W01001513,23.6,9.4,4.1
Torfaen 005C,W01001512,25.5,10.7,4.5
Torfaen 005B,W01001511,31.6,13.6,4
